benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	smid_requests	smid_validations
bfs	plain	-	-	681.160	681.160	0.000	0.000%	-	-	-	-	-	-	0	0
bfs	aia-kd	-	-	681.160	723.068	41.908	6.152%	92.037	13.512%	-	-	-	-	11414	5
bfs	iommu_e8_m100ns	8	100	681.160	779.629	98.469	14.456%	48.446	7.112%	23733	23723	10	99.9579%	0	0
bfs	iommu_e8_m250ns	8	250	681.160	779.629	98.469	14.456%	49.942	7.332%	23731	23721	10	99.9579%	0	0
bfs	iommu_e8_m500ns	8	500	681.160	780.413	99.253	14.571%	52.442	7.699%	23731	23721	10	99.9579%	0	0
bfs	iommu_e8_m1000ns	8	1000	681.160	783.172	102.012	14.976%	57.446	8.434%	23733	23723	10	99.9579%	0	0
bfs	iommu_e16_m100ns	16	100	681.160	779.629	98.469	14.456%	48.446	7.112%	23733	23723	10	99.9579%	0	0
bfs	iommu_e16_m250ns	16	250	681.160	779.629	98.469	14.456%	49.942	7.332%	23731	23721	10	99.9579%	0	0
bfs	iommu_e16_m500ns	16	500	681.160	780.413	99.253	14.571%	52.442	7.699%	23731	23721	10	99.9579%	0	0
bfs	iommu_e16_m1000ns	16	1000	681.160	783.172	102.012	14.976%	57.446	8.434%	23733	23723	10	99.9579%	0	0
bfs	iommu_e32_m100ns	32	100	681.160	779.629	98.469	14.456%	48.446	7.112%	23733	23723	10	99.9579%	0	0
bfs	iommu_e32_m250ns	32	250	681.160	779.629	98.469	14.456%	49.942	7.332%	23731	23721	10	99.9579%	0	0
bfs	iommu_e32_m500ns	32	500	681.160	780.413	99.253	14.571%	52.442	7.699%	23731	23721	10	99.9579%	0	0
bfs	iommu_e32_m1000ns	32	1000	681.160	783.172	102.012	14.976%	57.446	8.434%	23733	23723	10	99.9579%	0	0
bfs	iommu_e64_m100ns	64	100	681.160	779.629	98.469	14.456%	48.446	7.112%	23733	23723	10	99.9579%	0	0
bfs	iommu_e64_m250ns	64	250	681.160	779.629	98.469	14.456%	49.942	7.332%	23731	23721	10	99.9579%	0	0
bfs	iommu_e64_m500ns	64	500	681.160	780.413	99.253	14.571%	52.442	7.699%	23731	23721	10	99.9579%	0	0
bfs	iommu_e64_m1000ns	64	1000	681.160	783.172	102.012	14.976%	57.446	8.434%	23733	23723	10	99.9579%	0	0
bfs	iommu_e256_m100ns	256	100	681.160	779.629	98.469	14.456%	48.446	7.112%	23733	23723	10	99.9579%	0	0
bfs	iommu_e256_m250ns	256	250	681.160	779.629	98.469	14.456%	49.942	7.332%	23731	23721	10	99.9579%	0	0
bfs	iommu_e256_m500ns	256	500	681.160	780.413	99.253	14.571%	52.442	7.699%	23731	23721	10	99.9579%	0	0
bfs	iommu_e256_m1000ns	256	1000	681.160	783.172	102.012	14.976%	57.446	8.434%	23733	23723	10	99.9579%	0	0
bfs	iommu_e2048_m100ns	2048	100	681.160	779.629	98.469	14.456%	48.446	7.112%	23733	23723	10	99.9579%	0	0
bfs	iommu_e2048_m250ns	2048	250	681.160	779.629	98.469	14.456%	49.942	7.332%	23731	23721	10	99.9579%	0	0
bfs	iommu_e2048_m500ns	2048	500	681.160	780.413	99.253	14.571%	52.442	7.699%	23731	23721	10	99.9579%	0	0
bfs	iommu_e2048_m1000ns	2048	1000	681.160	783.172	102.012	14.976%	57.446	8.434%	23733	23723	10	99.9579%	0	0
fft	plain	-	-	1701.326	1701.326	0.000	0.000%	-	-	-	-	-	-	0	0
fft	aia-kd	-	-	1701.326	1695.795	-5.531	-0.325%	175.267	10.302%	-	-	-	-	109014	7
fft	iommu_e8_m100ns	8	100	1701.326	1704.253	2.927	0.172%	437.616	25.722%	218122	218108	14	99.9936%	0	0
fft	iommu_e8_m250ns	8	250	1701.326	1706.106	4.780	0.281%	439.720	25.846%	218124	218110	14	99.9936%	0	0
fft	iommu_e8_m500ns	8	500	1701.326	1708.470	7.144	0.420%	443.220	26.051%	218124	218110	14	99.9936%	0	0
fft	iommu_e8_m1000ns	8	1000	1701.326	1711.303	9.977	0.586%	450.220	26.463%	218124	218110	14	99.9936%	0	0
fft	iommu_e16_m100ns	16	100	1701.326	1704.253	2.927	0.172%	437.616	25.722%	218122	218108	14	99.9936%	0	0
fft	iommu_e16_m250ns	16	250	1701.326	1706.106	4.780	0.281%	439.720	25.846%	218124	218110	14	99.9936%	0	0
fft	iommu_e16_m500ns	16	500	1701.326	1708.470	7.144	0.420%	443.220	26.051%	218124	218110	14	99.9936%	0	0
fft	iommu_e16_m1000ns	16	1000	1701.326	1711.303	9.977	0.586%	450.220	26.463%	218124	218110	14	99.9936%	0	0
fft	iommu_e32_m100ns	32	100	1701.326	1704.253	2.927	0.172%	437.616	25.722%	218122	218108	14	99.9936%	0	0
fft	iommu_e32_m250ns	32	250	1701.326	1706.106	4.780	0.281%	439.720	25.846%	218124	218110	14	99.9936%	0	0
fft	iommu_e32_m500ns	32	500	1701.326	1708.470	7.144	0.420%	443.220	26.051%	218124	218110	14	99.9936%	0	0
fft	iommu_e32_m1000ns	32	1000	1701.326	1711.303	9.977	0.586%	450.220	26.463%	218124	218110	14	99.9936%	0	0
fft	iommu_e64_m100ns	64	100	1701.326	1704.253	2.927	0.172%	437.616	25.722%	218122	218108	14	99.9936%	0	0
fft	iommu_e64_m250ns	64	250	1701.326	1706.106	4.780	0.281%	439.720	25.846%	218124	218110	14	99.9936%	0	0
fft	iommu_e64_m500ns	64	500	1701.326	1708.470	7.144	0.420%	443.220	26.051%	218124	218110	14	99.9936%	0	0
fft	iommu_e64_m1000ns	64	1000	1701.326	1711.303	9.977	0.586%	450.220	26.463%	218124	218110	14	99.9936%	0	0
fft	iommu_e256_m100ns	256	100	1701.326	1704.253	2.927	0.172%	437.616	25.722%	218122	218108	14	99.9936%	0	0
fft	iommu_e256_m250ns	256	250	1701.326	1706.106	4.780	0.281%	439.720	25.846%	218124	218110	14	99.9936%	0	0
fft	iommu_e256_m500ns	256	500	1701.326	1708.470	7.144	0.420%	443.220	26.051%	218124	218110	14	99.9936%	0	0
fft	iommu_e256_m1000ns	256	1000	1701.326	1711.303	9.977	0.586%	450.220	26.463%	218124	218110	14	99.9936%	0	0
fft	iommu_e2048_m100ns	2048	100	1701.326	1704.253	2.927	0.172%	437.616	25.722%	218122	218108	14	99.9936%	0	0
fft	iommu_e2048_m250ns	2048	250	1701.326	1706.106	4.780	0.281%	439.720	25.846%	218124	218110	14	99.9936%	0	0
fft	iommu_e2048_m500ns	2048	500	1701.326	1708.470	7.144	0.420%	443.220	26.051%	218124	218110	14	99.9936%	0	0
fft	iommu_e2048_m1000ns	2048	1000	1701.326	1711.303	9.977	0.586%	450.220	26.463%	218124	218110	14	99.9936%	0	0
