benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
bfs	plain	-	-	681.163	681.163	0.000	0.000%	-	-	0	0	0	-	0	0	0	0
bfs	aia-kd	-	-	681.163	823.569	142.406	20.906%	167.340	24.567%	0	0	0	-	0	11224	13	8
bfs	iommu_e8_m100ns	8	100	681.163	779.632	98.469	14.456%	50.596	7.428%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e8_m250ns	8	250	681.163	780.416	99.253	14.571%	53.592	7.868%	12162	12152	10	99.9178%	10	0	0	0
bfs	iommu_e8_m500ns	8	500	681.163	783.175	102.012	14.976%	58.596	8.602%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e8_m1000ns	8	1000	681.163	787.856	106.693	15.663%	68.580	10.068%	12159	12149	10	99.9178%	10	0	0	0
bfs	iommu_e16_m100ns	16	100	681.163	779.632	98.469	14.456%	50.596	7.428%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e16_m250ns	16	250	681.163	780.416	99.253	14.571%	53.592	7.868%	12162	12152	10	99.9178%	10	0	0	0
bfs	iommu_e16_m500ns	16	500	681.163	783.175	102.012	14.976%	58.596	8.602%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e16_m1000ns	16	1000	681.163	787.856	106.693	15.663%	68.580	10.068%	12159	12149	10	99.9178%	10	0	0	0
bfs	iommu_e32_m100ns	32	100	681.163	779.632	98.469	14.456%	50.596	7.428%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e32_m250ns	32	250	681.163	780.416	99.253	14.571%	53.592	7.868%	12162	12152	10	99.9178%	10	0	0	0
bfs	iommu_e32_m500ns	32	500	681.163	783.175	102.012	14.976%	58.596	8.602%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e32_m1000ns	32	1000	681.163	787.856	106.693	15.663%	68.580	10.068%	12159	12149	10	99.9178%	10	0	0	0
bfs	iommu_e64_m100ns	64	100	681.163	779.632	98.469	14.456%	50.596	7.428%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e64_m250ns	64	250	681.163	780.416	99.253	14.571%	53.592	7.868%	12162	12152	10	99.9178%	10	0	0	0
bfs	iommu_e64_m500ns	64	500	681.163	783.175	102.012	14.976%	58.596	8.602%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e64_m1000ns	64	1000	681.163	787.856	106.693	15.663%	68.580	10.068%	12159	12149	10	99.9178%	10	0	0	0
bfs	iommu_e256_m100ns	256	100	681.163	779.632	98.469	14.456%	50.596	7.428%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e256_m250ns	256	250	681.163	780.416	99.253	14.571%	53.592	7.868%	12162	12152	10	99.9178%	10	0	0	0
bfs	iommu_e256_m500ns	256	500	681.163	783.175	102.012	14.976%	58.596	8.602%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e256_m1000ns	256	1000	681.163	787.856	106.693	15.663%	68.580	10.068%	12159	12149	10	99.9178%	10	0	0	0
bfs	iommu_e2048_m100ns	2048	100	681.163	779.632	98.469	14.456%	50.596	7.428%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e2048_m250ns	2048	250	681.163	780.416	99.253	14.571%	53.592	7.868%	12162	12152	10	99.9178%	10	0	0	0
bfs	iommu_e2048_m500ns	2048	500	681.163	783.175	102.012	14.976%	58.596	8.602%	12163	12153	10	99.9178%	10	0	0	0
bfs	iommu_e2048_m1000ns	2048	1000	681.163	787.856	106.693	15.663%	68.580	10.068%	12159	12149	10	99.9178%	10	0	0	0
