mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
plain	681160000	681.160	0.000	0.000	681.160	0.000
iommu_e8_m100ns	779629000	779.629	98.469	14.456	828.075	21.568
iommu_e8_m250ns	779629000	779.629	98.469	14.456	829.571	21.788
iommu_e8_m500ns	780413000	780.413	99.253	14.571	832.855	22.270
iommu_e16_m250ns	779629000	779.629	98.469	14.456	829.571	21.788
iommu_e8_m1000ns	783172000	783.172	102.012	14.976	840.618	23.410
aia-kd	723068000	723.068	41.908	6.152	815.105	19.664
iommu_e16_m500ns	780413000	780.413	99.253	14.571	832.855	22.270
iommu_e16_m100ns	779629000	779.629	98.469	14.456	828.075	21.568
iommu_e32_m500ns	780413000	780.413	99.253	14.571	832.855	22.270
iommu_e32_m250ns	779629000	779.629	98.469	14.456	829.571	21.788
iommu_e32_m1000ns	783172000	783.172	102.012	14.976	840.618	23.410
iommu_e64_m250ns	779629000	779.629	98.469	14.456	829.571	21.788
iommu_e16_m1000ns	783172000	783.172	102.012	14.976	840.618	23.410
iommu_e32_m100ns	779629000	779.629	98.469	14.456	828.075	21.568
iommu_e256_m250ns	779629000	779.629	98.469	14.456	829.571	21.788
iommu_e64_m500ns	780413000	780.413	99.253	14.571	832.855	22.270
iommu_e256_m1000ns	783172000	783.172	102.012	14.976	840.618	23.410
iommu_e64_m100ns	779629000	779.629	98.469	14.456	828.075	21.568
iommu_e256_m500ns	780413000	780.413	99.253	14.571	832.855	22.270
iommu_e64_m1000ns	783172000	783.172	102.012	14.976	840.618	23.410
iommu_e2048_m500ns	780413000	780.413	99.253	14.571	832.855	22.270
iommu_e2048_m1000ns	783172000	783.172	102.012	14.976	840.618	23.410
iommu_e2048_m100ns	779629000	779.629	98.469	14.456	828.075	21.568
iommu_e2048_m250ns	779629000	779.629	98.469	14.456	829.571	21.788
iommu_e256_m100ns	779629000	779.629	98.469	14.456	828.075	21.568
