mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
plain,681.160,681160000,0.000681,174.89,0.000,-,-,-,-,-,0,0
iommu_e8_m100ns,779.629,779629000,0.000780,272.67,0.000,48.446,23733,23723,10,99.9579,0,0
iommu_e8_m250ns,779.629,779629000,0.000780,273.25,0.000,49.942,23731,23721,10,99.9579,0,0
iommu_e8_m500ns,780.413,780413000,0.000780,274.5,0.000,52.442,23731,23721,10,99.9579,0,0
iommu_e16_m250ns,779.629,779629000,0.000780,273.25,0.000,49.942,23731,23721,10,99.9579,0,0
iommu_e8_m1000ns,783.172,783172000,0.000783,277.14,0.000,57.446,23733,23723,10,99.9579,0,0
aia-kd,723.068,723068000,0.000723,217.01,92.037,-,-,-,-,-,11414,5
iommu_e16_m500ns,780.413,780413000,0.000780,274.5,0.000,52.442,23731,23721,10,99.9579,0,0
iommu_e16_m100ns,779.629,779629000,0.000780,272.67,0.000,48.446,23733,23723,10,99.9579,0,0
iommu_e32_m500ns,780.413,780413000,0.000780,274.5,0.000,52.442,23731,23721,10,99.9579,0,0
iommu_e32_m250ns,779.629,779629000,0.000780,273.25,0.000,49.942,23731,23721,10,99.9579,0,0
iommu_e32_m1000ns,783.172,783172000,0.000783,277.14,0.000,57.446,23733,23723,10,99.9579,0,0
iommu_e64_m250ns,779.629,779629000,0.000780,273.25,0.000,49.942,23731,23721,10,99.9579,0,0
iommu_e16_m1000ns,783.172,783172000,0.000783,277.14,0.000,57.446,23733,23723,10,99.9579,0,0
iommu_e32_m100ns,779.629,779629000,0.000780,272.67,0.000,48.446,23733,23723,10,99.9579,0,0
iommu_e256_m250ns,779.629,779629000,0.000780,273.25,0.000,49.942,23731,23721,10,99.9579,0,0
iommu_e64_m500ns,780.413,780413000,0.000780,274.5,0.000,52.442,23731,23721,10,99.9579,0,0
iommu_e256_m1000ns,783.172,783172000,0.000783,277.14,0.000,57.446,23733,23723,10,99.9579,0,0
iommu_e64_m100ns,779.629,779629000,0.000780,272.67,0.000,48.446,23733,23723,10,99.9579,0,0
iommu_e256_m500ns,780.413,780413000,0.000780,274.5,0.000,52.442,23731,23721,10,99.9579,0,0
iommu_e64_m1000ns,783.172,783172000,0.000783,277.14,0.000,57.446,23733,23723,10,99.9579,0,0
iommu_e2048_m500ns,780.413,780413000,0.000780,274.5,0.000,52.442,23731,23721,10,99.9579,0,0
iommu_e2048_m1000ns,783.172,783172000,0.000783,277.14,0.000,57.446,23733,23723,10,99.9579,0,0
iommu_e2048_m100ns,779.629,779629000,0.000780,272.67,0.000,48.446,23733,23723,10,99.9579,0,0
iommu_e2048_m250ns,779.629,779629000,0.000780,273.25,0.000,49.942,23731,23721,10,99.9579,0,0
iommu_e256_m100ns,779.629,779629000,0.000780,272.67,0.000,48.446,23733,23723,10,99.9579,0,0
