mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
iommu_e8_m100ns,1704253000,1704.253,2.927,0.172,2141.869,25.894
iommu_e8_m250ns,1706106000,1706.106,4.780,0.281,2145.826,26.127
iommu_e8_m1000ns,1711303000,1711.303,9.977,0.586,2161.523,27.049
iommu_e16_m1000ns,1711303000,1711.303,9.977,0.586,2161.523,27.049
plain,1701326000,1701.326,0.000,0.000,1701.326,0.000
iommu_e8_m500ns,1708470000,1708.470,7.144,0.420,2151.690,26.471
aia-kd,1695795000,1695.795,-5.531,-0.325,1871.062,9.977
iommu_e32_m100ns,1704253000,1704.253,2.927,0.172,2141.869,25.894
iommu_e16_m100ns,1704253000,1704.253,2.927,0.172,2141.869,25.894
iommu_e16_m500ns,1708470000,1708.470,7.144,0.420,2151.690,26.471
iommu_e32_m500ns,1708470000,1708.470,7.144,0.420,2151.690,26.471
iommu_e16_m250ns,1706106000,1706.106,4.780,0.281,2145.826,26.127
iommu_e2048_m1000ns,1711303000,1711.303,9.977,0.586,2161.523,27.049
iommu_e32_m1000ns,1711303000,1711.303,9.977,0.586,2161.523,27.049
iommu_e2048_m500ns,1708470000,1708.470,7.144,0.420,2151.690,26.471
iommu_e64_m250ns,1706106000,1706.106,4.780,0.281,2145.826,26.127
iommu_e256_m1000ns,1711303000,1711.303,9.977,0.586,2161.523,27.049
iommu_e64_m500ns,1708470000,1708.470,7.144,0.420,2151.690,26.471
iommu_e32_m250ns,1706106000,1706.106,4.780,0.281,2145.826,26.127
iommu_e64_m100ns,1704253000,1704.253,2.927,0.172,2141.869,25.894
iommu_e256_m100ns,1704253000,1704.253,2.927,0.172,2141.869,25.894
iommu_e256_m250ns,1706106000,1706.106,4.780,0.281,2145.826,26.127
iommu_e64_m1000ns,1711303000,1711.303,9.977,0.586,2161.523,27.049
iommu_e256_m500ns,1708470000,1708.470,7.144,0.420,2151.690,26.471
iommu_e2048_m100ns,1704253000,1704.253,2.927,0.172,2141.869,25.894
iommu_e2048_m250ns,1706106000,1706.106,4.780,0.281,2145.826,26.127
