mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
iommu_e8_m100ns,1704.253,1704253000,0.001704,941.54,0.000,437.616,218122,218108,14,99.9936,0,0
iommu_e8_m250ns,1706.106,1706106000,0.001706,942.71,0.000,439.720,218124,218110,14,99.9936,0,0
iommu_e8_m1000ns,1711.303,1711303000,0.001711,947.96,0.000,450.220,218124,218110,14,99.9936,0,0
iommu_e16_m1000ns,1711.303,1711303000,0.001711,947.96,0.000,450.220,218124,218110,14,99.9936,0,0
plain,1701.326,1701326000,0.001701,938.24,0.000,-,-,-,-,-,0,0
iommu_e8_m500ns,1708.470,1708470000,0.001708,944.46,0.000,443.220,218124,218110,14,99.9936,0,0
aia-kd,1695.795,1695795000,0.001696,932.2,175.267,-,-,-,-,-,109014,7
iommu_e32_m100ns,1704.253,1704253000,0.001704,941.54,0.000,437.616,218122,218108,14,99.9936,0,0
iommu_e16_m100ns,1704.253,1704253000,0.001704,941.54,0.000,437.616,218122,218108,14,99.9936,0,0
iommu_e16_m500ns,1708.470,1708470000,0.001708,944.46,0.000,443.220,218124,218110,14,99.9936,0,0
iommu_e32_m500ns,1708.470,1708470000,0.001708,944.46,0.000,443.220,218124,218110,14,99.9936,0,0
iommu_e16_m250ns,1706.106,1706106000,0.001706,942.71,0.000,439.720,218124,218110,14,99.9936,0,0
iommu_e2048_m1000ns,1711.303,1711303000,0.001711,947.96,0.000,450.220,218124,218110,14,99.9936,0,0
iommu_e32_m1000ns,1711.303,1711303000,0.001711,947.96,0.000,450.220,218124,218110,14,99.9936,0,0
iommu_e2048_m500ns,1708.470,1708470000,0.001708,944.46,0.000,443.220,218124,218110,14,99.9936,0,0
iommu_e64_m250ns,1706.106,1706106000,0.001706,942.71,0.000,439.720,218124,218110,14,99.9936,0,0
iommu_e256_m1000ns,1711.303,1711303000,0.001711,947.96,0.000,450.220,218124,218110,14,99.9936,0,0
iommu_e64_m500ns,1708.470,1708470000,0.001708,944.46,0.000,443.220,218124,218110,14,99.9936,0,0
iommu_e32_m250ns,1706.106,1706106000,0.001706,942.71,0.000,439.720,218124,218110,14,99.9936,0,0
iommu_e64_m100ns,1704.253,1704253000,0.001704,941.54,0.000,437.616,218122,218108,14,99.9936,0,0
iommu_e256_m100ns,1704.253,1704253000,0.001704,941.54,0.000,437.616,218122,218108,14,99.9936,0,0
iommu_e256_m250ns,1706.106,1706106000,0.001706,942.71,0.000,439.720,218124,218110,14,99.9936,0,0
iommu_e64_m1000ns,1711.303,1711303000,0.001711,947.96,0.000,450.220,218124,218110,14,99.9936,0,0
iommu_e256_m500ns,1708.470,1708470000,0.001708,944.46,0.000,443.220,218124,218110,14,99.9936,0,0
iommu_e2048_m100ns,1704.253,1704253000,0.001704,941.54,0.000,437.616,218122,218108,14,99.9936,0,0
iommu_e2048_m250ns,1706.106,1706106000,0.001706,942.71,0.000,439.720,218124,218110,14,99.9936,0,0
