benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
gemm,plain,-,-,443542.174,443542.174,0.000,0.000%,-,-,-,-,-,-,0,0
gemm,aia-kd,-,-,443542.174,443619.956,77.782,0.018%,4393.245,0.990%,-,-,-,-,538884,25
gemm,iommu_e8_m100ns,8,100,443542.174,447369.783,3827.609,0.863%,9902.780,2.233%,1127627,1049591,78036,93.0796%,0,0
gemm,iommu_e8_m250ns,8,250,443542.174,453321.189,9779.015,2.205%,21608.200,4.872%,1127627,1049591,78036,93.0796%,0,0
gemm,iommu_e8_m500ns,8,500,443542.174,464034.505,20492.331,4.620%,41117.200,9.270%,1127627,1049591,78036,93.0796%,0,0
gemm,iommu_e8_m1000ns,8,1000,443542.174,482499.493,38957.319,8.783%,80135.200,18.067%,1127625,1049589,78036,93.0796%,0,0
gemm,iommu_e16_m100ns,16,100,443542.174,443690.029,147.855,0.033%,2348.070,0.529%,1078484,1076534,1950,99.8192%,0,0
gemm,iommu_e16_m250ns,16,250,443542.174,444398.616,856.442,0.193%,2640.570,0.595%,1078484,1076534,1950,99.8192%,0,0
gemm,iommu_e16_m500ns,16,500,443542.174,443040.856,-501.318,-0.113%,3128.070,0.705%,1078484,1076534,1950,99.8192%,0,0
gemm,iommu_e16_m1000ns,16,1000,443542.174,446058.668,2516.494,0.567%,4103.060,0.925%,1078482,1076532,1950,99.8192%,0,0
gemm,iommu_e32_m100ns,32,100,443542.174,442523.896,-1018.278,-0.230%,2160.730,0.487%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e32_m250ns,32,250,443542.174,443497.126,-45.048,-0.010%,2168.230,0.489%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e32_m500ns,32,500,443542.174,443691.772,149.598,0.034%,2180.730,0.492%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e32_m1000ns,32,1000,443542.174,443347.452,-194.722,-0.044%,2205.730,0.497%,1077914,1077864,50,99.9954%,0,0
gemm,iommu_e64_m100ns,64,100,443542.174,442523.896,-1018.278,-0.230%,2160.730,0.487%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e64_m250ns,64,250,443542.174,443497.126,-45.048,-0.010%,2168.230,0.489%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e64_m500ns,64,500,443542.174,443691.772,149.598,0.034%,2180.730,0.492%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e64_m1000ns,64,1000,443542.174,443347.452,-194.722,-0.044%,2205.730,0.497%,1077914,1077864,50,99.9954%,0,0
gemm,iommu_e256_m100ns,256,100,443542.174,442523.896,-1018.278,-0.230%,2160.730,0.487%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e256_m250ns,256,250,443542.174,443497.126,-45.048,-0.010%,2168.230,0.489%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e256_m500ns,256,500,443542.174,443691.772,149.598,0.034%,2180.730,0.492%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e256_m1000ns,256,1000,443542.174,443347.452,-194.722,-0.044%,2205.730,0.497%,1077914,1077864,50,99.9954%,0,0
gemm,iommu_e2048_m100ns,2048,100,443542.174,442523.896,-1018.278,-0.230%,2160.730,0.487%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e2048_m250ns,2048,250,443542.174,443497.126,-45.048,-0.010%,2168.230,0.489%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e2048_m500ns,2048,500,443542.174,443691.772,149.598,0.034%,2180.730,0.492%,1077916,1077866,50,99.9954%,0,0
gemm,iommu_e2048_m1000ns,2048,1000,443542.174,443347.452,-194.722,-0.044%,2205.730,0.497%,1077914,1077864,50,99.9954%,0,0
