benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
gemm	plain	-	-	443542.310	443542.310	0.000	0.000%	-	-	0	0	0	-	0	0	0	0
gemm	aia-kd	-	-	443542.310	446038.541	2496.231	0.563%	4567.040	1.030%	0	0	0	-	0	554188	31	6
gemm	iommu_e8_m100ns	8	100	443542.310	447195.536	3653.226	0.824%	9911.880	2.235%	565472	526430	39042	93.0957%	49	0	0	0
gemm	iommu_e8_m250ns	8	250	443542.310	455954.606	12412.296	2.798%	21623.300	4.875%	565478	526436	39042	93.0958%	49	0	0	0
gemm	iommu_e8_m500ns	8	500	443542.310	462765.473	19223.163	4.334%	41142.300	9.276%	565474	526432	39042	93.0957%	49	0	0	0
gemm	iommu_e8_m1000ns	8	1000	443542.310	483083.567	39541.257	8.915%	80180.300	18.077%	565479	526437	39042	93.0958%	49	0	0	0
gemm	iommu_e16_m100ns	16	100	443542.310	443624.930	82.620	0.019%	2357.160	0.531%	540901	539902	999	99.8153%	49	0	0	0
gemm	iommu_e16_m250ns	16	250	443542.310	443990.865	448.555	0.101%	2655.680	0.599%	540907	539908	999	99.8153%	49	0	0	0
gemm	iommu_e16_m500ns	16	500	443542.310	444240.012	697.702	0.157%	3153.170	0.711%	540903	539904	999	99.8153%	49	0	0	0
gemm	iommu_e16_m1000ns	16	1000	443542.310	443554.858	12.548	0.003%	4148.190	0.935%	540908	539909	999	99.8153%	49	0	0	0
gemm	iommu_e32_m100ns	32	100	443542.310	443573.377	31.067	0.007%	2169.830	0.489%	540617	540568	49	99.9909%	49	0	0	0
gemm	iommu_e32_m250ns	32	250	443542.310	443497.262	-45.048	-0.010%	2183.350	0.492%	540623	540574	49	99.9909%	49	0	0	0
gemm	iommu_e32_m500ns	32	500	443542.310	442581.628	-960.682	-0.217%	2205.830	0.497%	540619	540570	49	99.9909%	49	0	0	0
gemm	iommu_e32_m1000ns	32	1000	443542.310	442597.199	-945.111	-0.213%	2250.850	0.507%	540624	540575	49	99.9909%	49	0	0	0
gemm	iommu_e64_m100ns	64	100	443542.310	443573.377	31.067	0.007%	2169.830	0.489%	540617	540568	49	99.9909%	49	0	0	0
gemm	iommu_e64_m250ns	64	250	443542.310	443497.262	-45.048	-0.010%	2183.350	0.492%	540623	540574	49	99.9909%	49	0	0	0
gemm	iommu_e64_m500ns	64	500	443542.310	442581.628	-960.682	-0.217%	2205.830	0.497%	540619	540570	49	99.9909%	49	0	0	0
gemm	iommu_e64_m1000ns	64	1000	443542.310	442597.199	-945.111	-0.213%	2250.850	0.507%	540624	540575	49	99.9909%	49	0	0	0
gemm	iommu_e256_m100ns	256	100	443542.310	443573.377	31.067	0.007%	2169.830	0.489%	540617	540568	49	99.9909%	49	0	0	0
gemm	iommu_e256_m250ns	256	250	443542.310	443497.262	-45.048	-0.010%	2183.350	0.492%	540623	540574	49	99.9909%	49	0	0	0
gemm	iommu_e256_m500ns	256	500	443542.310	442581.628	-960.682	-0.217%	2205.830	0.497%	540619	540570	49	99.9909%	49	0	0	0
gemm	iommu_e256_m1000ns	256	1000	443542.310	442597.199	-945.111	-0.213%	2250.850	0.507%	540624	540575	49	99.9909%	49	0	0	0
gemm	iommu_e2048_m100ns	2048	100	443542.310	443573.377	31.067	0.007%	2169.830	0.489%	540617	540568	49	99.9909%	49	0	0	0
gemm	iommu_e2048_m250ns	2048	250	443542.310	443497.262	-45.048	-0.010%	2183.350	0.492%	540623	540574	49	99.9909%	49	0	0	0
gemm	iommu_e2048_m500ns	2048	500	443542.310	442581.628	-960.682	-0.217%	2205.830	0.497%	540619	540570	49	99.9909%	49	0	0	0
gemm	iommu_e2048_m1000ns	2048	1000	443542.310	442597.199	-945.111	-0.213%	2250.850	0.507%	540624	540575	49	99.9909%	49	0	0	0
