mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
iommu_e64_m250ns	443497126000	443497.126	-45.048	-0.010	445665.356	0.479
iommu_e64_m500ns	443691772000	443691.772	149.598	0.034	445872.502	0.525
iommu_e16_m1000ns	446058668000	446058.668	2516.494	0.567	450161.728	1.492
iommu_e32_m500ns	443691772000	443691.772	149.598	0.034	445872.502	0.525
iommu_e256_m500ns	443691772000	443691.772	149.598	0.034	445872.502	0.525
iommu_e16_m500ns	443040856000	443040.856	-501.318	-0.113	446168.926	0.592
iommu_e2048_m250ns	443497126000	443497.126	-45.048	-0.010	445665.356	0.479
iommu_e8_m250ns	453321189000	453321.189	9779.015	2.205	474929.389	7.076
iommu_e2048_m100ns	442523896000	442523.896	-1018.278	-0.230	444684.626	0.258
plain	443542174000	443542.174	0.000	0.000	443542.174	0.000
iommu_e2048_m1000ns	443347452000	443347.452	-194.722	-0.044	445553.182	0.453
aia-kd	443619956000	443619.956	77.782	0.018	448013.201	1.008
iommu_e8_m100ns	447369783000	447369.783	3827.609	0.863	457272.563	3.096
iommu_e2048_m500ns	443691772000	443691.772	149.598	0.034	445872.502	0.525
iommu_e256_m250ns	443497126000	443497.126	-45.048	-0.010	445665.356	0.479
iommu_e16_m100ns	443690029000	443690.029	147.855	0.033	446038.099	0.563
iommu_e64_m100ns	442523896000	442523.896	-1018.278	-0.230	444684.626	0.258
iommu_e32_m100ns	442523896000	442523.896	-1018.278	-0.230	444684.626	0.258
iommu_e64_m1000ns	443347452000	443347.452	-194.722	-0.044	445553.182	0.453
iommu_e8_m500ns	464034505000	464034.505	20492.331	4.620	505151.705	13.890
iommu_e256_m100ns	442523896000	442523.896	-1018.278	-0.230	444684.626	0.258
iommu_e32_m1000ns	443347452000	443347.452	-194.722	-0.044	445553.182	0.453
iommu_e16_m250ns	444398616000	444398.616	856.442	0.193	447039.186	0.788
iommu_e256_m1000ns	443347452000	443347.452	-194.722	-0.044	445553.182	0.453
iommu_e32_m250ns	443497126000	443497.126	-45.048	-0.010	445665.356	0.479
iommu_e8_m1000ns	482499493000	482499.493	38957.319	8.783	562634.693	26.850
