mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
iommu_e64_m250ns,443497.126,443497126000,0.443497,1498.6,0.000,2168.230,1077916,1077866,50,99.9954,0,0
iommu_e64_m500ns,443691.772,443691772000,0.443692,1505,0.000,2180.730,1077916,1077866,50,99.9954,0,0
iommu_e16_m1000ns,446058.668,446058668000,0.446059,2467.19,0.000,4103.060,1078482,1076532,1950,99.8192,0,0
iommu_e32_m500ns,443691.772,443691772000,0.443692,1505,0.000,2180.730,1077916,1077866,50,99.9954,0,0
iommu_e256_m500ns,443691.772,443691772000,0.443692,1505,0.000,2180.730,1077916,1077866,50,99.9954,0,0
iommu_e16_m500ns,443040.856,443040856000,0.443041,1979.83,0.000,3128.070,1078484,1076534,1950,99.8192,0,0
iommu_e2048_m250ns,443497.126,443497126000,0.443497,1498.6,0.000,2168.230,1077916,1077866,50,99.9954,0,0
iommu_e8_m250ns,453321.189,453321189000,0.453321,11192.5,0.000,21608.200,1127627,1049591,78036,93.0796,0,0
iommu_e2048_m100ns,442523.896,442523896000,0.442524,1495,0.000,2160.730,1077916,1077866,50,99.9954,0,0
plain,443542.174,443542174000,0.443542,1410.82,0.000,-,-,-,-,-,0,0
iommu_e2048_m1000ns,443347.452,443347452000,0.443347,1517.36,0.000,2205.730,1077914,1077864,50,99.9954,0,0
aia-kd,443619.956,443619956000,0.443620,1478,4393.245,-,-,-,-,-,538884,25
iommu_e8_m100ns,447369.783,447369783000,0.447370,5475.91,0.000,9902.780,1127627,1049591,78036,93.0796,0,0
iommu_e2048_m500ns,443691.772,443691772000,0.443692,1505,0.000,2180.730,1077916,1077866,50,99.9954,0,0
iommu_e256_m250ns,443497.126,443497126000,0.443497,1498.6,0.000,2168.230,1077916,1077866,50,99.9954,0,0
iommu_e16_m100ns,443690.029,443690029000,0.443690,1589.83,0.000,2348.070,1078484,1076534,1950,99.8192,0,0
iommu_e64_m100ns,442523.896,442523896000,0.442524,1495,0.000,2160.730,1077916,1077866,50,99.9954,0,0
iommu_e32_m100ns,442523.896,442523896000,0.442524,1495,0.000,2160.730,1077916,1077866,50,99.9954,0,0
iommu_e64_m1000ns,443347.452,443347452000,0.443347,1517.36,0.000,2205.730,1077914,1077864,50,99.9954,0,0
iommu_e8_m500ns,464034.505,464034505000,0.464035,20929.6,0.000,41117.200,1127627,1049591,78036,93.0796,0,0
iommu_e256_m100ns,442523.896,442523896000,0.442524,1495,0.000,2160.730,1077916,1077866,50,99.9954,0,0
iommu_e32_m1000ns,443347.452,443347452000,0.443347,1517.36,0.000,2205.730,1077914,1077864,50,99.9954,0,0
iommu_e16_m250ns,444398.616,444398616000,0.444399,1731.83,0.000,2640.570,1078484,1076534,1950,99.8192,0,0
iommu_e256_m1000ns,443347.452,443347452000,0.443347,1517.36,0.000,2205.730,1077914,1077864,50,99.9954,0,0
iommu_e32_m250ns,443497.126,443497126000,0.443497,1498.6,0.000,2168.230,1077916,1077866,50,99.9954,0,0
iommu_e8_m1000ns,482499.493,482499493000,0.482499,40438.4,0.000,80135.200,1127625,1049589,78036,93.0796,0,0
