benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
lenet_a,plain,-,-,16233.197,16233.197,0.000,0.000%,-,-,-,-,-,-,0,0
lenet_a,aia-kd,-,-,16233.197,16532.882,299.685,1.846%,677.727,4.175%,-,-,-,-,963239,77
lenet_a,iommu_e8_m100ns,8,100,16233.197,16895.460,662.263,4.080%,12055.766,74.266%,5093105,5074028,19077,99.6254%,0,0
lenet_a,iommu_e8_m250ns,8,250,16233.197,17888.006,1654.809,10.194%,14917.724,91.896%,5093315,5074238,19077,99.6255%,0,0
lenet_a,iommu_e8_m500ns,8,500,16233.197,19543.405,3310.208,20.392%,19686.960,121.276%,5093305,5074228,19077,99.6254%,0,0
lenet_a,iommu_e8_m1000ns,8,1000,16233.197,22854.550,6621.353,40.789%,29225.450,180.035%,5093303,5074226,19077,99.6254%,0,0
lenet_a,iommu_e16_m100ns,16,100,16233.197,16812.391,579.194,3.568%,11891.626,73.255%,5092429,5075013,17416,99.6580%,0,0
lenet_a,iommu_e16_m250ns,16,250,16233.197,17681.059,1447.862,8.919%,14504.434,89.350%,5092639,5075223,17416,99.6580%,0,0
lenet_a,iommu_e16_m500ns,16,500,16233.197,19128.240,2895.043,17.834%,18858.420,116.172%,5092629,5075213,17416,99.6580%,0,0
lenet_a,iommu_e16_m1000ns,16,1000,16233.197,22023.110,5789.913,35.667%,27566.420,169.815%,5092627,5075211,17416,99.6580%,0,0
lenet_a,iommu_e32_m100ns,32,100,16233.197,16812.391,579.194,3.568%,11891.626,73.255%,5092429,5075013,17416,99.6580%,0,0
lenet_a,iommu_e32_m250ns,32,250,16233.197,17681.059,1447.862,8.919%,14504.434,89.350%,5092639,5075223,17416,99.6580%,0,0
lenet_a,iommu_e32_m500ns,32,500,16233.197,19128.240,2895.043,17.834%,18858.420,116.172%,5092629,5075213,17416,99.6580%,0,0
lenet_a,iommu_e32_m1000ns,32,1000,16233.197,22023.110,5789.913,35.667%,27566.420,169.815%,5092627,5075211,17416,99.6580%,0,0
lenet_a,iommu_e64_m100ns,64,100,16233.197,16240.983,7.786,0.048%,10198.066,62.822%,5085559,5085284,275,99.9946%,0,0
lenet_a,iommu_e64_m250ns,64,250,16233.197,16252.857,19.660,0.121%,10239.324,63.076%,5085562,5085287,275,99.9946%,0,0
lenet_a,iommu_e64_m500ns,64,500,16233.197,16270.837,37.640,0.232%,10308.050,63.500%,5085544,5085269,275,99.9946%,0,0
lenet_a,iommu_e64_m1000ns,64,1000,16233.197,16309.717,76.520,0.471%,10445.550,64.347%,5085544,5085269,275,99.9946%,0,0
lenet_a,iommu_e256_m100ns,256,100,16233.197,16240.983,7.786,0.048%,10198.066,62.822%,5085559,5085284,275,99.9946%,0,0
lenet_a,iommu_e256_m250ns,256,250,16233.197,16252.857,19.660,0.121%,10239.324,63.076%,5085562,5085287,275,99.9946%,0,0
lenet_a,iommu_e256_m500ns,256,500,16233.197,16270.837,37.640,0.232%,10308.050,63.500%,5085544,5085269,275,99.9946%,0,0
lenet_a,iommu_e256_m1000ns,256,1000,16233.197,16309.717,76.520,0.471%,10445.550,64.347%,5085544,5085269,275,99.9946%,0,0
lenet_a,iommu_e2048_m100ns,2048,100,16233.197,16240.983,7.786,0.048%,10198.066,62.822%,5085559,5085284,275,99.9946%,0,0
lenet_a,iommu_e2048_m250ns,2048,250,16233.197,16252.857,19.660,0.121%,10239.324,63.076%,5085562,5085287,275,99.9946%,0,0
lenet_a,iommu_e2048_m500ns,2048,500,16233.197,16270.837,37.640,0.232%,10308.050,63.500%,5085544,5085269,275,99.9946%,0,0
lenet_a,iommu_e2048_m1000ns,2048,1000,16233.197,16309.717,76.520,0.471%,10445.550,64.347%,5085544,5085269,275,99.9946%,0,0
