benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
lenet_a	plain	-	-	16233.200	16233.200	0.000	0.000%	-	-	0	0	0	-	0	0	0	0
lenet_a	aia-kd	-	-	16233.200	17227.484	994.284	6.125%	1004.029	6.185%	0	0	0	-	0	964395	105	28
lenet_a	iommu_e8_m100ns	8	100	16233.200	16896.526	663.326	4.086%	12169.822	74.969%	973655	967014	6641	99.3179%	88	0	0	0
lenet_a	iommu_e8_m250ns	8	250	16233.200	17892.050	1658.850	10.219%	15046.766	92.691%	973724	967083	6641	99.3180%	88	0	0	0
lenet_a	iommu_e8_m500ns	8	500	16233.200	19553.357	3320.157	20.453%	19841.042	122.225%	973728	967087	6641	99.3180%	88	0	0	0
lenet_a	iommu_e8_m1000ns	8	1000	16233.200	22874.522	6641.322	40.912%	29429.592	181.293%	973731	967090	6641	99.3180%	88	0	0	0
lenet_a	iommu_e16_m100ns	16	100	16233.200	16813.440	580.240	3.574%	12002.702	73.939%	973314	967511	5803	99.4038%	88	0	0	0
lenet_a	iommu_e16_m250ns	16	250	16233.200	17681.854	1448.654	8.924%	14625.976	90.099%	973379	967576	5803	99.4038%	88	0	0	0
lenet_a	iommu_e16_m500ns	16	500	16233.200	19133.594	2900.394	17.867%	18997.522	117.029%	973383	967580	5803	99.4038%	88	0	0	0
lenet_a	iommu_e16_m1000ns	16	1000	16233.200	22036.693	5803.493	35.751%	27740.632	170.888%	973393	967590	5803	99.4038%	88	0	0	0
lenet_a	iommu_e32_m100ns	32	100	16233.200	16813.440	580.240	3.574%	12002.702	73.939%	973314	967511	5803	99.4038%	88	0	0	0
lenet_a	iommu_e32_m250ns	32	250	16233.200	17681.854	1448.654	8.924%	14625.976	90.099%	973379	967576	5803	99.4038%	88	0	0	0
lenet_a	iommu_e32_m500ns	32	500	16233.200	19133.594	2900.394	17.867%	18997.522	117.029%	973383	967580	5803	99.4038%	88	0	0	0
lenet_a	iommu_e32_m1000ns	32	1000	16233.200	22036.693	5803.493	35.751%	27740.632	170.888%	973393	967590	5803	99.4038%	88	0	0	0
lenet_a	iommu_e64_m100ns	64	100	16233.200	16241.473	8.273	0.051%	10308.962	63.505%	971026	970938	88	99.9909%	88	0	0	0
lenet_a	iommu_e64_m250ns	64	250	16233.200	16253.672	20.472	0.126%	10360.356	63.822%	971018	970930	88	99.9909%	88	0	0	0
lenet_a	iommu_e64_m500ns	64	500	16233.200	16276.190	42.990	0.265%	10446.142	64.350%	971022	970934	88	99.9909%	88	0	0	0
lenet_a	iommu_e64_m1000ns	64	1000	16233.200	16321.734	88.534	0.545%	10617.742	65.408%	971031	970943	88	99.9909%	88	0	0	0
lenet_a	iommu_e256_m100ns	256	100	16233.200	16241.473	8.273	0.051%	10308.962	63.505%	971026	970938	88	99.9909%	88	0	0	0
lenet_a	iommu_e256_m250ns	256	250	16233.200	16253.672	20.472	0.126%	10360.356	63.822%	971018	970930	88	99.9909%	88	0	0	0
lenet_a	iommu_e256_m500ns	256	500	16233.200	16276.190	42.990	0.265%	10446.142	64.350%	971022	970934	88	99.9909%	88	0	0	0
lenet_a	iommu_e256_m1000ns	256	1000	16233.200	16321.734	88.534	0.545%	10617.742	65.408%	971031	970943	88	99.9909%	88	0	0	0
lenet_a	iommu_e2048_m100ns	2048	100	16233.200	16241.473	8.273	0.051%	10308.962	63.505%	971026	970938	88	99.9909%	88	0	0	0
lenet_a	iommu_e2048_m250ns	2048	250	16233.200	16253.672	20.472	0.126%	10360.356	63.822%	971018	970930	88	99.9909%	88	0	0	0
lenet_a	iommu_e2048_m500ns	2048	500	16233.200	16276.190	42.990	0.265%	10446.142	64.350%	971022	970934	88	99.9909%	88	0	0	0
lenet_a	iommu_e2048_m1000ns	2048	1000	16233.200	16321.734	88.534	0.545%	10617.742	65.408%	971031	970943	88	99.9909%	88	0	0	0
