mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
iommu_e2048_m500ns	16270837000	16270.837	37.640	0.232	26578.887	63.732
iommu_e32_m250ns	17681059000	17681.059	1447.862	8.919	32185.493	98.270
iommu_e256_m100ns	16240983000	16240.983	7.786	0.048	26439.049	62.870
iommu_e2048_m100ns	16240983000	16240.983	7.786	0.048	26439.049	62.870
iommu_e256_m250ns	16252857000	16252.857	19.660	0.121	26492.181	63.198
iommu_e256_m500ns	16270837000	16270.837	37.640	0.232	26578.887	63.732
iommu_e64_m250ns	16252857000	16252.857	19.660	0.121	26492.181	63.198
iommu_e64_m1000ns	16309717000	16309.717	76.520	0.471	26755.267	64.818
iommu_e256_m1000ns	16309717000	16309.717	76.520	0.471	26755.267	64.818
iommu_e64_m500ns	16270837000	16270.837	37.640	0.232	26578.887	63.732
iommu_e16_m100ns	16812391000	16812.391	579.194	3.568	28704.017	76.823
plain	16233197000	16233.197	0.000	0.000	16233.197	0.000
iommu_e16_m500ns	19128240000	19128.240	2895.043	17.834	37986.660	134.006
iommu_e64_m100ns	16240983000	16240.983	7.786	0.048	26439.049	62.870
iommu_e2048_m1000ns	16309717000	16309.717	76.520	0.471	26755.267	64.818
iommu_e8_m100ns	16895460000	16895.460	662.263	4.080	28951.226	78.346
iommu_e32_m1000ns	22023110000	22023.110	5789.913	35.667	49589.530	205.482
iommu_e2048_m250ns	16252857000	16252.857	19.660	0.121	26492.181	63.198
iommu_e8_m250ns	17888006000	17888.006	1654.809	10.194	32805.730	102.090
iommu_e16_m250ns	17681059000	17681.059	1447.862	8.919	32185.493	98.270
iommu_e32_m100ns	16812391000	16812.391	579.194	3.568	28704.017	76.823
iommu_e32_m500ns	19128240000	19128.240	2895.043	17.834	37986.660	134.006
iommu_e8_m500ns	19543405000	19543.405	3310.208	20.392	39230.365	141.668
iommu_e8_m1000ns	22854550000	22854.550	6621.353	40.789	52080.000	220.824
iommu_e16_m1000ns	22023110000	22023.110	5789.913	35.667	49589.530	205.482
aia-kd	16532882000	16532.882	299.685	1.846	17210.609	6.021
