mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	smid_requests	smid_validations
iommu_e2048_m500ns	16270.837	16270837000	0.016271	16193.6	0.000	10308.050	5085544	5085269	275	99.9946	0	0
iommu_e32_m250ns	17681.059	17681059000	0.017681	17603.1	0.000	14504.434	5092639	5075223	17416	99.6580	0	0
iommu_e256_m100ns	16240.983	16240983000	0.016241	16163.2	0.000	10198.066	5085559	5085284	275	99.9946	0	0
iommu_e2048_m100ns	16240.983	16240983000	0.016241	16163.2	0.000	10198.066	5085559	5085284	275	99.9946	0	0
iommu_e256_m250ns	16252.857	16252857000	0.016253	16175	0.000	10239.324	5085562	5085287	275	99.9946	0	0
iommu_e256_m500ns	16270.837	16270837000	0.016271	16193.6	0.000	10308.050	5085544	5085269	275	99.9946	0	0
iommu_e64_m250ns	16252.857	16252857000	0.016253	16175	0.000	10239.324	5085562	5085287	275	99.9946	0	0
iommu_e64_m1000ns	16309.717	16309717000	0.016310	16232.1	0.000	10445.550	5085544	5085269	275	99.9946	0	0
iommu_e256_m1000ns	16309.717	16309717000	0.016310	16232.1	0.000	10445.550	5085544	5085269	275	99.9946	0	0
iommu_e64_m500ns	16270.837	16270837000	0.016271	16193.6	0.000	10308.050	5085544	5085269	275	99.9946	0	0
iommu_e16_m100ns	16812.391	16812391000	0.016812	16734.6	0.000	11891.626	5092429	5075013	17416	99.6580	0	0
plain	16233.197	16233197000	0.016233	16155.8	0.000	-	-	-	-	-	0	0
iommu_e16_m500ns	19128.240	19128240000	0.019128	19050.7	0.000	18858.420	5092629	5075213	17416	99.6580	0	0
iommu_e64_m100ns	16240.983	16240983000	0.016241	16163.2	0.000	10198.066	5085559	5085284	275	99.9946	0	0
iommu_e2048_m1000ns	16309.717	16309717000	0.016310	16232.1	0.000	10445.550	5085544	5085269	275	99.9946	0	0
iommu_e8_m100ns	16895.460	16895460000	0.016895	16817.7	0.000	12055.766	5093105	5074028	19077	99.6254	0	0
iommu_e32_m1000ns	22023.110	22023110000	0.022023	21946	0.000	27566.420	5092627	5075211	17416	99.6580	0	0
iommu_e2048_m250ns	16252.857	16252857000	0.016253	16175	0.000	10239.324	5085562	5085287	275	99.9946	0	0
iommu_e8_m250ns	17888.006	17888006000	0.017888	17810.8	0.000	14917.724	5093315	5074238	19077	99.6255	0	0
iommu_e16_m250ns	17681.059	17681059000	0.017681	17603.1	0.000	14504.434	5092639	5075223	17416	99.6580	0	0
iommu_e32_m100ns	16812.391	16812391000	0.016812	16734.6	0.000	11891.626	5092429	5075013	17416	99.6580	0	0
iommu_e32_m500ns	19128.240	19128240000	0.019128	19050.7	0.000	18858.420	5092629	5075213	17416	99.6580	0	0
iommu_e8_m500ns	19543.405	19543405000	0.019543	19466.2	0.000	19686.960	5093305	5074228	19077	99.6254	0	0
iommu_e8_m1000ns	22854.550	22854550000	0.022855	22777	0.000	29225.450	5093303	5074226	19077	99.6254	0	0
iommu_e16_m1000ns	22023.110	22023110000	0.022023	21946	0.000	27566.420	5092627	5075211	17416	99.6580	0	0
aia-kd	16532.882	16532882000	0.016533	16455.3	677.727	-	-	-	-	-	963239	77
