benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
lenet_b,plain,-,-,12300.043,12300.043,0.000,0.000%,-,-,-,-,-,-,0,0
lenet_b,aia-kd,-,-,12300.043,12301.793,1.750,0.014%,767.562,6.240%,-,-,-,-,948965,77
lenet_b,iommu_e8_m100ns,8,100,12300.043,13706.845,1406.802,11.437%,29848.990,242.674%,9037979,8917846,120133,98.6708%,0,0
lenet_b,iommu_e8_m250ns,8,250,12300.043,15958.567,3658.524,29.744%,47741.790,388.143%,9046945,8927397,119548,98.6786%,0,0
lenet_b,iommu_e8_m500ns,8,500,12300.043,19739.079,7439.036,60.480%,77926.870,633.550%,9047333,8927188,120145,98.6720%,0,0
lenet_b,iommu_e8_m1000ns,8,1000,12300.043,27278.510,14978.467,121.776%,137999.320,1121.942%,9047333,8927188,120145,98.6720%,0,0
lenet_b,iommu_e16_m100ns,16,100,12300.043,12888.511,588.468,4.784%,20423.058,166.041%,9032152,9008083,24069,99.7335%,0,0
lenet_b,iommu_e16_m250ns,16,250,12300.043,13773.317,1473.274,11.978%,24034.300,195.400%,9032593,9008524,24069,99.7335%,0,0
lenet_b,iommu_e16_m500ns,16,500,12300.043,15252.181,2952.138,24.001%,30052.440,244.328%,9033035,9008966,24069,99.7335%,0,0
lenet_b,iommu_e16_m1000ns,16,1000,12300.043,18205.273,5905.230,48.010%,42086.940,342.169%,9033035,9008966,24069,99.7335%,0,0
lenet_b,iommu_e32_m100ns,32,100,12300.043,12862.374,562.331,4.572%,20324.034,165.235%,9031831,9008766,23065,99.7446%,0,0
lenet_b,iommu_e32_m250ns,32,250,12300.043,13712.843,1412.800,11.486%,23785.380,193.376%,9032629,9009564,23065,99.7446%,0,0
lenet_b,iommu_e32_m500ns,32,500,12300.043,15128.868,2828.825,22.998%,29550.630,240.248%,9032122,9009057,23065,99.7446%,0,0
lenet_b,iommu_e32_m1000ns,32,1000,12300.043,17961.654,5661.611,46.029%,41083.130,334.008%,9032122,9009057,23065,99.7446%,0,0
lenet_b,iommu_e64_m100ns,64,100,12300.043,12306.340,6.297,0.051%,18117.224,147.294%,9022696,9021963,733,99.9919%,0,0
lenet_b,iommu_e64_m250ns,64,250,12300.043,12318.180,18.137,0.147%,18227.800,148.193%,9023013,9022280,733,99.9919%,0,0
lenet_b,iommu_e64_m500ns,64,500,12300.043,12338.273,38.230,0.311%,18410.060,149.675%,9022511,9021778,733,99.9919%,0,0
lenet_b,iommu_e64_m1000ns,64,1000,12300.043,12377.826,77.783,0.632%,18776.560,152.654%,9022511,9021778,733,99.9919%,0,0
lenet_b,iommu_e256_m100ns,256,100,12300.043,12306.340,6.297,0.051%,18117.124,147.293%,9022696,9021964,732,99.9919%,0,0
lenet_b,iommu_e256_m250ns,256,250,12300.043,12317.365,17.322,0.141%,18227.550,148.191%,9023013,9022281,732,99.9919%,0,0
lenet_b,iommu_e256_m500ns,256,500,12300.043,12337.857,37.814,0.307%,18409.570,149.671%,9022511,9021779,732,99.9919%,0,0
lenet_b,iommu_e256_m1000ns,256,1000,12300.043,12376.279,76.236,0.620%,18775.570,152.646%,9022511,9021779,732,99.9919%,0,0
lenet_b,iommu_e2048_m100ns,2048,100,12300.043,12306.340,6.297,0.051%,18117.124,147.293%,9022696,9021964,732,99.9919%,0,0
lenet_b,iommu_e2048_m250ns,2048,250,12300.043,12317.365,17.322,0.141%,18227.550,148.191%,9023013,9022281,732,99.9919%,0,0
lenet_b,iommu_e2048_m500ns,2048,500,12300.043,12337.857,37.814,0.307%,18409.570,149.671%,9022511,9021779,732,99.9919%,0,0
lenet_b,iommu_e2048_m1000ns,2048,1000,12300.043,12376.279,76.236,0.620%,18775.570,152.646%,9022511,9021779,732,99.9919%,0,0
