mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
iommu_e16_m250ns,13775133000,13775.133,1475.087,11.993,37867.543,207.865
iommu_e16_m500ns,15254439000,15254.439,2954.393,24.019,45380.189,268.943
iommu_e256_m250ns,12319181000,12319.181,19.135,0.156,30604.621,148.817
iommu_e64_m250ns,12319922000,12319.922,19.876,0.162,30605.862,148.827
iommu_e2048_m1000ns,12381962000,12381.962,81.916,0.666,31260.422,154.149
aia-kd,12465299000,12465.299,165.253,1.344,13659.126,11.049
iommu_e256_m1000ns,12381962000,12381.962,81.916,0.666,31260.422,154.149
iommu_e32_m250ns,13713935000,13713.935,1413.889,11.495,37557.435,205.344
iommu_e64_m1000ns,12383377000,12383.377,83.331,0.677,31263.827,154.177
iommu_e32_m500ns,15131657000,15131.657,2831.611,23.021,44755.587,263.865
iommu_e256_m100ns,12306792000,12306.792,6.746,0.055,30472.792,147.745
iommu_e8_m100ns,13707436000,13707.436,1407.390,11.442,43605.396,254.514
iommu_e32_m1000ns,17967439000,17967.439,5667.393,46.076,59154.459,380.929
iommu_e64_m100ns,12306792000,12306.792,6.746,0.055,30472.992,147.747
iommu_e64_m500ns,12340725000,12340.725,40.679,0.331,30824.115,150.602
iommu_e256_m500ns,12340542000,12340.542,40.496,0.329,30822.932,150.592
iommu_e2048_m250ns,12319181000,12319.181,19.135,0.156,30604.621,148.817
iommu_e8_m500ns,19741462000,19741.462,7441.416,60.499,97741.652,694.645
iommu_e8_m250ns,15960544000,15960.544,3660.498,29.760,63760.464,418.376
iommu_e2048_m100ns,12306792000,12306.792,6.746,0.055,30472.792,147.745
iommu_e16_m100ns,12889335000,12889.335,589.289,4.791,33361.355,171.230
iommu_e32_m100ns,12862377000,12862.377,562.331,4.572,33235.387,170.205
plain,12300046000,12300.046,0.000,0.000,12300.046,0.000
iommu_e2048_m500ns,12340542000,12340.542,40.496,0.329,30822.932,150.592
iommu_e16_m1000ns,18211066000,18211.066,5911.020,48.057,60401.916,391.071
iommu_e8_m1000ns,27284654000,27284.654,14984.608,121.826,165387.954,1244.612
