mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
plain	12300.046	12300046000	0.012300	12223.7	0.000	-	0	0	0	-	0	0	0	0
aia-kd	12465.299	12465299000	0.012465	12389.4	1193.827	-	0	0	0	-	0	946860	85	8
iommu_e8_m100ns	13707.436	13707436000	0.013707	13631.5	0.000	29897.960	957049	941964	15085	98.4238	82	0	0	0
iommu_e8_m250ns	15960.544	15960544000	0.015961	15883.9	0.000	47799.920	957846	942810	15036	98.4302	82	0	0	0
iommu_e8_m500ns	19741.462	19741462000	0.019741	19665.4	0.000	78000.190	957947	942861	15086	98.4252	82	0	0	0
iommu_e8_m1000ns	27284.654	27284654000	0.027285	27208.9	0.000	138103.300	957950	942864	15086	98.4252	82	0	0	0
iommu_e16_m100ns	12889.335	12889335000	0.012889	12812.9	0.000	20472.020	953353	947440	5913	99.3798	82	0	0	0
iommu_e16_m250ns	13775.133	13775133000	0.013775	13699	0.000	24092.410	953415	947502	5913	99.3798	82	0	0	0
iommu_e16_m500ns	15254.439	15254439000	0.015254	15178.3	0.000	30125.750	953469	947556	5913	99.3798	82	0	0	0
iommu_e16_m1000ns	18211.066	18211066000	0.018211	18135.3	0.000	42190.850	953472	947559	5913	99.3798	82	0	0	0
iommu_e32_m100ns	12862.377	12862377000	0.012862	12786.8	0.000	20373.010	953205	947534	5671	99.4051	82	0	0	0
iommu_e32_m250ns	13713.935	13713935000	0.013714	13638.2	0.000	23843.500	953325	947654	5671	99.4051	82	0	0	0
iommu_e32_m500ns	15131.657	15131657000	0.015132	15055.6	0.000	29623.930	953323	947652	5671	99.4051	82	0	0	0
iommu_e32_m1000ns	17967.439	17967439000	0.017967	17891.6	0.000	41187.020	953326	947655	5671	99.4051	82	0	0	0
iommu_e64_m100ns	12306.792	12306792000	0.012307	12231	0.000	18166.200	950919	950835	84	99.9912	82	0	0	0
iommu_e64_m250ns	12319.922	12319922000	0.012320	12243.6	0.000	18285.940	950919	950835	84	99.9912	82	0	0	0
iommu_e64_m500ns	12340.725	12340725000	0.012341	12265.1	0.000	18483.390	950918	950834	84	99.9912	82	0	0	0
iommu_e64_m1000ns	12383.377	12383377000	0.012383	12307.5	0.000	18880.450	950921	950837	84	99.9912	82	0	0	0
iommu_e256_m100ns	12306.792	12306792000	0.012307	12230.8	0.000	18166.000	950919	950837	82	99.9914	82	0	0	0
iommu_e256_m250ns	12319.181	12319181000	0.012319	12243.1	0.000	18285.440	950919	950837	82	99.9914	82	0	0	0
iommu_e256_m500ns	12340.542	12340542000	0.012341	12264.1	0.000	18482.390	950918	950836	82	99.9914	82	0	0	0
iommu_e256_m1000ns	12381.962	12381962000	0.012382	12305.6	0.000	18878.460	950921	950839	82	99.9914	82	0	0	0
iommu_e2048_m100ns	12306.792	12306792000	0.012307	12230.8	0.000	18166.000	950919	950837	82	99.9914	82	0	0	0
iommu_e2048_m250ns	12319.181	12319181000	0.012319	12243.1	0.000	18285.440	950919	950837	82	99.9914	82	0	0	0
iommu_e2048_m500ns	12340.542	12340542000	0.012341	12264.1	0.000	18482.390	950918	950836	82	99.9914	82	0	0	0
iommu_e2048_m1000ns	12381.962	12381962000	0.012382	12305.6	0.000	18878.460	950921	950839	82	99.9914	82	0	0	0
