benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
lenet_c,plain,-,-,14916.214,14916.214,0.000,0.000%,-,-,0,0,0,-,0,0,0,0
lenet_c,aia-kd,-,-,14916.214,15443.128,526.914,3.532%,828.322,5.553%,0,0,0,-,0,1695174,69,6
lenet_c,iommu_e8_m100ns,8,100,14916.214,15278.081,361.867,2.426%,50296.680,337.195%,2062892,2056553,6339,99.6927%,112,0,0,0
lenet_c,iommu_e8_m250ns,8,250,14916.214,15892.367,976.153,6.544%,54791.220,367.327%,2054529,2048190,6339,99.6915%,112,0,0,0
lenet_c,iommu_e8_m500ns,8,500,14916.214,17813.608,2897.394,19.424%,62539.640,419.273%,2062898,2056559,6339,99.6927%,112,0,0,0
lenet_c,iommu_e8_m1000ns,8,1000,14916.214,20983.068,6066.854,40.673%,77843.060,521.869%,2062895,2056556,6339,99.6927%,112,0,0,0
lenet_c,iommu_e16_m100ns,16,100,14916.214,15301.439,385.225,2.583%,50089.780,335.808%,2064988,2059401,5587,99.7294%,112,0,0,0
lenet_c,iommu_e16_m250ns,16,250,14916.214,15802.336,886.122,5.941%,54247.370,363.681%,2056616,2051029,5587,99.7283%,112,0,0,0
lenet_c,iommu_e16_m500ns,16,500,14916.214,17536.657,2620.443,17.568%,61434.350,411.863%,2064994,2059407,5587,99.7294%,112,0,0,0
lenet_c,iommu_e16_m1000ns,16,1000,14916.214,20329.133,5412.919,36.289%,75614.770,506.930%,2064991,2059404,5587,99.7294%,112,0,0,0
lenet_c,iommu_e32_m100ns,32,100,14916.214,15301.439,385.225,2.583%,50089.780,335.808%,2064988,2059401,5587,99.7294%,112,0,0,0
lenet_c,iommu_e32_m250ns,32,250,14916.214,15802.336,886.122,5.941%,54247.370,363.681%,2056616,2051029,5587,99.7283%,112,0,0,0
lenet_c,iommu_e32_m500ns,32,500,14916.214,17536.657,2620.443,17.568%,61434.350,411.863%,2064994,2059407,5587,99.7294%,112,0,0,0
lenet_c,iommu_e32_m1000ns,32,1000,14916.214,20329.133,5412.919,36.289%,75614.770,506.930%,2064991,2059404,5587,99.7294%,112,0,0,0
lenet_c,iommu_e64_m100ns,64,100,14916.214,14873.557,-42.657,-0.286%,47409.450,317.838%,2065146,2065034,112,99.9946%,112,0,0,0
lenet_c,iommu_e64_m250ns,64,250,14916.214,14884.949,-31.265,-0.210%,47554.030,318.808%,2065013,2064901,112,99.9946%,112,0,0,0
lenet_c,iommu_e64_m500ns,64,500,14916.214,14918.819,2.605,0.017%,47800.790,320.462%,2065152,2065040,112,99.9946%,112,0,0,0
lenet_c,iommu_e64_m1000ns,64,1000,14916.214,14974.434,58.220,0.390%,48289.740,323.740%,2065149,2065037,112,99.9946%,112,0,0,0
lenet_c,iommu_e256_m100ns,256,100,14916.214,14873.557,-42.657,-0.286%,47409.450,317.838%,2065146,2065034,112,99.9946%,112,0,0,0
lenet_c,iommu_e256_m250ns,256,250,14916.214,14884.949,-31.265,-0.210%,47554.030,318.808%,2065013,2064901,112,99.9946%,112,0,0,0
lenet_c,iommu_e256_m500ns,256,500,14916.214,14918.819,2.605,0.017%,47800.790,320.462%,2065152,2065040,112,99.9946%,112,0,0,0
lenet_c,iommu_e256_m1000ns,256,1000,14916.214,14974.434,58.220,0.390%,48289.740,323.740%,2065149,2065037,112,99.9946%,112,0,0,0
lenet_c,iommu_e2048_m100ns,2048,100,14916.214,14873.557,-42.657,-0.286%,47409.450,317.838%,2065146,2065034,112,99.9946%,112,0,0,0
lenet_c,iommu_e2048_m250ns,2048,250,14916.214,14884.949,-31.265,-0.210%,47554.030,318.808%,2065013,2064901,112,99.9946%,112,0,0,0
lenet_c,iommu_e2048_m500ns,2048,500,14916.214,14918.819,2.605,0.017%,47800.790,320.462%,2065152,2065040,112,99.9946%,112,0,0,0
lenet_c,iommu_e2048_m1000ns,2048,1000,14916.214,14974.434,58.220,0.390%,48289.740,323.740%,2065149,2065037,112,99.9946%,112,0,0,0
