benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	smid_requests	smid_validations
lenet_c	plain	-	-	14916.211	14916.211	0.000	0.000%	-	-	-	-	-	-	0	0
lenet_c	aia-kd	-	-	14916.211	15179.398	263.187	1.764%	660.993	4.431%	-	-	-	-	2069603	63
lenet_c	iommu_e8_m100ns	8	100	14916.211	15274.360	358.149	2.401%	50150.550	336.215%	23607529	23577575	29954	99.8731%	0	0
lenet_c	iommu_e8_m250ns	8	250	14916.211	15877.836	961.625	6.447%	54544.720	365.674%	23563775	23533867	29908	99.8731%	0	0
lenet_c	iommu_e8_m500ns	8	500	14916.211	17788.175	2871.964	19.254%	62132.130	416.541%	23607516	23577562	29954	99.8731%	0	0
lenet_c	iommu_e8_m1000ns	8	1000	14916.211	20930.574	6014.363	40.321%	77109.020	516.948%	23607516	23577562	29954	99.8731%	0	0
lenet_c	iommu_e16_m100ns	16	100	14916.211	15298.316	382.105	2.562%	49944.930	334.837%	23614139	23586418	27721	99.8826%	0	0
lenet_c	iommu_e16_m250ns	16	250	14916.211	15788.133	871.922	5.845%	54004.110	362.050%	23570361	23542686	27675	99.8826%	0	0
lenet_c	iommu_e16_m500ns	16	500	14916.211	17513.616	2597.405	17.413%	61033.310	409.174%	23614126	23586405	27721	99.8826%	0	0
lenet_c	iommu_e16_m1000ns	16	1000	14916.211	20281.692	5365.481	35.971%	74893.810	502.097%	23614126	23586405	27721	99.8826%	0	0
lenet_c	iommu_e32_m100ns	32	100	14916.211	15298.316	382.105	2.562%	49944.930	334.837%	23614139	23586418	27721	99.8826%	0	0
lenet_c	iommu_e32_m250ns	32	250	14916.211	15788.133	871.922	5.845%	54004.110	362.050%	23570361	23542686	27675	99.8826%	0	0
lenet_c	iommu_e32_m500ns	32	500	14916.211	17513.616	2597.405	17.413%	61033.310	409.174%	23614126	23586405	27721	99.8826%	0	0
lenet_c	iommu_e32_m1000ns	32	1000	14916.211	20281.692	5365.481	35.971%	74893.810	502.097%	23614126	23586405	27721	99.8826%	0	0
lenet_c	iommu_e64_m100ns	64	100	14916.211	14868.056	-48.155	-0.323%	47263.540	316.860%	23614574	23614223	351	99.9985%	0	0
lenet_c	iommu_e64_m250ns	64	250	14916.211	14872.101	-44.110	-0.296%	47314.020	317.199%	23613491	23613140	351	99.9985%	0	0
lenet_c	iommu_e64_m500ns	64	500	14916.211	14892.830	-23.381	-0.157%	47403.920	317.801%	23614561	23614210	351	99.9985%	0	0
lenet_c	iommu_e64_m1000ns	64	1000	14916.211	14923.973	7.762	0.052%	47579.420	318.978%	23614561	23614210	351	99.9985%	0	0
lenet_c	iommu_e256_m100ns	256	100	14916.211	14868.056	-48.155	-0.323%	47263.540	316.860%	23614574	23614223	351	99.9985%	0	0
lenet_c	iommu_e256_m250ns	256	250	14916.211	14872.101	-44.110	-0.296%	47314.020	317.199%	23613491	23613140	351	99.9985%	0	0
lenet_c	iommu_e256_m500ns	256	500	14916.211	14892.830	-23.381	-0.157%	47403.920	317.801%	23614561	23614210	351	99.9985%	0	0
lenet_c	iommu_e256_m1000ns	256	1000	14916.211	14923.973	7.762	0.052%	47579.420	318.978%	23614561	23614210	351	99.9985%	0	0
lenet_c	iommu_e2048_m100ns	2048	100	14916.211	14868.056	-48.155	-0.323%	47263.540	316.860%	23614574	23614223	351	99.9985%	0	0
lenet_c	iommu_e2048_m250ns	2048	250	14916.211	14872.101	-44.110	-0.296%	47314.020	317.199%	23613491	23613140	351	99.9985%	0	0
lenet_c	iommu_e2048_m500ns	2048	500	14916.211	14892.830	-23.381	-0.157%	47403.920	317.801%	23614561	23614210	351	99.9985%	0	0
lenet_c	iommu_e2048_m1000ns	2048	1000	14916.211	14923.973	7.762	0.052%	47579.420	318.978%	23614561	23614210	351	99.9985%	0	0
