mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
iommu_e32_m250ns,15788133000,15788.133,871.922,5.845,69792.243,367.895
iommu_e64_m100ns,14868056000,14868.056,-48.155,-0.323,62131.596,316.537
iommu_e256_m500ns,14892830000,14892.830,-23.381,-0.157,62296.750,317.645
iommu_e16_m250ns,15788133000,15788.133,871.922,5.845,69792.243,367.895
iommu_e256_m100ns,14868056000,14868.056,-48.155,-0.323,62131.596,316.537
iommu_e64_m1000ns,14923973000,14923.973,7.762,0.052,62503.393,319.030
iommu_e32_m100ns,15298316000,15298.316,382.105,2.562,65243.246,337.398
iommu_e64_m250ns,14872101000,14872.101,-44.110,-0.296,62186.121,316.903
iommu_e8_m1000ns,20930574000,20930.574,6014.363,40.321,98039.594,557.269
iommu_e16_m500ns,17513616000,17513.616,2597.405,17.413,78546.926,426.588
plain,14916211000,14916.211,0.000,0.000,14916.211,0.000
iommu_e16_m1000ns,20281692000,20281.692,5365.481,35.971,95175.502,538.068
iommu_e2048_m500ns,14892830000,14892.830,-23.381,-0.157,62296.750,317.645
iommu_e2048_m1000ns,14923973000,14923.973,7.762,0.052,62503.393,319.030
iommu_e8_m100ns,15274360000,15274.360,358.149,2.401,65424.910,338.616
iommu_e256_m1000ns,14923973000,14923.973,7.762,0.052,62503.393,319.030
iommu_e2048_m100ns,14868056000,14868.056,-48.155,-0.323,62131.596,316.537
iommu_e256_m250ns,14872101000,14872.101,-44.110,-0.296,62186.121,316.903
iommu_e32_m500ns,17513616000,17513.616,2597.405,17.413,78546.926,426.588
iommu_e8_m250ns,15877836000,15877.836,961.625,6.447,70422.556,372.121
iommu_e2048_m250ns,14872101000,14872.101,-44.110,-0.296,62186.121,316.903
iommu_e16_m100ns,15298316000,15298.316,382.105,2.562,65243.246,337.398
iommu_e64_m500ns,14892830000,14892.830,-23.381,-0.157,62296.750,317.645
iommu_e8_m500ns,17788175000,17788.175,2871.964,19.254,79920.305,435.795
aia-kd,15179398000,15179.398,263.187,1.764,15840.391,6.196
iommu_e32_m1000ns,20281692000,20281.692,5365.481,35.971,95175.502,538.068
