mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
iommu_e64_m500ns	14918819000	14918.819	2.605	0.017	62719.609	320.479
iommu_e256_m250ns	14884949000	14884.949	-31.265	-0.210	62438.979	318.598
iommu_e16_m250ns	15802336000	15802.336	886.122	5.941	70049.706	369.621
aia-kd	15443128000	15443.128	526.914	3.532	16271.450	9.086
iommu_e32_m250ns	15802336000	15802.336	886.122	5.941	70049.706	369.621
iommu_e64_m250ns	14884949000	14884.949	-31.265	-0.210	62438.979	318.598
iommu_e32_m100ns	15301439000	15301.439	385.225	2.583	65391.219	338.390
iommu_e32_m500ns	17536657000	17536.657	2620.443	17.568	78971.007	429.431
iommu_e2048_m100ns	14873557000	14873.557	-42.657	-0.286	62283.007	317.552
iommu_e256_m1000ns	14974434000	14974.434	58.220	0.390	63264.174	324.130
iommu_e8_m100ns	15278081000	15278.081	361.867	2.426	65574.761	339.621
iommu_e256_m100ns	14873557000	14873.557	-42.657	-0.286	62283.007	317.552
plain	14916214000	14916.214	0.000	0.000	14916.214	0.000
iommu_e16_m100ns	15301439000	15301.439	385.225	2.583	65391.219	338.390
iommu_e16_m1000ns	20329133000	20329.133	5412.919	36.289	95943.903	543.219
iommu_e64_m1000ns	14974434000	14974.434	58.220	0.390	63264.174	324.130
iommu_e64_m100ns	14873557000	14873.557	-42.657	-0.286	62283.007	317.552
iommu_e16_m500ns	17536657000	17536.657	2620.443	17.568	78971.007	429.431
iommu_e2048_m1000ns	14974434000	14974.434	58.220	0.390	63264.174	324.130
iommu_e256_m500ns	14918819000	14918.819	2.605	0.017	62719.609	320.479
iommu_e2048_m500ns	14918819000	14918.819	2.605	0.017	62719.609	320.479
iommu_e8_m500ns	17813608000	17813.608	2897.394	19.424	80353.248	438.697
iommu_e2048_m250ns	14884949000	14884.949	-31.265	-0.210	62438.979	318.598
iommu_e8_m250ns	15892367000	15892.367	976.153	6.544	70683.587	373.871
iommu_e32_m1000ns	20329133000	20329.133	5412.919	36.289	95943.903	543.219
iommu_e8_m1000ns	20983068000	20983.068	6066.854	40.673	98826.128	562.542
