
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014893                       # Number of seconds simulated (Second)
simTicks                                  14892830000                       # Number of ticks simulated (Tick)
finalTick                                 14893892000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    214.64                       # Real time elapsed on the host (Second)
hostTickRate                                 69384156                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4682364                       # Number of bytes of host memory used (Byte)
simInsts                                       622131                       # Number of instructions simulated (Count)
simOps                                         622339                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     2898                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       2899                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  14893892000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::ON  14893892000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::CLK_GATED  14893892000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::SRAM_RETENTION  14893892000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::OFF  14893892000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         29785660                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          626827                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       28                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5148874                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      6                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 4580                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              6332                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  27                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            16626166                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               0.309685                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              0.990948                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                  14760978     88.78%     88.78% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                    649717      3.91%     92.69% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                    181281      1.09%     93.78% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                       291      0.00%     93.78% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                   1033800      6.22%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                        79      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                        16      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                         1      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                         3      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total              16626166                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass             1033584      1.89%      1.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1033584      1.89%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                1033584      1.89%      5.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 1033584      1.89%      7.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               1033584      1.89%      9.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp               1033584      1.89%     11.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt               1033584      1.89%     13.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              1033584      1.89%     15.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           1033584      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               1033584      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc              1033584      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt              1033584      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1033584      1.89%     24.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc             1033584      1.89%     26.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                1033584      1.89%     28.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                1033584      1.89%     30.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                1033584      1.89%     32.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc               1033584      1.89%     33.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult               1033584      1.89%     35.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc            1033584      1.89%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift              1033584      1.89%     39.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc           1033584      1.89%     41.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                1033584      1.89%     43.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt               1033584      1.89%     45.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd           1033584      1.89%     47.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu           1033584      1.89%     49.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp           1033584      1.89%     50.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt           1033584      1.89%     52.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv           1033584      1.89%     54.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc          1033584      1.89%     56.60% # attempts to use FU when none available (Count)
