mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
plain	14916.214	14916214000	0.014916	14867.6	0.000	-	0	0	0	-	0	0	0	0
aia-kd	15443.128	15443128000	0.015443	15394.2	828.322	-	0	0	0	-	0	1695174	69	6
iommu_e8_m100ns	15278.081	15278081000	0.015278	15229	0.000	50296.680	2062892	2056553	6339	99.6927	112	0	0	0
iommu_e8_m250ns	15892.367	15892367000	0.015892	15843.4	0.000	54791.220	2054529	2048190	6339	99.6915	112	0	0	0
iommu_e8_m500ns	17813.608	17813608000	0.017814	17765.3	0.000	62539.640	2062898	2056559	6339	99.6927	112	0	0	0
iommu_e8_m1000ns	20983.068	20983068000	0.020983	20934.3	0.000	77843.060	2062895	2056556	6339	99.6927	112	0	0	0
iommu_e16_m100ns	15301.439	15301439000	0.015301	15252.3	0.000	50089.780	2064988	2059401	5587	99.7294	112	0	0	0
iommu_e16_m250ns	15802.336	15802336000	0.015802	15753.5	0.000	54247.370	2056616	2051029	5587	99.7283	112	0	0	0
iommu_e16_m500ns	17536.657	17536657000	0.017537	17487.8	0.000	61434.350	2064994	2059407	5587	99.7294	112	0	0	0
iommu_e16_m1000ns	20329.133	20329133000	0.020329	20280.8	0.000	75614.770	2064991	2059404	5587	99.7294	112	0	0	0
iommu_e32_m100ns	15301.439	15301439000	0.015301	15252.3	0.000	50089.780	2064988	2059401	5587	99.7294	112	0	0	0
iommu_e32_m250ns	15802.336	15802336000	0.015802	15753.5	0.000	54247.370	2056616	2051029	5587	99.7283	112	0	0	0
iommu_e32_m500ns	17536.657	17536657000	0.017537	17487.8	0.000	61434.350	2064994	2059407	5587	99.7294	112	0	0	0
iommu_e32_m1000ns	20329.133	20329133000	0.020329	20280.8	0.000	75614.770	2064991	2059404	5587	99.7294	112	0	0	0
iommu_e64_m100ns	14873.557	14873557000	0.014874	14824.5	0.000	47409.450	2065146	2065034	112	99.9946	112	0	0	0
iommu_e64_m250ns	14884.949	14884949000	0.014885	14836.1	0.000	47554.030	2065013	2064901	112	99.9946	112	0	0	0
iommu_e64_m500ns	14918.819	14918819000	0.014919	14870	0.000	47800.790	2065152	2065040	112	99.9946	112	0	0	0
iommu_e64_m1000ns	14974.434	14974434000	0.014974	14925.5	0.000	48289.740	2065149	2065037	112	99.9946	112	0	0	0
iommu_e256_m100ns	14873.557	14873557000	0.014874	14824.5	0.000	47409.450	2065146	2065034	112	99.9946	112	0	0	0
iommu_e256_m250ns	14884.949	14884949000	0.014885	14836.1	0.000	47554.030	2065013	2064901	112	99.9946	112	0	0	0
iommu_e256_m500ns	14918.819	14918819000	0.014919	14870	0.000	47800.790	2065152	2065040	112	99.9946	112	0	0	0
iommu_e256_m1000ns	14974.434	14974434000	0.014974	14925.5	0.000	48289.740	2065149	2065037	112	99.9946	112	0	0	0
iommu_e2048_m100ns	14873.557	14873557000	0.014874	14824.5	0.000	47409.450	2065146	2065034	112	99.9946	112	0	0	0
iommu_e2048_m250ns	14884.949	14884949000	0.014885	14836.1	0.000	47554.030	2065013	2064901	112	99.9946	112	0	0	0
iommu_e2048_m500ns	14918.819	14918819000	0.014919	14870	0.000	47800.790	2065152	2065040	112	99.9946	112	0	0	0
iommu_e2048_m1000ns	14974.434	14974434000	0.014974	14925.5	0.000	48289.740	2065149	2065037	112	99.9946	112	0	0	0
