mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
iommu_e256_m100ns,5284647000,5284.647,1.501,0.028,5763.153,9.086
iommu_e2048_m100ns,5284647000,5284.647,1.501,0.028,5763.153,9.086
aia-kd,5332789000,5332.789,49.643,0.940,5558.698,5.216
iommu_e64_m100ns,5284647000,5284.647,1.501,0.028,5763.153,9.086
iommu_e256_m500ns,5288141000,5288.141,4.995,0.095,5773.047,9.273
iommu_e8_m500ns,5288141000,5288.141,4.995,0.095,5773.047,9.273
iommu_e8_m1000ns,5291765000,5291.765,8.619,0.163,5784.671,9.493
iommu_e64_m250ns,5286199000,5286.199,3.053,0.058,5767.105,9.160
iommu_e8_m100ns,5284647000,5284.647,1.501,0.028,5763.153,9.086
iommu_e32_m1000ns,5291765000,5291.765,8.619,0.163,5784.671,9.493
plain,5283146000,5283.146,0.000,0.000,5283.146,0.000
iommu_e256_m250ns,5286199000,5286.199,3.053,0.058,5767.105,9.160
iommu_e16_m100ns,5284647000,5284.647,1.501,0.028,5763.153,9.086
iommu_e32_m100ns,5284647000,5284.647,1.501,0.028,5763.153,9.086
iommu_e32_m500ns,5288141000,5288.141,4.995,0.095,5773.047,9.273
iommu_e32_m250ns,5286199000,5286.199,3.053,0.058,5767.105,9.160
iommu_e16_m250ns,5286199000,5286.199,3.053,0.058,5767.105,9.160
iommu_e16_m1000ns,5291765000,5291.765,8.619,0.163,5784.671,9.493
iommu_e2048_m1000ns,5291765000,5291.765,8.619,0.163,5784.671,9.493
iommu_e16_m500ns,5288141000,5288.141,4.995,0.095,5773.047,9.273
iommu_e2048_m250ns,5286199000,5286.199,3.053,0.058,5767.105,9.160
iommu_e8_m250ns,5286199000,5286.199,3.053,0.058,5767.105,9.160
iommu_e64_m1000ns,5291765000,5291.765,8.619,0.163,5784.671,9.493
iommu_e2048_m500ns,5288141000,5288.141,4.995,0.095,5773.047,9.273
iommu_e64_m500ns,5288141000,5288.141,4.995,0.095,5773.047,9.273
iommu_e256_m1000ns,5291765000,5291.765,8.619,0.163,5784.671,9.493
