mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	smid_requests	smid_validations
iommu_e256_m100ns	5284.647	5284647000	0.005285	4765.82	0.000	478.506	238469	238453	16	99.9933	0	0
iommu_e2048_m100ns	5284.647	5284647000	0.005285	4765.82	0.000	478.506	238469	238453	16	99.9933	0	0
aia-kd	5332.789	5332789000	0.005333	4813.5	225.909	-	-	-	-	-	119567	8
iommu_e64_m100ns	5284.647	5284647000	0.005285	4765.82	0.000	478.506	238469	238453	16	99.9933	0	0
iommu_e256_m500ns	5288.141	5288141000	0.005288	4769.07	0.000	484.906	238469	238453	16	99.9933	0	0
iommu_e8_m500ns	5288.141	5288141000	0.005288	4769.07	0.000	484.906	238469	238453	16	99.9933	0	0
iommu_e8_m1000ns	5291.765	5291765000	0.005292	4773.07	0.000	492.906	238469	238453	16	99.9933	0	0
iommu_e64_m250ns	5286.199	5286199000	0.005286	4767.07	0.000	480.906	238469	238453	16	99.9933	0	0
iommu_e8_m100ns	5284.647	5284647000	0.005285	4765.82	0.000	478.506	238469	238453	16	99.9933	0	0
iommu_e32_m1000ns	5291.765	5291765000	0.005292	4773.07	0.000	492.906	238469	238453	16	99.9933	0	0
plain	5283.146	5283146000	0.005283	4764.1	0.000	-	-	-	-	-	0	0
iommu_e256_m250ns	5286.199	5286199000	0.005286	4767.07	0.000	480.906	238469	238453	16	99.9933	0	0
iommu_e16_m100ns	5284.647	5284647000	0.005285	4765.82	0.000	478.506	238469	238453	16	99.9933	0	0
iommu_e32_m100ns	5284.647	5284647000	0.005285	4765.82	0.000	478.506	238469	238453	16	99.9933	0	0
iommu_e32_m500ns	5288.141	5288141000	0.005288	4769.07	0.000	484.906	238469	238453	16	99.9933	0	0
iommu_e32_m250ns	5286.199	5286199000	0.005286	4767.07	0.000	480.906	238469	238453	16	99.9933	0	0
iommu_e16_m250ns	5286.199	5286199000	0.005286	4767.07	0.000	480.906	238469	238453	16	99.9933	0	0
iommu_e16_m1000ns	5291.765	5291765000	0.005292	4773.07	0.000	492.906	238469	238453	16	99.9933	0	0
iommu_e2048_m1000ns	5291.765	5291765000	0.005292	4773.07	0.000	492.906	238469	238453	16	99.9933	0	0
iommu_e16_m500ns	5288.141	5288141000	0.005288	4769.07	0.000	484.906	238469	238453	16	99.9933	0	0
iommu_e2048_m250ns	5286.199	5286199000	0.005286	4767.07	0.000	480.906	238469	238453	16	99.9933	0	0
iommu_e8_m250ns	5286.199	5286199000	0.005286	4767.07	0.000	480.906	238469	238453	16	99.9933	0	0
iommu_e64_m1000ns	5291.765	5291765000	0.005292	4773.07	0.000	492.906	238469	238453	16	99.9933	0	0
iommu_e2048_m500ns	5288.141	5288141000	0.005288	4769.07	0.000	484.906	238469	238453	16	99.9933	0	0
iommu_e64_m500ns	5288.141	5288141000	0.005288	4769.07	0.000	484.906	238469	238453	16	99.9933	0	0
iommu_e256_m1000ns	5291.765	5291765000	0.005292	4773.07	0.000	492.906	238469	238453	16	99.9933	0	0
