benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
md_knn	plain	-	-	4457.006	4457.006	0.000	0.000%	-	-	0	0	0	-	0	0	0	0
md_knn	aia-kd	-	-	4457.006	4698.218	241.212	5.412%	292.482	6.562%	0	0	0	-	0	23035	22	14
md_knn	iommu_e8_m100ns	8	100	4457.006	4460.790	3.784	0.085%	95.846	2.150%	23304	23288	16	99.9313%	15	0	0	0
md_knn	iommu_e8_m250ns	8	250	4457.006	4461.301	4.295	0.096%	100.346	2.251%	23304	23288	16	99.9313%	15	0	0	0
md_knn	iommu_e8_m500ns	8	500	4457.006	4464.643	7.637	0.171%	107.846	2.420%	23304	23288	16	99.9313%	15	0	0	0
md_knn	iommu_e8_m1000ns	8	1000	4457.006	4472.578	15.572	0.349%	122.850	2.756%	23305	23289	16	99.9313%	15	0	0	0
md_knn	iommu_e16_m100ns	16	100	4457.006	4460.790	3.784	0.085%	95.748	2.148%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e16_m250ns	16	250	4457.006	4461.301	4.295	0.096%	100.098	2.246%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e16_m500ns	16	500	4457.006	4464.643	7.637	0.171%	107.348	2.409%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e16_m1000ns	16	1000	4457.006	4472.578	15.572	0.349%	121.852	2.734%	23305	23290	15	99.9356%	15	0	0	0
md_knn	iommu_e32_m100ns	32	100	4457.006	4460.790	3.784	0.085%	95.748	2.148%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e32_m250ns	32	250	4457.006	4461.301	4.295	0.096%	100.098	2.246%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e32_m500ns	32	500	4457.006	4464.643	7.637	0.171%	107.348	2.409%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e32_m1000ns	32	1000	4457.006	4472.578	15.572	0.349%	121.852	2.734%	23305	23290	15	99.9356%	15	0	0	0
md_knn	iommu_e64_m100ns	64	100	4457.006	4460.790	3.784	0.085%	95.748	2.148%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e64_m250ns	64	250	4457.006	4461.301	4.295	0.096%	100.098	2.246%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e64_m500ns	64	500	4457.006	4464.643	7.637	0.171%	107.348	2.409%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e64_m1000ns	64	1000	4457.006	4472.578	15.572	0.349%	121.852	2.734%	23305	23290	15	99.9356%	15	0	0	0
md_knn	iommu_e256_m100ns	256	100	4457.006	4460.790	3.784	0.085%	95.748	2.148%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e256_m250ns	256	250	4457.006	4461.301	4.295	0.096%	100.098	2.246%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e256_m500ns	256	500	4457.006	4464.643	7.637	0.171%	107.348	2.409%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e256_m1000ns	256	1000	4457.006	4472.578	15.572	0.349%	121.852	2.734%	23305	23290	15	99.9356%	15	0	0	0
md_knn	iommu_e2048_m100ns	2048	100	4457.006	4460.790	3.784	0.085%	95.748	2.148%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e2048_m250ns	2048	250	4457.006	4461.301	4.295	0.096%	100.098	2.246%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e2048_m500ns	2048	500	4457.006	4464.643	7.637	0.171%	107.348	2.409%	23304	23289	15	99.9356%	15	0	0	0
md_knn	iommu_e2048_m1000ns	2048	1000	4457.006	4472.578	15.572	0.349%	121.852	2.734%	23305	23290	15	99.9356%	15	0	0	0
