mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
iommu_e256_m100ns	4460790000	4460.790	3.784	0.085	4556.538	2.233
iommu_e32_m100ns	4460790000	4460.790	3.784	0.085	4556.538	2.233
iommu_e8_m100ns	4460790000	4460.790	3.784	0.085	4556.636	2.235
iommu_e16_m1000ns	4472578000	4472.578	15.572	0.349	4594.430	3.083
iommu_e64_m100ns	4460790000	4460.790	3.784	0.085	4556.538	2.233
iommu_e2048_m100ns	4460790000	4460.790	3.784	0.085	4556.538	2.233
iommu_e8_m250ns	4461301000	4461.301	4.295	0.096	4561.647	2.348
iommu_e16_m100ns	4460790000	4460.790	3.784	0.085	4556.538	2.233
iommu_e8_m1000ns	4472578000	4472.578	15.572	0.349	4595.428	3.106
iommu_e2048_m250ns	4461301000	4461.301	4.295	0.096	4561.399	2.342
iommu_e8_m500ns	4464643000	4464.643	7.637	0.171	4572.489	2.591
iommu_e32_m1000ns	4472578000	4472.578	15.572	0.349	4594.430	3.083
iommu_e16_m500ns	4464643000	4464.643	7.637	0.171	4571.991	2.580
plain	4457006000	4457.006	0.000	0.000	4457.006	0.000
iommu_e64_m1000ns	4472578000	4472.578	15.572	0.349	4594.430	3.083
aia-kd	4698218000	4698.218	241.212	5.412	4990.700	11.974
iommu_e16_m250ns	4461301000	4461.301	4.295	0.096	4561.399	2.342
iommu_e32_m250ns	4461301000	4461.301	4.295	0.096	4561.399	2.342
iommu_e32_m500ns	4464643000	4464.643	7.637	0.171	4571.991	2.580
iommu_e2048_m500ns	4464643000	4464.643	7.637	0.171	4571.991	2.580
iommu_e256_m250ns	4461301000	4461.301	4.295	0.096	4561.399	2.342
iommu_e256_m1000ns	4472578000	4472.578	15.572	0.349	4594.430	3.083
iommu_e64_m250ns	4461301000	4461.301	4.295	0.096	4561.399	2.342
iommu_e256_m500ns	4464643000	4464.643	7.637	0.171	4571.991	2.580
iommu_e64_m500ns	4464643000	4464.643	7.637	0.171	4571.991	2.580
iommu_e2048_m1000ns	4472578000	4472.578	15.572	0.349	4594.430	3.083
