mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
plain,4457.003,4457003000,0.004457,689.41,0.000,-,-,-,-,-,0,0
iommu_e64_m250ns,4460.845,4460845000,0.004461,690.87,0.000,95.264,45648,45632,16,99.9649,0,0
iommu_e64_m1000ns,4464.789,4464789000,0.004465,696.45,0.000,107.252,45642,45626,16,99.9649,0,0
iommu_e2048_m100ns,4457.003,4457003000,0.004457,689.65,0.000,92.860,45646,45630,16,99.9649,0,0
iommu_e32_m250ns,4460.845,4460845000,0.004461,690.87,0.000,95.264,45648,45632,16,99.9649,0,0
iommu_e8_m1000ns,4464.789,4464789000,0.004465,696.45,0.000,107.252,45642,45626,16,99.9649,0,0
iommu_e8_m100ns,4457.003,4457003000,0.004457,689.65,0.000,92.860,45646,45630,16,99.9649,0,0
iommu_e32_m1000ns,4464.789,4464789000,0.004465,696.45,0.000,107.252,45642,45626,16,99.9649,0,0
aia-kd,4503.718,4503718000,0.004504,736.29,108.771,-,-,-,-,-,23127,8
iommu_e8_m500ns,4461.240,4461240000,0.004461,692.59,0.000,99.256,45644,45628,16,99.9649,0,0
iommu_e256_m100ns,4457.003,4457003000,0.004457,689.65,0.000,92.860,45646,45630,16,99.9649,0,0
iommu_e16_m250ns,4460.845,4460845000,0.004461,690.87,0.000,95.264,45648,45632,16,99.9649,0,0
iommu_e16_m1000ns,4464.789,4464789000,0.004465,696.45,0.000,107.252,45642,45626,16,99.9649,0,0
iommu_e256_m500ns,4461.240,4461240000,0.004461,692.59,0.000,99.256,45644,45628,16,99.9649,0,0
iommu_e32_m100ns,4457.003,4457003000,0.004457,689.65,0.000,92.860,45646,45630,16,99.9649,0,0
iommu_e2048_m1000ns,4464.789,4464789000,0.004465,696.45,0.000,107.252,45642,45626,16,99.9649,0,0
iommu_e2048_m250ns,4460.845,4460845000,0.004461,690.87,0.000,95.264,45648,45632,16,99.9649,0,0
iommu_e2048_m500ns,4461.240,4461240000,0.004461,692.59,0.000,99.256,45644,45628,16,99.9649,0,0
iommu_e16_m500ns,4461.240,4461240000,0.004461,692.59,0.000,99.256,45644,45628,16,99.9649,0,0
iommu_e64_m100ns,4457.003,4457003000,0.004457,689.65,0.000,92.860,45646,45630,16,99.9649,0,0
iommu_e16_m100ns,4457.003,4457003000,0.004457,689.65,0.000,92.860,45646,45630,16,99.9649,0,0
iommu_e8_m250ns,4460.845,4460845000,0.004461,690.87,0.000,95.264,45648,45632,16,99.9649,0,0
iommu_e32_m500ns,4461.240,4461240000,0.004461,692.59,0.000,99.256,45644,45628,16,99.9649,0,0
iommu_e64_m500ns,4461.240,4461240000,0.004461,692.59,0.000,99.256,45644,45628,16,99.9649,0,0
iommu_e256_m1000ns,4464.789,4464789000,0.004465,696.45,0.000,107.252,45642,45626,16,99.9649,0,0
iommu_e256_m250ns,4460.845,4460845000,0.004461,690.87,0.000,95.264,45648,45632,16,99.9649,0,0
