mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
plain	4457.006	4457006000	0.004457	689.41	0.000	-	0	0	0	-	0	0	0	0
aia-kd	4698.218	4698218000	0.004698	931.44	292.482	-	0	0	0	-	0	23035	22	14
iommu_e8_m100ns	4460.790	4460790000	0.004461	690.83	0.000	95.846	23304	23288	16	99.9313	15	0	0	0
iommu_e8_m250ns	4461.301	4461301000	0.004461	693.05	0.000	100.346	23304	23288	16	99.9313	15	0	0	0
iommu_e8_m500ns	4464.643	4464643000	0.004465	697.11	0.000	107.846	23304	23288	16	99.9313	15	0	0	0
iommu_e8_m1000ns	4472.578	4472578000	0.004473	705.24	0.000	122.850	23305	23289	16	99.9313	15	0	0	0
iommu_e16_m100ns	4460.790	4460790000	0.004461	690.75	0.000	95.748	23304	23289	15	99.9356	15	0	0	0
iommu_e16_m250ns	4461.301	4461301000	0.004461	692.82	0.000	100.098	23304	23289	15	99.9356	15	0	0	0
iommu_e16_m500ns	4464.643	4464643000	0.004465	696.63	0.000	107.348	23304	23289	15	99.9356	15	0	0	0
iommu_e16_m1000ns	4472.578	4472578000	0.004473	704.26	0.000	121.852	23305	23290	15	99.9356	15	0	0	0
iommu_e32_m100ns	4460.790	4460790000	0.004461	690.75	0.000	95.748	23304	23289	15	99.9356	15	0	0	0
iommu_e32_m250ns	4461.301	4461301000	0.004461	692.82	0.000	100.098	23304	23289	15	99.9356	15	0	0	0
iommu_e32_m500ns	4464.643	4464643000	0.004465	696.63	0.000	107.348	23304	23289	15	99.9356	15	0	0	0
iommu_e32_m1000ns	4472.578	4472578000	0.004473	704.26	0.000	121.852	23305	23290	15	99.9356	15	0	0	0
iommu_e64_m100ns	4460.790	4460790000	0.004461	690.75	0.000	95.748	23304	23289	15	99.9356	15	0	0	0
iommu_e64_m250ns	4461.301	4461301000	0.004461	692.82	0.000	100.098	23304	23289	15	99.9356	15	0	0	0
iommu_e64_m500ns	4464.643	4464643000	0.004465	696.63	0.000	107.348	23304	23289	15	99.9356	15	0	0	0
iommu_e64_m1000ns	4472.578	4472578000	0.004473	704.26	0.000	121.852	23305	23290	15	99.9356	15	0	0	0
iommu_e256_m100ns	4460.790	4460790000	0.004461	690.75	0.000	95.748	23304	23289	15	99.9356	15	0	0	0
iommu_e256_m250ns	4461.301	4461301000	0.004461	692.82	0.000	100.098	23304	23289	15	99.9356	15	0	0	0
iommu_e256_m500ns	4464.643	4464643000	0.004465	696.63	0.000	107.348	23304	23289	15	99.9356	15	0	0	0
iommu_e256_m1000ns	4472.578	4472578000	0.004473	704.26	0.000	121.852	23305	23290	15	99.9356	15	0	0	0
iommu_e2048_m100ns	4460.790	4460790000	0.004461	690.75	0.000	95.748	23304	23289	15	99.9356	15	0	0	0
iommu_e2048_m250ns	4461.301	4461301000	0.004461	692.82	0.000	100.098	23304	23289	15	99.9356	15	0	0	0
iommu_e2048_m500ns	4464.643	4464643000	0.004465	696.63	0.000	107.348	23304	23289	15	99.9356	15	0	0	0
iommu_e2048_m1000ns	4472.578	4472578000	0.004473	704.26	0.000	121.852	23305	23290	15	99.9356	15	0	0	0
