benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	smid_requests	smid_validations
mergesort	plain	-	-	3438.083	3438.083	0.000	0.000%	-	-	-	-	-	-	0	0
mergesort	aia-kd	-	-	3438.083	3478.356	40.273	1.171%	75.303	2.190%	-	-	-	-	120610	5
mergesort	iommu_e8_m100ns	8	100	3438.083	3439.316	1.233	0.036%	482.356	14.030%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e8_m250ns	8	250	3438.083	3441.826	3.743	0.109%	483.856	14.073%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e8_m500ns	8	500	3438.083	3439.427	1.344	0.039%	486.356	14.146%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e8_m1000ns	8	1000	3438.083	3444.834	6.751	0.196%	491.356	14.292%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e16_m100ns	16	100	3438.083	3439.316	1.233	0.036%	482.356	14.030%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e16_m250ns	16	250	3438.083	3441.826	3.743	0.109%	483.856	14.073%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e16_m500ns	16	500	3438.083	3439.427	1.344	0.039%	486.356	14.146%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e16_m1000ns	16	1000	3438.083	3444.834	6.751	0.196%	491.356	14.292%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e32_m100ns	32	100	3438.083	3439.316	1.233	0.036%	482.356	14.030%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e32_m250ns	32	250	3438.083	3441.826	3.743	0.109%	483.856	14.073%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e32_m500ns	32	500	3438.083	3439.427	1.344	0.039%	486.356	14.146%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e32_m1000ns	32	1000	3438.083	3444.834	6.751	0.196%	491.356	14.292%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e64_m100ns	64	100	3438.083	3439.316	1.233	0.036%	482.356	14.030%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e64_m250ns	64	250	3438.083	3441.826	3.743	0.109%	483.856	14.073%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e64_m500ns	64	500	3438.083	3439.427	1.344	0.039%	486.356	14.146%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e64_m1000ns	64	1000	3438.083	3444.834	6.751	0.196%	491.356	14.292%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e256_m100ns	256	100	3438.083	3439.316	1.233	0.036%	482.356	14.030%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e256_m250ns	256	250	3438.083	3441.826	3.743	0.109%	483.856	14.073%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e256_m500ns	256	500	3438.083	3439.427	1.344	0.039%	486.356	14.146%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e256_m1000ns	256	1000	3438.083	3444.834	6.751	0.196%	491.356	14.292%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e2048_m100ns	2048	100	3438.083	3439.316	1.233	0.036%	482.356	14.030%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e2048_m250ns	2048	250	3438.083	3441.826	3.743	0.109%	483.856	14.073%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e2048_m500ns	2048	500	3438.083	3439.427	1.344	0.039%	486.356	14.146%	240688	240678	10	99.9958%	0	0
mergesort	iommu_e2048_m1000ns	2048	1000	3438.083	3444.834	6.751	0.196%	491.356	14.292%	240688	240678	10	99.9958%	0	0
