mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
iommu_e32_m100ns	3440997000	3440.997	2.778	0.081	3924.719	14.150
iommu_e32_m250ns	3442828000	3442.828	4.609	0.134	3928.954	14.273
iommu_e16_m1000ns	3448858000	3448.858	10.639	0.309	3946.992	14.798
iommu_e16_m250ns	3442828000	3442.828	4.609	0.134	3928.954	14.273
iommu_e2048_m500ns	3445692000	3445.692	7.473	0.217	3935.826	14.473
iommu_e256_m250ns	3442828000	3442.828	4.609	0.134	3928.954	14.273
iommu_e8_m500ns	3445692000	3445.692	7.473	0.217	3935.826	14.473
iommu_e2048_m100ns	3440997000	3440.997	2.778	0.081	3924.719	14.150
plain	3438219000	3438.219	0.000	0.000	3438.219	0.000
iommu_e32_m1000ns	3448858000	3448.858	10.639	0.309	3946.992	14.798
iommu_e256_m500ns	3445692000	3445.692	7.473	0.217	3935.826	14.473
iommu_e2048_m250ns	3442828000	3442.828	4.609	0.134	3928.954	14.273
iommu_e16_m100ns	3440997000	3440.997	2.778	0.081	3924.719	14.150
iommu_e64_m500ns	3445692000	3445.692	7.473	0.217	3935.826	14.473
iommu_e8_m100ns	3440997000	3440.997	2.778	0.081	3924.719	14.150
iommu_e256_m100ns	3440997000	3440.997	2.778	0.081	3924.719	14.150
iommu_e16_m500ns	3445692000	3445.692	7.473	0.217	3935.826	14.473
iommu_e64_m250ns	3442828000	3442.828	4.609	0.134	3928.954	14.273
iommu_e256_m1000ns	3448858000	3448.858	10.639	0.309	3946.992	14.798
iommu_e64_m100ns	3440997000	3440.997	2.778	0.081	3924.719	14.150
iommu_e64_m1000ns	3448858000	3448.858	10.639	0.309	3946.992	14.798
iommu_e8_m250ns	3442828000	3442.828	4.609	0.134	3928.954	14.273
iommu_e8_m1000ns	3448858000	3448.858	10.639	0.309	3946.992	14.798
aia-kd	3532882000	3532.882	94.663	2.753	3633.275	5.673
iommu_e2048_m1000ns	3448858000	3448.858	10.639	0.309	3946.992	14.798
iommu_e32_m500ns	3445692000	3445.692	7.473	0.217	3935.826	14.473
