mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
iommu_e8_m250ns,3441.826,3441826000,0.003442,1083.27,0.000,483.856,240688,240678,10,99.9958,0,0
plain,3438.083,3438083000,0.003438,1082.22,0.000,-,-,-,-,-,0,0
iommu_e8_m500ns,3439.427,3439427000,0.003439,1084.52,0.000,486.356,240688,240678,10,99.9958,0,0
aia-kd,3478.356,3478356000,0.003478,1123.92,75.303,-,-,-,-,-,120610,5
iommu_e64_m1000ns,3444.834,3444834000,0.003445,1087.02,0.000,491.356,240688,240678,10,99.9958,0,0
iommu_e8_m100ns,3439.316,3439316000,0.003439,1082.52,0.000,482.356,240688,240678,10,99.9958,0,0
iommu_e64_m100ns,3439.316,3439316000,0.003439,1082.52,0.000,482.356,240688,240678,10,99.9958,0,0
iommu_e32_m1000ns,3444.834,3444834000,0.003445,1087.02,0.000,491.356,240688,240678,10,99.9958,0,0
iommu_e16_m500ns,3439.427,3439427000,0.003439,1084.52,0.000,486.356,240688,240678,10,99.9958,0,0
iommu_e32_m500ns,3439.427,3439427000,0.003439,1084.52,0.000,486.356,240688,240678,10,99.9958,0,0
iommu_e2048_m100ns,3439.316,3439316000,0.003439,1082.52,0.000,482.356,240688,240678,10,99.9958,0,0
iommu_e256_m250ns,3441.826,3441826000,0.003442,1083.27,0.000,483.856,240688,240678,10,99.9958,0,0
iommu_e32_m250ns,3441.826,3441826000,0.003442,1083.27,0.000,483.856,240688,240678,10,99.9958,0,0
iommu_e256_m100ns,3439.316,3439316000,0.003439,1082.52,0.000,482.356,240688,240678,10,99.9958,0,0
iommu_e16_m250ns,3441.826,3441826000,0.003442,1083.27,0.000,483.856,240688,240678,10,99.9958,0,0
iommu_e32_m100ns,3439.316,3439316000,0.003439,1082.52,0.000,482.356,240688,240678,10,99.9958,0,0
iommu_e8_m1000ns,3444.834,3444834000,0.003445,1087.02,0.000,491.356,240688,240678,10,99.9958,0,0
iommu_e256_m1000ns,3444.834,3444834000,0.003445,1087.02,0.000,491.356,240688,240678,10,99.9958,0,0
iommu_e16_m100ns,3439.316,3439316000,0.003439,1082.52,0.000,482.356,240688,240678,10,99.9958,0,0
iommu_e64_m500ns,3439.427,3439427000,0.003439,1084.52,0.000,486.356,240688,240678,10,99.9958,0,0
iommu_e16_m1000ns,3444.834,3444834000,0.003445,1087.02,0.000,491.356,240688,240678,10,99.9958,0,0
iommu_e64_m250ns,3441.826,3441826000,0.003442,1083.27,0.000,483.856,240688,240678,10,99.9958,0,0
iommu_e2048_m250ns,3441.826,3441826000,0.003442,1083.27,0.000,483.856,240688,240678,10,99.9958,0,0
iommu_e256_m500ns,3439.427,3439427000,0.003439,1084.52,0.000,486.356,240688,240678,10,99.9958,0,0
iommu_e2048_m500ns,3439.427,3439427000,0.003439,1084.52,0.000,486.356,240688,240678,10,99.9958,0,0
iommu_e2048_m1000ns,3444.834,3444834000,0.003445,1087.02,0.000,491.356,240688,240678,10,99.9958,0,0
