benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
mobilenetv2,plain,-,-,25503.015,25503.015,0.000,0.000%,-,-,-,-,-,-,0,0
mobilenetv2,aia-kd,-,-,25503.015,27919.841,2416.826,9.477%,875299.977,3432.143%,-,-,-,-,330970279,550
mobilenetv2,iommu_e8_m100ns,8,100,25503.015,261576.433,236073.418,925.669%,13304461.352,52168.190%,1638708397,1536391676,102316721,93.7563%,0,0
mobilenetv2,iommu_e8_m250ns,8,250,25503.015,508000.399,482497.384,1891.923%,28653231.352,112352.329%,1637030065,1534694695,102335370,93.7487%,0,0
mobilenetv2,iommu_e8_m500ns,8,500,25503.015,918721.967,893218.952,3502.405%,54302846.552,212927.164%,1636808460,1534340129,102468331,93.7397%,0,0
mobilenetv2,iommu_e8_m1000ns,8,1000,25503.015,1739522.911,1714019.896,6720.852%,105537027.564,413821.768%,1636815138,1534346807,102468331,93.7398%,0,0
mobilenetv2,iommu_e16_m100ns,16,100,25503.015,101723.181,76220.166,298.867%,3259749.664,12781.821%,1629783642,1629781776,1866,99.9999%,0,0
mobilenetv2,iommu_e16_m250ns,16,250,25503.015,101804.304,76301.289,299.185%,3260066.852,12783.064%,1629802063,1629800197,1866,99.9999%,0,0
mobilenetv2,iommu_e16_m500ns,16,500,25503.015,101896.329,76393.314,299.546%,3260534.764,12784.899%,1629802564,1629800698,1866,99.9999%,0,0
mobilenetv2,iommu_e16_m1000ns,16,1000,25503.015,102076.805,76573.790,300.254%,3261478.964,12788.602%,1629808424,1629806558,1866,99.9999%,0,0
mobilenetv2,iommu_e32_m100ns,32,100,25503.015,101721.461,76218.446,298.861%,3259742.664,12781.793%,1629783491,1629781695,1796,99.9999%,0,0
mobilenetv2,iommu_e32_m250ns,32,250,25503.015,101808.168,76305.153,299.201%,3260050.264,12782.999%,1629802331,1629800535,1796,99.9999%,0,0
mobilenetv2,iommu_e32_m500ns,32,500,25503.015,101892.660,76389.645,299.532%,3260500.012,12784.763%,1629802627,1629800831,1796,99.9999%,0,0
mobilenetv2,iommu_e32_m1000ns,32,1000,25503.015,102069.291,76566.276,300.224%,3261409.252,12788.328%,1629808509,1629806713,1796,99.9999%,0,0
mobilenetv2,iommu_e64_m100ns,64,100,25503.015,101721.461,76218.446,298.861%,3259742.664,12781.793%,1629783491,1629781695,1796,99.9999%,0,0
mobilenetv2,iommu_e64_m250ns,64,250,25503.015,101808.168,76305.153,299.201%,3260050.264,12782.999%,1629802331,1629800535,1796,99.9999%,0,0
mobilenetv2,iommu_e64_m500ns,64,500,25503.015,101892.660,76389.645,299.532%,3260500.012,12784.763%,1629802627,1629800831,1796,99.9999%,0,0
mobilenetv2,iommu_e64_m1000ns,64,1000,25503.015,102069.291,76566.276,300.224%,3261409.252,12788.328%,1629808509,1629806713,1796,99.9999%,0,0
mobilenetv2,iommu_e256_m100ns,256,100,25503.015,101721.461,76218.446,298.861%,3259742.664,12781.793%,1629783491,1629781695,1796,99.9999%,0,0
mobilenetv2,iommu_e256_m250ns,256,250,25503.015,101808.168,76305.153,299.201%,3260050.264,12782.999%,1629802331,1629800535,1796,99.9999%,0,0
mobilenetv2,iommu_e256_m500ns,256,500,25503.015,101892.660,76389.645,299.532%,3260500.012,12784.763%,1629802627,1629800831,1796,99.9999%,0,0
mobilenetv2,iommu_e256_m1000ns,256,1000,25503.015,102069.291,76566.276,300.224%,3261409.252,12788.328%,1629808509,1629806713,1796,99.9999%,0,0
mobilenetv2,iommu_e2048_m100ns,2048,100,25503.015,101721.461,76218.446,298.861%,3259742.664,12781.793%,1629783491,1629781695,1796,99.9999%,0,0
mobilenetv2,iommu_e2048_m250ns,2048,250,25503.015,101808.168,76305.153,299.201%,3260050.264,12782.999%,1629802331,1629800535,1796,99.9999%,0,0
mobilenetv2,iommu_e2048_m500ns,2048,500,25503.015,101892.660,76389.645,299.532%,3260500.012,12784.763%,1629802627,1629800831,1796,99.9999%,0,0
mobilenetv2,iommu_e2048_m1000ns,2048,1000,25503.015,102069.291,76566.276,300.224%,3261409.252,12788.328%,1629808509,1629806713,1796,99.9999%,0,0
