mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
plain,25503015000,25503.015,0.000,0.000,25503.015,0.000
iommu_e64_m250ns,101808168000,101808.168,76305.153,299.201,3361858.432,13082.200
iommu_e32_m500ns,101892660000,101892.660,76389.645,299.532,3362392.672,13084.295
aia-kd,27919841000,27919.841,2416.826,9.477,903219.818,3441.620
iommu_e64_m100ns,101721461000,101721.461,76218.446,298.861,3361464.125,13080.654
iommu_e32_m100ns,101721461000,101721.461,76218.446,298.861,3361464.125,13080.654
iommu_e32_m1000ns,102069291000,102069.291,76566.276,300.224,3363478.543,13088.553
iommu_e256_m250ns,101808168000,101808.168,76305.153,299.201,3361858.432,13082.200
iommu_e16_m100ns,101723181000,101723.181,76220.166,298.867,3361472.845,13080.688
iommu_e2048_m250ns,101808168000,101808.168,76305.153,299.201,3361858.432,13082.200
iommu_e2048_m500ns,101892660000,101892.660,76389.645,299.532,3362392.672,13084.295
iommu_e16_m1000ns,102076805000,102076.805,76573.790,300.254,3363555.769,13088.855
iommu_e16_m250ns,101804304000,101804.304,76301.289,299.185,3361871.156,13082.250
iommu_e32_m250ns,101808168000,101808.168,76305.153,299.201,3361858.432,13082.200
iommu_e256_m100ns,101721461000,101721.461,76218.446,298.861,3361464.125,13080.654
iommu_e2048_m100ns,101721461000,101721.461,76218.446,298.861,3361464.125,13080.654
iommu_e64_m1000ns,102069291000,102069.291,76566.276,300.224,3363478.543,13088.553
iommu_e16_m500ns,101896329000,101896.329,76393.314,299.546,3362431.093,13084.445
iommu_e64_m500ns,101892660000,101892.660,76389.645,299.532,3362392.672,13084.295
iommu_e2048_m1000ns,102069291000,102069.291,76566.276,300.224,3363478.543,13088.553
iommu_e256_m500ns,101892660000,101892.660,76389.645,299.532,3362392.672,13084.295
iommu_e256_m1000ns,102069291000,102069.291,76566.276,300.224,3363478.543,13088.553
iommu_e8_m100ns,261576433000,261576.433,236073.418,925.669,13566037.785,53093.859
iommu_e8_m250ns,508000399000,508000.399,482497.384,1891.923,29161231.751,114244.252
iommu_e8_m500ns,918721967000,918721.967,893218.952,3502.405,55221568.519,216429.569
iommu_e8_m1000ns,1739522911000,1739522.911,1714019.896,6720.852,107276550.475,420542.620
