mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
plain	25503.018	25503018000	0.025503	3476.72	0.000	-	0	0	0	-	0	0	0	0
aia-kd	37607.620	37607620000	0.037608	6311.48	603112.828	-	0	0	0	-	0	330209940	5647	5112
iommu_e8_m100ns	260928.989	260928989000	0.260929	13773.3	0.000	13333976.386	44896532	43255488	1641044	96.3448	747	0	0	0
iommu_e8_m250ns	508860.695	508860695000	0.508861	13869.7	0.000	28747245.108	44882561	43237449	1645112	96.3346	747	0	0	0
iommu_e8_m500ns	920064.471	920064471000	0.920064	14030.9	0.000	54391366.890	44879256	43234727	1644529	96.3357	747	0	0	0
iommu_e8_m1000ns	1742416.155	1742416155000	1.742416	14331.8	0.000	105694391.538	44895472	43250931	1644541	96.3370	747	0	0	0
iommu_e16_m100ns	101680.245	101680245000	0.101680	13773.3	0.000	3282313.258	44776275	44775152	1123	99.9975	747	0	0	0
iommu_e16_m250ns	101870.792	101870792000	0.101871	13869.5	0.000	3285081.040	44766242	44765119	1123	99.9975	747	0	0	0
iommu_e16_m500ns	102093.896	102093896000	0.102094	14030.7	0.000	3289457.250	44766870	44765747	1123	99.9975	747	0	0	0
iommu_e16_m1000ns	102640.458	102640458000	0.102640	14331	0.000	3298302.182	44765691	44764568	1123	99.9975	747	0	0	0
iommu_e32_m100ns	101621.407	101621407000	0.101621	13773.5	0.000	3280948.346	44765883	44765136	747	99.9983	747	0	0	0
iommu_e32_m250ns	101662.082	101662082000	0.101662	13870.3	0.000	3281700.608	44769855	44769108	747	99.9983	747	0	0	0
iommu_e32_m500ns	101961.537	101961537000	0.101962	14030.7	0.000	3282859.134	44771749	44771002	747	99.9983	747	0	0	0
iommu_e32_m1000ns	102302.454	102302454000	0.102302	14331.1	0.000	3285153.158	44769773	44769026	747	99.9983	747	0	0	0
iommu_e64_m100ns	101621.407	101621407000	0.101621	13773.5	0.000	3280948.346	44765883	44765136	747	99.9983	747	0	0	0
iommu_e64_m250ns	101662.082	101662082000	0.101662	13870.3	0.000	3281700.608	44769855	44769108	747	99.9983	747	0	0	0
iommu_e64_m500ns	101961.537	101961537000	0.101962	14030.7	0.000	3282859.134	44771749	44771002	747	99.9983	747	0	0	0
iommu_e64_m1000ns	102302.454	102302454000	0.102302	14331.1	0.000	3285153.158	44769773	44769026	747	99.9983	747	0	0	0
iommu_e256_m100ns	101621.407	101621407000	0.101621	13773.5	0.000	3280948.346	44765883	44765136	747	99.9983	747	0	0	0
iommu_e256_m250ns	101662.082	101662082000	0.101662	13870.3	0.000	3281700.608	44769855	44769108	747	99.9983	747	0	0	0
iommu_e256_m500ns	101961.537	101961537000	0.101962	14030.7	0.000	3282859.134	44771749	44771002	747	99.9983	747	0	0	0
iommu_e256_m1000ns	102302.454	102302454000	0.102302	14331.1	0.000	3285153.158	44769773	44769026	747	99.9983	747	0	0	0
iommu_e2048_m100ns	101621.407	101621407000	0.101621	13773.5	0.000	3280948.346	44765883	44765136	747	99.9983	747	0	0	0
iommu_e2048_m250ns	101662.082	101662082000	0.101662	13870.3	0.000	3281700.608	44769855	44769108	747	99.9983	747	0	0	0
iommu_e2048_m500ns	101961.537	101961537000	0.101962	14030.7	0.000	3282859.134	44771749	44771002	747	99.9983	747	0	0	0
iommu_e2048_m1000ns	102302.454	102302454000	0.102302	14331.1	0.000	3285153.158	44769773	44769026	747	99.9983	747	0	0	0
