benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
mobilenetv2_35,plain,-,-,25503.015,25503.015,0.000,0.000%,-,-,-,-,-,-,0,0
mobilenetv2_35,aia-kd,-,-,25503.015,26581.441,1078.426,4.229%,890049.487,3489.978%,-,-,-,-,330634905,485
mobilenetv2_35,iommu_e8_m100ns,8,100,25503.015,101999.559,76496.544,299.951%,3279742.948,12860.217%,1629751228,1629544686,206542,99.9873%,0,0
mobilenetv2_35,iommu_e8_m250ns,8,250,25503.015,102685.990,77182.975,302.643%,3309510.738,12976.939%,1629813808,1629612664,201144,99.9877%,0,0
mobilenetv2_35,iommu_e8_m500ns,8,500,25503.015,103810.920,78307.905,307.054%,3362497.546,13184.706%,1629807184,1629600591,206593,99.9873%,0,0
mobilenetv2_35,iommu_e8_m1000ns,8,1000,25503.015,106029.796,80526.781,315.754%,3465726.830,13589.479%,1629773618,1629567025,206593,99.9873%,0,0
mobilenetv2_35,iommu_e16_m100ns,16,100,25503.015,101628.967,76125.952,298.498%,3259645.230,12781.411%,1629750698,1629749230,1468,99.9999%,0,0
mobilenetv2_35,iommu_e16_m250ns,16,250,25503.015,101714.987,76211.972,298.835%,3259903.222,12782.423%,1629769838,1629768370,1468,99.9999%,0,0
mobilenetv2_35,iommu_e16_m500ns,16,500,25503.015,101797.368,76294.353,299.158%,3260271.730,12783.868%,1629770361,1629768893,1468,99.9999%,0,0
mobilenetv2_35,iommu_e16_m1000ns,16,1000,25503.015,102057.919,76554.904,300.180%,3261111.526,12787.161%,1629823377,1629821909,1468,99.9999%,0,0
mobilenetv2_35,iommu_e32_m100ns,32,100,25503.015,101628.967,76125.952,298.498%,3259645.230,12781.411%,1629750698,1629749230,1468,99.9999%,0,0
mobilenetv2_35,iommu_e32_m250ns,32,250,25503.015,101714.987,76211.972,298.835%,3259903.222,12782.423%,1629769838,1629768370,1468,99.9999%,0,0
mobilenetv2_35,iommu_e32_m500ns,32,500,25503.015,101797.368,76294.353,299.158%,3260271.730,12783.868%,1629770361,1629768893,1468,99.9999%,0,0
mobilenetv2_35,iommu_e32_m1000ns,32,1000,25503.015,102057.919,76554.904,300.180%,3261111.526,12787.161%,1629823377,1629821909,1468,99.9999%,0,0
mobilenetv2_35,iommu_e64_m100ns,64,100,25503.015,101628.967,76125.952,298.498%,3259645.230,12781.411%,1629750698,1629749230,1468,99.9999%,0,0
mobilenetv2_35,iommu_e64_m250ns,64,250,25503.015,101714.987,76211.972,298.835%,3259903.222,12782.423%,1629769838,1629768370,1468,99.9999%,0,0
mobilenetv2_35,iommu_e64_m500ns,64,500,25503.015,101797.368,76294.353,299.158%,3260271.730,12783.868%,1629770361,1629768893,1468,99.9999%,0,0
mobilenetv2_35,iommu_e64_m1000ns,64,1000,25503.015,102057.919,76554.904,300.180%,3261111.526,12787.161%,1629823377,1629821909,1468,99.9999%,0,0
mobilenetv2_35,iommu_e256_m100ns,256,100,25503.015,101628.967,76125.952,298.498%,3259645.230,12781.411%,1629750698,1629749230,1468,99.9999%,0,0
mobilenetv2_35,iommu_e256_m250ns,256,250,25503.015,101714.987,76211.972,298.835%,3259903.222,12782.423%,1629769838,1629768370,1468,99.9999%,0,0
mobilenetv2_35,iommu_e256_m500ns,256,500,25503.015,101797.368,76294.353,299.158%,3260271.730,12783.868%,1629770361,1629768893,1468,99.9999%,0,0
mobilenetv2_35,iommu_e256_m1000ns,256,1000,25503.015,102057.919,76554.904,300.180%,3261111.526,12787.161%,1629823377,1629821909,1468,99.9999%,0,0
mobilenetv2_35,iommu_e2048_m100ns,2048,100,25503.015,101628.967,76125.952,298.498%,3259645.230,12781.411%,1629750698,1629749230,1468,99.9999%,0,0
mobilenetv2_35,iommu_e2048_m250ns,2048,250,25503.015,101714.987,76211.972,298.835%,3259903.222,12782.423%,1629769838,1629768370,1468,99.9999%,0,0
mobilenetv2_35,iommu_e2048_m500ns,2048,500,25503.015,101797.368,76294.353,299.158%,3260271.730,12783.868%,1629770361,1629768893,1468,99.9999%,0,0
mobilenetv2_35,iommu_e2048_m1000ns,2048,1000,25503.015,102057.919,76554.904,300.180%,3261111.526,12787.161%,1629823377,1629821909,1468,99.9999%,0,0
