mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
plain,25503015000,25503.015,0.000,0.000,25503.015,0.000
iommu_e256_m250ns,101714987000,101714.987,76211.972,298.835,3361618.209,13081.258
iommu_e256_m500ns,101797368000,101797.368,76294.353,299.158,3362069.098,13083.026
iommu_e8_m250ns,102685990000,102685.990,77182.975,302.643,3412196.728,13279.582
iommu_e32_m500ns,101797368000,101797.368,76294.353,299.158,3362069.098,13083.026
iommu_e32_m250ns,101714987000,101714.987,76211.972,298.835,3361618.209,13081.258
iommu_e64_m500ns,101797368000,101797.368,76294.353,299.158,3362069.098,13083.026
iommu_e8_m500ns,103810920000,103810.920,78307.905,307.054,3466308.466,13491.760
iommu_e16_m100ns,101628967000,101628.967,76125.952,298.498,3361274.197,13079.909
iommu_e16_m1000ns,102057919000,102057.919,76554.904,300.180,3363169.445,13087.341
aia-kd,26581441000,26581.441,1078.426,4.229,916630.928,3494.206
iommu_e64_m100ns,101628967000,101628.967,76125.952,298.498,3361274.197,13079.909
iommu_e64_m250ns,101714987000,101714.987,76211.972,298.835,3361618.209,13081.258
iommu_e16_m250ns,101714987000,101714.987,76211.972,298.835,3361618.209,13081.258
iommu_e2048_m1000ns,102057919000,102057.919,76554.904,300.180,3363169.445,13087.341
iommu_e2048_m250ns,101714987000,101714.987,76211.972,298.835,3361618.209,13081.258
iommu_e2048_m100ns,101628967000,101628.967,76125.952,298.498,3361274.197,13079.909
iommu_e32_m100ns,101628967000,101628.967,76125.952,298.498,3361274.197,13079.909
iommu_e256_m100ns,101628967000,101628.967,76125.952,298.498,3361274.197,13079.909
iommu_e64_m1000ns,102057919000,102057.919,76554.904,300.180,3363169.445,13087.341
iommu_e8_m1000ns,106029796000,106029.796,80526.781,315.754,3571756.626,13905.233
iommu_e16_m500ns,101797368000,101797.368,76294.353,299.158,3362069.098,13083.026
iommu_e256_m1000ns,102057919000,102057.919,76554.904,300.180,3363169.445,13087.341
iommu_e8_m100ns,101999559000,101999.559,76496.544,299.951,3381742.507,13160.168
iommu_e2048_m500ns,101797368000,101797.368,76294.353,299.158,3362069.098,13083.026
iommu_e32_m1000ns,102057919000,102057.919,76554.904,300.180,3363169.445,13087.341
