mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
plain,25503.015,25503015000,0.025503,3476.72,0.000,-,-,-,-,-,0,0
iommu_e256_m250ns,101714.987,101714987000,0.101715,13792.5,0.000,3259903.222,1629769838,1629768370,1468,99.9999,0,0
iommu_e256_m500ns,101797.368,101797368000,0.101797,13871.8,0.000,3260271.730,1629770361,1629768893,1468,99.9999,0,0
iommu_e8_m250ns,102685.990,102685990000,0.102686,13793.4,0.000,3309510.738,1629813808,1629612664,201144,99.9877,0,0
iommu_e32_m500ns,101797.368,101797368000,0.101797,13871.8,0.000,3260271.730,1629770361,1629768893,1468,99.9999,0,0
iommu_e32_m250ns,101714.987,101714987000,0.101715,13792.5,0.000,3259903.222,1629769838,1629768370,1468,99.9999,0,0
iommu_e64_m500ns,101797.368,101797368000,0.101797,13871.8,0.000,3260271.730,1629770361,1629768893,1468,99.9999,0,0
iommu_e8_m500ns,103810.920,103810920000,0.103811,13871.2,0.000,3362497.546,1629807184,1629600591,206593,99.9873,0,0
iommu_e16_m100ns,101628.967,101628967000,0.101629,13744.7,0.000,3259645.230,1629750698,1629749230,1468,99.9999,0,0
iommu_e16_m1000ns,102057.919,102057919000,0.102058,14030.4,0.000,3261111.526,1629823377,1629821909,1468,99.9999,0,0
aia-kd,26581.441,26581441000,0.026581,6058.93,890049.487,-,-,-,-,-,330634905,485
iommu_e64_m100ns,101628.967,101628967000,0.101629,13744.7,0.000,3259645.230,1629750698,1629749230,1468,99.9999,0,0
iommu_e64_m250ns,101714.987,101714987000,0.101715,13792.5,0.000,3259903.222,1629769838,1629768370,1468,99.9999,0,0
iommu_e16_m250ns,101714.987,101714987000,0.101715,13792.5,0.000,3259903.222,1629769838,1629768370,1468,99.9999,0,0
iommu_e2048_m1000ns,102057.919,102057919000,0.102058,14030.4,0.000,3261111.526,1629823377,1629821909,1468,99.9999,0,0
iommu_e2048_m250ns,101714.987,101714987000,0.101715,13792.5,0.000,3259903.222,1629769838,1629768370,1468,99.9999,0,0
iommu_e2048_m100ns,101628.967,101628967000,0.101629,13744.7,0.000,3259645.230,1629750698,1629749230,1468,99.9999,0,0
iommu_e32_m100ns,101628.967,101628967000,0.101629,13744.7,0.000,3259645.230,1629750698,1629749230,1468,99.9999,0,0
iommu_e256_m100ns,101628.967,101628967000,0.101629,13744.7,0.000,3259645.230,1629750698,1629749230,1468,99.9999,0,0
iommu_e64_m1000ns,102057.919,102057919000,0.102058,14030.4,0.000,3261111.526,1629823377,1629821909,1468,99.9999,0,0
iommu_e8_m1000ns,106029.796,106029796000,0.106030,14029.2,0.000,3465726.830,1629773618,1629567025,206593,99.9873,0,0
iommu_e16_m500ns,101797.368,101797368000,0.101797,13871.8,0.000,3260271.730,1629770361,1629768893,1468,99.9999,0,0
iommu_e256_m1000ns,102057.919,102057919000,0.102058,14030.4,0.000,3261111.526,1629823377,1629821909,1468,99.9999,0,0
iommu_e8_m100ns,101999.559,101999559000,0.102000,13744.6,0.000,3279742.948,1629751228,1629544686,206542,99.9873,0,0
iommu_e2048_m500ns,101797.368,101797368000,0.101797,13871.8,0.000,3260271.730,1629770361,1629768893,1468,99.9999,0,0
iommu_e32_m1000ns,102057.919,102057919000,0.102058,14030.4,0.000,3261111.526,1629823377,1629821909,1468,99.9999,0,0
