mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
plain	25503.018	25503018000	0.025503	3476.72	0.000	-	0	0	0	-	0	0	0	0
aia-kd	37569.122	37569122000	0.037569	6319.88	611703.803	-	0	0	0	-	0	330202980	5597	5112
iommu_e8_m100ns	102121.459	102121459000	0.102121	13773.5	0.000	3315860.880	44764696	44757292	7404	99.9835	743	0	0	0
iommu_e8_m250ns	103438.665	103438665000	0.103439	13869.5	0.000	3368261.092	44772391	44765144	7247	99.9838	743	0	0	0
iommu_e8_m500ns	105147.974	105147974000	0.105148	14032.3	0.000	3461488.370	44775410	44767991	7419	99.9834	743	0	0	0
iommu_e8_m1000ns	108718.774	108718774000	0.108719	14330.9	0.000	3642585.802	44763858	44756450	7408	99.9835	743	0	0	0
iommu_e16_m100ns	101594.850	101594850000	0.101595	13773.7	0.000	3281878.616	44761929	44760919	1010	99.9977	743	0	0	0
iommu_e16_m250ns	101830.584	101830584000	0.101831	13870.8	0.000	3284071.504	44771630	44770620	1010	99.9977	743	0	0	0
iommu_e16_m500ns	101967.375	101967375000	0.101967	14032.4	0.000	3287531.458	44765225	44764215	1010	99.9977	743	0	0	0
iommu_e16_m1000ns	102513.468	102513468000	0.102513	14333.4	0.000	3294631.416	44767612	44766602	1010	99.9977	743	0	0	0
iommu_e32_m100ns	101675.658	101675658000	0.101676	13773.3	0.000	3280983.620	44766391	44765648	743	99.9983	743	0	0	0
iommu_e32_m250ns	101802.476	101802476000	0.101802	13870.5	0.000	3281659.528	44771902	44771159	743	99.9983	743	0	0	0
iommu_e32_m500ns	101905.234	101905234000	0.101905	14032.3	0.000	3282671.034	44765760	44765017	743	99.9983	743	0	0	0
iommu_e32_m1000ns	102256.527	102256527000	0.102257	14330.9	0.000	3284814.894	44765373	44764630	743	99.9983	743	0	0	0
iommu_e64_m100ns	101675.658	101675658000	0.101676	13773.3	0.000	3280983.620	44766391	44765648	743	99.9983	743	0	0	0
iommu_e64_m250ns	101802.476	101802476000	0.101802	13870.5	0.000	3281659.528	44771902	44771159	743	99.9983	743	0	0	0
iommu_e64_m500ns	101905.234	101905234000	0.101905	14032.3	0.000	3282671.034	44765760	44765017	743	99.9983	743	0	0	0
iommu_e64_m1000ns	102256.527	102256527000	0.102257	14330.9	0.000	3284814.894	44765373	44764630	743	99.9983	743	0	0	0
iommu_e256_m100ns	101675.658	101675658000	0.101676	13773.3	0.000	3280983.620	44766391	44765648	743	99.9983	743	0	0	0
iommu_e256_m250ns	101802.476	101802476000	0.101802	13870.5	0.000	3281659.528	44771902	44771159	743	99.9983	743	0	0	0
iommu_e256_m500ns	101905.234	101905234000	0.101905	14032.3	0.000	3282671.034	44765760	44765017	743	99.9983	743	0	0	0
iommu_e256_m1000ns	102256.527	102256527000	0.102257	14330.9	0.000	3284814.894	44765373	44764630	743	99.9983	743	0	0	0
iommu_e2048_m100ns	101675.658	101675658000	0.101676	13773.3	0.000	3280983.620	44766391	44765648	743	99.9983	743	0	0	0
iommu_e2048_m250ns	101802.476	101802476000	0.101802	13870.5	0.000	3281659.528	44771902	44771159	743	99.9983	743	0	0	0
iommu_e2048_m500ns	101905.234	101905234000	0.101905	14032.3	0.000	3282671.034	44765760	44765017	743	99.9983	743	0	0	0
iommu_e2048_m1000ns	102256.527	102256527000	0.102257	14330.9	0.000	3284814.894	44765373	44764630	743	99.9983	743	0	0	0
