mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
plain	25503015000	25503.015	0.000	0.000	25503.015	0.000
aia-kd	26574651000	26574.651	1071.636	4.202	915842.095	3491.113
iommu_e256_m500ns	101795421000	101795.421	76292.406	299.151	3362143.611	13083.318
iommu_e256_m1000ns	101967607000	101967.607	76464.592	299.826	3363148.599	13087.259
iommu_e2048_m250ns	101616929000	101616.929	76113.914	298.451	3361559.811	13081.029
iommu_e64_m1000ns	101967607000	101967.607	76464.592	299.826	3363148.599	13087.259
iommu_e2048_m100ns	101628778000	101628.778	76125.763	298.497	3361290.368	13079.973
iommu_e32_m1000ns	101968603000	101968.603	76465.588	299.830	3363151.595	13087.271
iommu_e256_m100ns	101628778000	101628.778	76125.763	298.497	3361290.368	13079.973
iommu_e16_m250ns	101617178000	101617.178	76114.163	298.452	3361560.460	13081.032
iommu_e16_m500ns	101795919000	101795.919	76292.904	299.152	3362145.109	13083.324
iommu_e32_m100ns	101629027000	101629.027	76126.012	298.498	3361290.817	13079.974
iommu_e64_m100ns	101628778000	101628.778	76125.763	298.497	3361290.368	13079.973
iommu_e8_m100ns	159879927000	159879.927	134376.912	526.906	7220252.417	28211.368
iommu_e16_m1000ns	101968603000	101968.603	76465.588	299.830	3363151.595	13087.271
iommu_e256_m250ns	101616929000	101616.929	76113.914	298.451	3361559.811	13081.029
iommu_e64_m500ns	101795421000	101795.421	76292.406	299.151	3362143.611	13083.318
iommu_e2048_m500ns	101795421000	101795.421	76292.406	299.151	3362143.611	13083.318
iommu_e2048_m1000ns	101967607000	101967.607	76464.592	299.826	3363148.599	13087.259
iommu_e64_m250ns	101616929000	101616.929	76113.914	298.451	3361559.811	13081.029
iommu_e16_m100ns	101629027000	101629.027	76126.012	298.498	3361290.817	13079.974
iommu_e32_m500ns	101795919000	101795.919	76292.904	299.152	3362145.109	13083.324
iommu_e32_m250ns	101617178000	101617.178	76114.163	298.452	3361560.460	13081.032
iommu_e8_m250ns	251319982000	251319.982	225816.967	885.452	13212450.450	51707.406
iommu_e8_m500ns	401466025000	401466.025	375963.010	1474.190	23115019.277	90536.418
iommu_e8_m1000ns	704524807000	704524.807	679021.792	2662.516	42949366.825	168308.978
