mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
plain,25503.018,25503018000,0.025503,3476.72,0.000,-,0,0,0,-,0,0,0,0
aia-kd,37592.230,37592230000,0.037592,6319.6,614199.094,-,0,0,0,-,0,330206171,5627,5112
iommu_e8_m100ns,159764.853,159764853000,0.159765,13775.5,0.000,7100312.026,44769774,44164881,604893,98.6489,745,0,0,0
iommu_e8_m250ns,251853.326,251853326000,0.251853,13872.2,0.000,13021125.360,44782079,44172468,609611,98.6387,745,0,0,0
iommu_e8_m500ns,403817.418,403817418000,0.403817,14032.3,0.000,22807168.452,44784719,44175906,608813,98.6406,745,0,0,0
iommu_e8_m1000ns,708094.390,708094390000,0.708094,14332.5,0.000,42408246.426,44777265,44168472,608793,98.6404,745,0,0,0
iommu_e16_m100ns,101569.331,101569331000,0.101569,13773.6,0.000,3282187.292,44769124,44768040,1084,99.9976,745,0,0,0
iommu_e16_m250ns,101886.387,101886387000,0.101886,13871.2,0.000,3284926.010,44766125,44765041,1084,99.9976,745,0,0,0
iommu_e16_m500ns,102040.421,102040421000,0.102040,14032.2,0.000,3289012.370,44762335,44761251,1084,99.9976,745,0,0,0
iommu_e16_m1000ns,102554.177,102554177000,0.102554,14334.9,0.000,3297535.982,44764869,44763785,1084,99.9976,745,0,0,0
iommu_e32_m100ns,101546.303,101546303000,0.101546,13774.7,0.000,3280879.662,44756333,44755587,746,99.9983,745,0,0,0
iommu_e32_m250ns,101603.447,101603447000,0.101603,13871.7,0.000,3281591.112,44757580,44756834,746,99.9983,745,0,0,0
iommu_e32_m500ns,101907.132,101907132000,0.101907,14033.2,0.000,3282803.408,44774760,44774014,746,99.9983,745,0,0,0
iommu_e32_m1000ns,102258.315,102258315000,0.102258,14334.9,0.000,3284962.342,44765137,44764391,746,99.9983,745,0,0,0
iommu_e64_m100ns,101545.307,101545307000,0.101545,13773.6,0.000,3280879.262,44756287,44755542,745,99.9983,745,0,0,0
iommu_e64_m250ns,101603.198,101603198000,0.101603,13871.5,0.000,3281590.512,44757580,44756835,745,99.9983,745,0,0,0
iommu_e64_m500ns,101906.634,101906634000,0.101907,14032.7,0.000,3282802.408,44774760,44774015,745,99.9983,745,0,0,0
iommu_e64_m1000ns,102257.319,102257319000,0.102257,14333.9,0.000,3284960.342,44765137,44764392,745,99.9983,745,0,0,0
iommu_e256_m100ns,101545.307,101545307000,0.101545,13773.6,0.000,3280879.262,44756287,44755542,745,99.9983,745,0,0,0
iommu_e256_m250ns,101603.198,101603198000,0.101603,13871.5,0.000,3281590.512,44757580,44756835,745,99.9983,745,0,0,0
iommu_e256_m500ns,101906.634,101906634000,0.101907,14032.7,0.000,3282802.408,44774760,44774015,745,99.9983,745,0,0,0
iommu_e256_m1000ns,102257.319,102257319000,0.102257,14333.9,0.000,3284960.342,44765137,44764392,745,99.9983,745,0,0,0
iommu_e2048_m100ns,101545.307,101545307000,0.101545,13773.6,0.000,3280879.262,44756287,44755542,745,99.9983,745,0,0,0
iommu_e2048_m250ns,101603.198,101603198000,0.101603,13871.5,0.000,3281590.512,44757580,44756835,745,99.9983,745,0,0,0
iommu_e2048_m500ns,101906.634,101906634000,0.101907,14032.7,0.000,3282802.408,44774760,44774015,745,99.9983,745,0,0,0
iommu_e2048_m1000ns,102257.319,102257319000,0.102257,14333.9,0.000,3284960.342,44765137,44764392,745,99.9983,745,0,0,0
