mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	smid_requests	smid_validations
plain	25503.015	25503015000	0.025503	3476.72	0.000	-	-	-	-	-	0	0
aia-kd	26574.651	26574651000	0.026575	6059.92	889267.444	-	-	-	-	-	330767542	515
iommu_e256_m500ns	101795.421	101795421000	0.101795	13872.1	0.000	3260348.190	1629770852	1629769234	1618	99.9999	0	0
iommu_e256_m1000ns	101967.607	101967607000	0.101968	14029.6	0.000	3261180.992	1629783028	1629781410	1618	99.9999	0	0
iommu_e2048_m250ns	101616.929	101616929000	0.101617	13793.5	0.000	3259942.882	1629770848	1629769230	1618	99.9999	0	0
iommu_e64_m1000ns	101967.607	101967607000	0.101968	14029.6	0.000	3261180.992	1629783028	1629781410	1618	99.9999	0	0
iommu_e2048_m100ns	101628.778	101628778000	0.101629	13746.1	0.000	3259661.590	1629751672	1629750054	1618	99.9999	0	0
iommu_e32_m1000ns	101968.603	101968603000	0.101969	14030.6	0.000	3261182.992	1629783028	1629781408	1620	99.9999	0	0
iommu_e256_m100ns	101628.778	101628778000	0.101629	13746.1	0.000	3259661.590	1629751672	1629750054	1618	99.9999	0	0
iommu_e16_m250ns	101617.178	101617178000	0.101617	13793.7	0.000	3259943.282	1629770854	1629769234	1620	99.9999	0	0
iommu_e16_m500ns	101795.919	101795919000	0.101796	13872.6	0.000	3260349.190	1629770852	1629769232	1620	99.9999	0	0
iommu_e32_m100ns	101629.027	101629027000	0.101629	13746.1	0.000	3259661.790	1629751678	1629750058	1620	99.9999	0	0
iommu_e64_m100ns	101628.778	101628778000	0.101629	13746.1	0.000	3259661.590	1629751672	1629750054	1618	99.9999	0	0
iommu_e8_m100ns	159879.927	159879927000	0.159880	13745.8	0.000	7060372.490	1630946222	1592186203	38760019	97.6235	0	0
iommu_e16_m1000ns	101968.603	101968603000	0.101969	14030.6	0.000	3261182.992	1629783028	1629781408	1620	99.9999	0	0
iommu_e256_m250ns	101616.929	101616929000	0.101617	13793.5	0.000	3259942.882	1629770848	1629769230	1618	99.9999	0	0
iommu_e64_m500ns	101795.421	101795421000	0.101795	13872.1	0.000	3260348.190	1629770852	1629769234	1618	99.9999	0	0
iommu_e2048_m500ns	101795.421	101795421000	0.101795	13872.1	0.000	3260348.190	1629770852	1629769234	1618	99.9999	0	0
iommu_e2048_m1000ns	101967.607	101967607000	0.101968	14029.6	0.000	3261180.992	1629783028	1629781410	1618	99.9999	0	0
iommu_e64_m250ns	101616.929	101616929000	0.101617	13793.5	0.000	3259942.882	1629770848	1629769230	1618	99.9999	0	0
iommu_e16_m100ns	101629.027	101629027000	0.101629	13746.1	0.000	3259661.790	1629751678	1629750058	1620	99.9999	0	0
iommu_e32_m500ns	101795.919	101795919000	0.101796	13872.6	0.000	3260349.190	1629770852	1629769232	1620	99.9999	0	0
iommu_e32_m250ns	101617.178	101617178000	0.101617	13793.7	0.000	3259943.282	1629770854	1629769234	1620	99.9999	0	0
iommu_e8_m250ns	251319.982	251319982000	0.251320	13794.8	0.000	12961130.468	1630993233	1591883795	39109438	97.6021	0	0
iommu_e8_m500ns	401466.025	401466025000	0.401466	13872.3	0.000	22713553.252	1630210862	1591148353	39062509	97.6038	0	0
iommu_e8_m1000ns	704524.807	704524807000	0.704525	14031.2	0.000	42244842.018	1630229016	1591166507	39062509	97.6039	0	0
