benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
nw	plain	-	-	1068.520	1068.520	0.000	0.000%	-	-	0	0	0	-	0	0	0	0
nw	aia-kd	-	-	1068.520	1343.091	274.571	25.696%	284.457	26.622%	0	0	0	-	0	121889	29	8
nw	iommu_e8_m100ns	8	100	1068.520	1076.305	7.786	0.729%	491.002	45.952%	120778	120737	41	99.9661%	22	0	0	0
nw	iommu_e8_m250ns	8	250	1068.520	1082.352	13.833	1.295%	503.152	47.089%	120778	120737	41	99.9661%	22	0	0	0
nw	iommu_e8_m500ns	8	500	1068.520	1092.611	24.091	2.255%	523.402	48.984%	120778	120737	41	99.9661%	22	0	0	0
nw	iommu_e8_m1000ns	8	1000	1068.520	1113.495	44.976	4.209%	563.902	52.774%	120778	120737	41	99.9661%	22	0	0	0
nw	iommu_e16_m100ns	16	100	1068.520	1076.305	7.786	0.729%	490.806	45.933%	120778	120738	40	99.9669%	22	0	0	0
nw	iommu_e16_m250ns	16	250	1068.520	1082.352	13.833	1.295%	502.656	47.042%	120778	120738	40	99.9669%	22	0	0	0
nw	iommu_e16_m500ns	16	500	1068.520	1091.877	23.357	2.186%	522.406	48.891%	120778	120738	40	99.9669%	22	0	0	0
nw	iommu_e16_m1000ns	16	1000	1068.520	1112.042	43.522	4.073%	561.906	52.587%	120778	120738	40	99.9669%	22	0	0	0
nw	iommu_e32_m100ns	32	100	1068.520	1073.710	5.191	0.486%	487.338	45.609%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e32_m250ns	32	250	1068.520	1077.040	8.520	0.797%	493.938	46.226%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e32_m500ns	32	500	1068.520	1082.352	13.833	1.295%	504.938	47.256%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e32_m1000ns	32	1000	1068.520	1093.944	25.424	2.379%	526.938	49.315%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e64_m100ns	64	100	1068.520	1073.710	5.191	0.486%	487.338	45.609%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e64_m250ns	64	250	1068.520	1077.040	8.520	0.797%	493.938	46.226%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e64_m500ns	64	500	1068.520	1082.352	13.833	1.295%	504.938	47.256%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e64_m1000ns	64	1000	1068.520	1093.944	25.424	2.379%	526.938	49.315%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e256_m100ns	256	100	1068.520	1073.710	5.191	0.486%	487.338	45.609%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e256_m250ns	256	250	1068.520	1077.040	8.520	0.797%	493.938	46.226%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e256_m500ns	256	500	1068.520	1082.352	13.833	1.295%	504.938	47.256%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e256_m1000ns	256	1000	1068.520	1093.944	25.424	2.379%	526.938	49.315%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e2048_m100ns	2048	100	1068.520	1073.710	5.191	0.486%	487.338	45.609%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e2048_m250ns	2048	250	1068.520	1077.040	8.520	0.797%	493.938	46.226%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e2048_m500ns	2048	500	1068.520	1082.352	13.833	1.295%	504.938	47.256%	120768	120746	22	99.9818%	22	0	0	0
nw	iommu_e2048_m1000ns	2048	1000	1068.520	1093.944	25.424	2.379%	526.938	49.315%	120768	120746	22	99.9818%	22	0	0	0
