mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
iommu_e16_m250ns	1081493500	1081.494	12.977	1.214	1583.371	48.184
plain	1068516500	1068.516	0.000	0.000	1068.516	0.000
iommu_e16_m100ns	1075613500	1075.613	7.097	0.664	1566.091	46.567
iommu_e16_m1000ns	1109514500	1109.514	40.998	3.837	1668.394	56.141
iommu_e8_m250ns	1081493500	1081.494	12.977	1.214	1583.870	48.231
iommu_e8_m100ns	1076302500	1076.303	7.786	0.729	1566.976	46.650
iommu_e64_m100ns	1073707500	1073.707	5.191	0.486	1560.818	46.073
iommu_e16_m500ns	1091185500	1091.186	22.669	2.122	1612.066	50.869
aia-kd	1208661500	1208.661	140.145	13.116	1477.312	38.258
iommu_e64_m500ns	1082349500	1082.350	13.833	1.295	1586.260	48.454
iommu_e8_m500ns	1091185500	1091.186	22.669	2.122	1613.057	50.962
iommu_e8_m1000ns	1110534500	1110.534	42.018	3.932	1671.409	56.423
iommu_e32_m250ns	1076302500	1076.303	7.786	0.729	1569.711	46.906
iommu_e32_m100ns	1073707500	1073.707	5.191	0.486	1560.818	46.073
iommu_e32_m500ns	1082349500	1082.350	13.833	1.295	1586.260	48.454
iommu_e32_m1000ns	1092607500	1092.608	24.091	2.255	1617.517	51.380
iommu_e64_m1000ns	1092607500	1092.608	24.091	2.255	1617.517	51.380
iommu_e64_m250ns	1076302500	1076.303	7.786	0.729	1569.711	46.906
iommu_e2048_m250ns	1076302500	1076.303	7.786	0.729	1569.711	46.906
iommu_e256_m100ns	1073707500	1073.707	5.191	0.486	1560.818	46.073
iommu_e256_m250ns	1076302500	1076.303	7.786	0.729	1569.711	46.906
iommu_e256_m1000ns	1092607500	1092.608	24.091	2.255	1617.517	51.380
iommu_e2048_m100ns	1073707500	1073.707	5.191	0.486	1560.818	46.073
iommu_e2048_m500ns	1082349500	1082.350	13.833	1.295	1586.260	48.454
iommu_e256_m500ns	1082349500	1082.350	13.833	1.295	1586.260	48.454
iommu_e2048_m1000ns	1092607500	1092.608	24.091	2.255	1617.517	51.380
