mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
plain,1068.520,1068519500,0.001069,672.9,0.000,-,0,0,0,-,0,0,0,0
aia-kd,1343.091,1343090500,0.001343,947.71,284.457,-,0,0,0,-,0,121889,29,8
iommu_e8_m100ns,1076.305,1076305500,0.001076,681.04,0.000,491.002,120778,120737,41,99.9661,22,0,0,0
iommu_e8_m250ns,1082.352,1082352500,0.001082,687.1,0.000,503.152,120778,120737,41,99.9661,22,0,0,0
iommu_e8_m500ns,1092.611,1092610500,0.001093,697.35,0.000,523.402,120778,120737,41,99.9661,22,0,0,0
iommu_e8_m1000ns,1113.495,1113495500,0.001113,717.85,0.000,563.902,120778,120737,41,99.9661,22,0,0,0
iommu_e16_m100ns,1076.305,1076305500,0.001076,680.95,0.000,490.806,120778,120738,40,99.9669,22,0,0,0
iommu_e16_m250ns,1082.352,1082352500,0.001082,686.86,0.000,502.656,120778,120738,40,99.9669,22,0,0,0
iommu_e16_m500ns,1091.877,1091876500,0.001092,696.86,0.000,522.406,120778,120738,40,99.9669,22,0,0,0
iommu_e16_m1000ns,1112.042,1112041500,0.001112,716.86,0.000,561.906,120778,120738,40,99.9669,22,0,0,0
iommu_e32_m100ns,1073.710,1073710500,0.001074,678.57,0.000,487.338,120768,120746,22,99.9818,22,0,0,0
iommu_e32_m250ns,1077.040,1077039500,0.001077,681.84,0.000,493.938,120768,120746,22,99.9818,22,0,0,0
iommu_e32_m500ns,1082.352,1082352500,0.001082,687.34,0.000,504.938,120768,120746,22,99.9818,22,0,0,0
iommu_e32_m1000ns,1093.944,1093943500,0.001094,698.34,0.000,526.938,120768,120746,22,99.9818,22,0,0,0
iommu_e64_m100ns,1073.710,1073710500,0.001074,678.57,0.000,487.338,120768,120746,22,99.9818,22,0,0,0
iommu_e64_m250ns,1077.040,1077039500,0.001077,681.84,0.000,493.938,120768,120746,22,99.9818,22,0,0,0
iommu_e64_m500ns,1082.352,1082352500,0.001082,687.34,0.000,504.938,120768,120746,22,99.9818,22,0,0,0
iommu_e64_m1000ns,1093.944,1093943500,0.001094,698.34,0.000,526.938,120768,120746,22,99.9818,22,0,0,0
iommu_e256_m100ns,1073.710,1073710500,0.001074,678.57,0.000,487.338,120768,120746,22,99.9818,22,0,0,0
iommu_e256_m250ns,1077.040,1077039500,0.001077,681.84,0.000,493.938,120768,120746,22,99.9818,22,0,0,0
iommu_e256_m500ns,1082.352,1082352500,0.001082,687.34,0.000,504.938,120768,120746,22,99.9818,22,0,0,0
iommu_e256_m1000ns,1093.944,1093943500,0.001094,698.34,0.000,526.938,120768,120746,22,99.9818,22,0,0,0
iommu_e2048_m100ns,1073.710,1073710500,0.001074,678.57,0.000,487.338,120768,120746,22,99.9818,22,0,0,0
iommu_e2048_m250ns,1077.040,1077039500,0.001077,681.84,0.000,493.938,120768,120746,22,99.9818,22,0,0,0
iommu_e2048_m500ns,1082.352,1082352500,0.001082,687.34,0.000,504.938,120768,120746,22,99.9818,22,0,0,0
iommu_e2048_m1000ns,1093.944,1093943500,0.001094,698.34,0.000,526.938,120768,120746,22,99.9818,22,0,0,0
