mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	smid_requests	smid_validations
iommu_e16_m250ns	1081.494	1081493500	0.001081	686.24	0.000	501.878	241515	241439	76	99.9685	0	0
plain	1068.516	1068516500	0.001069	672.9	0.000	-	-	-	-	-	0	0
iommu_e16_m100ns	1075.613	1075613500	0.001076	680.63	0.000	490.478	241515	241439	76	99.9685	0	0
iommu_e16_m1000ns	1109.514	1109514500	0.001110	714.88	0.000	558.880	241516	241440	76	99.9685	0	0
iommu_e8_m250ns	1081.494	1081493500	0.001081	686.62	0.000	502.376	241516	241438	78	99.9677	0	0
iommu_e8_m100ns	1076.303	1076302500	0.001076	680.72	0.000	490.674	241515	241437	78	99.9677	0	0
iommu_e64_m100ns	1073.707	1073707500	0.001074	678.48	0.000	487.110	241497	241455	42	99.9826	0	0
iommu_e16_m500ns	1091.186	1091185500	0.001091	695.88	0.000	520.880	241516	241440	76	99.9685	0	0
aia-kd	1208.661	1208661500	0.001209	814	268.651	-	-	-	-	-	121669	21
iommu_e64_m500ns	1082.350	1082349500	0.001082	686.85	0.000	503.910	241497	241455	42	99.9826	0	0
iommu_e8_m500ns	1091.186	1091185500	0.001091	696.09	0.000	521.872	241514	241436	78	99.9677	0	0
iommu_e8_m1000ns	1110.534	1110534500	0.001111	715.73	0.000	560.874	241515	241437	78	99.9677	0	0
iommu_e32_m250ns	1076.303	1076302500	0.001076	681.46	0.000	493.408	241496	241454	42	99.9826	0	0
iommu_e32_m100ns	1073.707	1073707500	0.001074	678.48	0.000	487.110	241497	241455	42	99.9826	0	0
iommu_e32_m500ns	1082.350	1082349500	0.001082	686.85	0.000	503.910	241497	241455	42	99.9826	0	0
iommu_e32_m1000ns	1092.608	1092607500	0.001093	697.35	0.000	524.910	241497	241455	42	99.9826	0	0
iommu_e64_m1000ns	1092.608	1092607500	0.001093	697.35	0.000	524.910	241497	241455	42	99.9826	0	0
iommu_e64_m250ns	1076.303	1076302500	0.001076	681.46	0.000	493.408	241496	241454	42	99.9826	0	0
iommu_e2048_m250ns	1076.303	1076302500	0.001076	681.46	0.000	493.408	241496	241454	42	99.9826	0	0
iommu_e256_m100ns	1073.707	1073707500	0.001074	678.48	0.000	487.110	241497	241455	42	99.9826	0	0
iommu_e256_m250ns	1076.303	1076302500	0.001076	681.46	0.000	493.408	241496	241454	42	99.9826	0	0
iommu_e256_m1000ns	1092.608	1092607500	0.001093	697.35	0.000	524.910	241497	241455	42	99.9826	0	0
iommu_e2048_m100ns	1073.707	1073707500	0.001074	678.48	0.000	487.110	241497	241455	42	99.9826	0	0
iommu_e2048_m500ns	1082.350	1082349500	0.001082	686.85	0.000	503.910	241497	241455	42	99.9826	0	0
iommu_e256_m500ns	1082.350	1082349500	0.001082	686.85	0.000	503.910	241497	241455	42	99.9826	0	0
iommu_e2048_m1000ns	1092.608	1092607500	0.001093	697.35	0.000	524.910	241497	241455	42	99.9826	0	0
