
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001497                       # Number of seconds simulated (Second)
simTicks                                   1496602000                       # Number of ticks simulated (Tick)
finalTick                                  1496602000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      7.56                       # Real time elapsed on the host (Second)
hostTickRate                                197856763                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4679948                       # Number of bytes of host memory used (Byte)
simInsts                                        81700                       # Number of instructions simulated (Count)
simOps                                          93355                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    10801                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      12342                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED   1496602000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::ON   1496602000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::CLK_GATED   1496602000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::SRAM_RETENTION   1496602000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::OFF   1496602000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2993205                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           99484                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        9                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         268842                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     21                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 6126                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             16588                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   4                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1336720                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               0.201121                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              0.804637                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                   1232750     92.22%     92.22% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                     40123      3.00%     95.22% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                     13166      0.98%     96.21% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                      6561      0.49%     96.70% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                     40193      3.01%     99.71% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                      2197      0.16%     99.87% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                      1171      0.09%     99.96% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                       551      0.04%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                         8      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total               1336720                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass               38052      1.89%      1.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   38052      1.89%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  38052      1.89%      5.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   38052      1.89%      7.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 38052      1.89%      9.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                 38052      1.89%     11.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 38052      1.89%     13.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                38052      1.89%     15.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             38052      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                 38052      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                38052      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                38052      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                  38052      1.89%     24.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc               38052      1.89%     26.42% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  38052      1.89%     28.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                  38052      1.89%     30.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                  38052      1.89%     32.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                 38052      1.89%     33.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                 38052      1.89%     35.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc              38052      1.89%     37.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                38052      1.89%     39.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc             38052      1.89%     41.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                  38052      1.89%     43.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                 38052      1.89%     45.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd             38052      1.89%     47.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu             38052      1.89%     49.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp             38052      1.89%     50.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt             38052      1.89%     52.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv             38052      1.89%     54.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc            38052      1.89%     56.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult            38052      1.89%     58.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc         38052      1.89%     60.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt            38052      1.89%     62.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd            38052      1.89%     64.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu            38052      1.89%     66.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp            38052      1.89%     67.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd        38052      1.89%     69.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp        38052      1.89%     71.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                  38052      1.89%     73.58% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix               38052      1.89%     75.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash             38052      1.89%     77.36% # attempts to use FU when none available (Count)
