benchmark,mode,entries,miss_ns,plain_us,runtime_us,abs_overhead_us,abs_overhead_pct,proj_overhead_us,proj_overhead_pct,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
spmv,plain,-,-,1462.783,1462.783,0.000,0.000%,-,-,-,-,-,-,0,0
spmv,aia-kd,-,-,1462.783,1496.602,33.819,2.312%,117.185,8.011%,-,-,-,-,7524,8
spmv,iommu_e8_m100ns,8,100,1462.783,1463.783,1.000,0.068%,30.900,2.112%,14666,14650,16,99.8909%,0,0
spmv,iommu_e8_m250ns,8,250,1462.783,1464.851,2.068,0.141%,33.296,2.276%,14664,14648,16,99.8909%,0,0
spmv,iommu_e8_m500ns,8,500,1462.783,1466.931,4.148,0.284%,37.296,2.550%,14664,14648,16,99.8909%,0,0
spmv,iommu_e8_m1000ns,8,1000,1462.783,1470.569,7.786,0.532%,45.296,3.097%,14664,14648,16,99.8909%,0,0
spmv,iommu_e16_m100ns,16,100,1462.783,1463.783,1.000,0.068%,30.900,2.112%,14666,14650,16,99.8909%,0,0
spmv,iommu_e16_m250ns,16,250,1462.783,1464.851,2.068,0.141%,33.296,2.276%,14664,14648,16,99.8909%,0,0
spmv,iommu_e16_m500ns,16,500,1462.783,1466.931,4.148,0.284%,37.296,2.550%,14664,14648,16,99.8909%,0,0
spmv,iommu_e16_m1000ns,16,1000,1462.783,1470.569,7.786,0.532%,45.296,3.097%,14664,14648,16,99.8909%,0,0
spmv,iommu_e32_m100ns,32,100,1462.783,1463.783,1.000,0.068%,30.900,2.112%,14666,14650,16,99.8909%,0,0
spmv,iommu_e32_m250ns,32,250,1462.783,1464.851,2.068,0.141%,33.296,2.276%,14664,14648,16,99.8909%,0,0
spmv,iommu_e32_m500ns,32,500,1462.783,1466.931,4.148,0.284%,37.296,2.550%,14664,14648,16,99.8909%,0,0
spmv,iommu_e32_m1000ns,32,1000,1462.783,1470.569,7.786,0.532%,45.296,3.097%,14664,14648,16,99.8909%,0,0
spmv,iommu_e64_m100ns,64,100,1462.783,1463.783,1.000,0.068%,30.900,2.112%,14666,14650,16,99.8909%,0,0
spmv,iommu_e64_m250ns,64,250,1462.783,1464.851,2.068,0.141%,33.296,2.276%,14664,14648,16,99.8909%,0,0
spmv,iommu_e64_m500ns,64,500,1462.783,1466.931,4.148,0.284%,37.296,2.550%,14664,14648,16,99.8909%,0,0
spmv,iommu_e64_m1000ns,64,1000,1462.783,1470.569,7.786,0.532%,45.296,3.097%,14664,14648,16,99.8909%,0,0
spmv,iommu_e256_m100ns,256,100,1462.783,1463.783,1.000,0.068%,30.900,2.112%,14666,14650,16,99.8909%,0,0
spmv,iommu_e256_m250ns,256,250,1462.783,1464.851,2.068,0.141%,33.296,2.276%,14664,14648,16,99.8909%,0,0
spmv,iommu_e256_m500ns,256,500,1462.783,1466.931,4.148,0.284%,37.296,2.550%,14664,14648,16,99.8909%,0,0
spmv,iommu_e256_m1000ns,256,1000,1462.783,1470.569,7.786,0.532%,45.296,3.097%,14664,14648,16,99.8909%,0,0
spmv,iommu_e2048_m100ns,2048,100,1462.783,1463.783,1.000,0.068%,30.900,2.112%,14666,14650,16,99.8909%,0,0
spmv,iommu_e2048_m250ns,2048,250,1462.783,1464.851,2.068,0.141%,33.296,2.276%,14664,14648,16,99.8909%,0,0
spmv,iommu_e2048_m500ns,2048,500,1462.783,1466.931,4.148,0.284%,37.296,2.550%,14664,14648,16,99.8909%,0,0
spmv,iommu_e2048_m1000ns,2048,1000,1462.783,1470.569,7.786,0.532%,45.296,3.097%,14664,14648,16,99.8909%,0,0
