mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
iommu_e8_m100ns,1464854000,1464.854,2.068,0.141,1500.010,2.545
iommu_e8_m500ns,1471518000,1471.518,8.732,0.597,1519.454,3.874
iommu_e8_m250ns,1467452000,1467.452,4.666,0.319,1507.400,3.050
plain,1462786000,1462.786,0.000,0.000,1462.786,0.000
iommu_e16_m500ns,1470896000,1470.896,8.110,0.554,1518.334,3.797
iommu_e16_m250ns,1467452000,1467.452,4.666,0.319,1507.152,3.033
iommu_e8_m1000ns,1480425000,1480.425,17.639,1.206,1544.389,5.579
iommu_e32_m500ns,1470896000,1470.896,8.110,0.554,1518.334,3.797
aia-kd,1655184000,1655.184,192.398,13.153,1872.704,28.023
iommu_e16_m100ns,1465312000,1465.312,2.526,0.173,1500.370,2.569
iommu_e256_m1000ns,1479304000,1479.304,16.518,1.129,1542.270,5.434
iommu_e32_m250ns,1467452000,1467.452,4.666,0.319,1507.152,3.033
iommu_e256_m100ns,1465312000,1465.312,2.526,0.173,1500.370,2.569
iommu_e64_m1000ns,1479304000,1479.304,16.518,1.129,1542.270,5.434
iommu_e32_m100ns,1465312000,1465.312,2.526,0.173,1500.370,2.569
iommu_e16_m1000ns,1479304000,1479.304,16.518,1.129,1542.270,5.434
iommu_e32_m1000ns,1479304000,1479.304,16.518,1.129,1542.270,5.434
iommu_e64_m500ns,1470896000,1470.896,8.110,0.554,1518.334,3.797
iommu_e64_m100ns,1465312000,1465.312,2.526,0.173,1500.370,2.569
iommu_e256_m250ns,1467452000,1467.452,4.666,0.319,1507.152,3.033
iommu_e2048_m250ns,1467452000,1467.452,4.666,0.319,1507.152,3.033
iommu_e2048_m500ns,1470896000,1470.896,8.110,0.554,1518.334,3.797
iommu_e64_m250ns,1467452000,1467.452,4.666,0.319,1507.152,3.033
iommu_e256_m500ns,1470896000,1470.896,8.110,0.554,1518.334,3.797
iommu_e2048_m100ns,1465312000,1465.312,2.526,0.173,1500.370,2.569
iommu_e2048_m1000ns,1479304000,1479.304,16.518,1.129,1542.270,5.434
