mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	smid_requests	smid_validations
aia-kd	1496.602	1496602000	0.001497	153.92	117.185	-	-	-	-	-	7524	8
iommu_e8_m100ns	1463.783	1463783000	0.001464	121.36	0.000	30.900	14666	14650	16	99.8909	0	0
iommu_e64_m100ns	1463.783	1463783000	0.001464	121.36	0.000	30.900	14666	14650	16	99.8909	0	0
iommu_e8_m250ns	1464.851	1464851000	0.001465	122.42	0.000	33.296	14664	14648	16	99.8909	0	0
iommu_e16_m500ns	1466.931	1466931000	0.001467	124.42	0.000	37.296	14664	14648	16	99.8909	0	0
iommu_e32_m500ns	1466.931	1466931000	0.001467	124.42	0.000	37.296	14664	14648	16	99.8909	0	0
iommu_e32_m100ns	1463.783	1463783000	0.001464	121.36	0.000	30.900	14666	14650	16	99.8909	0	0
iommu_e16_m1000ns	1470.569	1470569000	0.001471	128.42	0.000	45.296	14664	14648	16	99.8909	0	0
iommu_e8_m1000ns	1470.569	1470569000	0.001471	128.42	0.000	45.296	14664	14648	16	99.8909	0	0
iommu_e64_m1000ns	1470.569	1470569000	0.001471	128.42	0.000	45.296	14664	14648	16	99.8909	0	0
iommu_e16_m100ns	1463.783	1463783000	0.001464	121.36	0.000	30.900	14666	14650	16	99.8909	0	0
iommu_e16_m250ns	1464.851	1464851000	0.001465	122.42	0.000	33.296	14664	14648	16	99.8909	0	0
iommu_e64_m250ns	1464.851	1464851000	0.001465	122.42	0.000	33.296	14664	14648	16	99.8909	0	0
iommu_e2048_m500ns	1466.931	1466931000	0.001467	124.42	0.000	37.296	14664	14648	16	99.8909	0	0
iommu_e32_m1000ns	1470.569	1470569000	0.001471	128.42	0.000	45.296	14664	14648	16	99.8909	0	0
iommu_e8_m500ns	1466.931	1466931000	0.001467	124.42	0.000	37.296	14664	14648	16	99.8909	0	0
iommu_e32_m250ns	1464.851	1464851000	0.001465	122.42	0.000	33.296	14664	14648	16	99.8909	0	0
iommu_e2048_m100ns	1463.783	1463783000	0.001464	121.36	0.000	30.900	14666	14650	16	99.8909	0	0
iommu_e64_m500ns	1466.931	1466931000	0.001467	124.42	0.000	37.296	14664	14648	16	99.8909	0	0
iommu_e256_m250ns	1464.851	1464851000	0.001465	122.42	0.000	33.296	14664	14648	16	99.8909	0	0
iommu_e256_m100ns	1463.783	1463783000	0.001464	121.36	0.000	30.900	14666	14650	16	99.8909	0	0
iommu_e256_m1000ns	1470.569	1470569000	0.001471	128.42	0.000	45.296	14664	14648	16	99.8909	0	0
iommu_e256_m500ns	1466.931	1466931000	0.001467	124.42	0.000	37.296	14664	14648	16	99.8909	0	0
plain	1462.783	1462783000	0.001463	120.62	0.000	-	-	-	-	-	0	0
iommu_e2048_m250ns	1464.851	1464851000	0.001465	122.42	0.000	33.296	14664	14648	16	99.8909	0	0
iommu_e2048_m1000ns	1470.569	1470569000	0.001471	128.42	0.000	45.296	14664	14648	16	99.8909	0	0
