benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	smid_requests	smid_validations
stencil2d	plain	-	-	14058.818	14058.818	0.000	0.000%	-	-	-	-	-	-	0	0
stencil2d	aia-kd	-	-	14058.818	14102.293	43.475	0.309%	576.233	4.099%	-	-	-	-	156941	17
stencil2d	iommu_e8_m100ns	8	100	14058.818	14035.460	-23.358	-0.166%	807.254	5.742%	312193	310327	1866	99.4023%	0	0
stencil2d	iommu_e8_m250ns	8	250	14058.818	14175.607	116.789	0.831%	1087.154	7.733%	312193	310327	1866	99.4023%	0	0
stencil2d	iommu_e8_m500ns	8	500	14058.818	14406.653	347.835	2.474%	1553.658	11.051%	312195	310329	1866	99.4023%	0	0
stencil2d	iommu_e8_m1000ns	8	1000	14058.818	14876.331	817.513	5.815%	2486.660	17.688%	312194	310328	1866	99.4023%	0	0
stencil2d	iommu_e16_m100ns	16	100	14058.818	14035.460	-23.358	-0.166%	807.254	5.742%	312193	310327	1866	99.4023%	0	0
stencil2d	iommu_e16_m250ns	16	250	14058.818	14175.607	116.789	0.831%	1087.154	7.733%	312193	310327	1866	99.4023%	0	0
stencil2d	iommu_e16_m500ns	16	500	14058.818	14406.653	347.835	2.474%	1553.658	11.051%	312195	310329	1866	99.4023%	0	0
stencil2d	iommu_e16_m1000ns	16	1000	14058.818	14876.331	817.513	5.815%	2486.660	17.688%	312194	310328	1866	99.4023%	0	0
stencil2d	iommu_e32_m100ns	32	100	14058.818	13945.250	-113.568	-0.808%	626.408	4.456%	311538	311504	34	99.9891%	0	0
stencil2d	iommu_e32_m250ns	32	250	14058.818	13944.449	-114.369	-0.814%	631.508	4.492%	311538	311504	34	99.9891%	0	0
stencil2d	iommu_e32_m500ns	32	500	14058.818	13949.474	-109.344	-0.778%	640.012	4.552%	311540	311506	34	99.9891%	0	0
stencil2d	iommu_e32_m1000ns	32	1000	14058.818	13959.397	-99.421	-0.707%	657.012	4.673%	311540	311506	34	99.9891%	0	0
stencil2d	iommu_e64_m100ns	64	100	14058.818	13945.250	-113.568	-0.808%	626.408	4.456%	311538	311504	34	99.9891%	0	0
stencil2d	iommu_e64_m250ns	64	250	14058.818	13944.449	-114.369	-0.814%	631.508	4.492%	311538	311504	34	99.9891%	0	0
stencil2d	iommu_e64_m500ns	64	500	14058.818	13949.474	-109.344	-0.778%	640.012	4.552%	311540	311506	34	99.9891%	0	0
stencil2d	iommu_e64_m1000ns	64	1000	14058.818	13959.397	-99.421	-0.707%	657.012	4.673%	311540	311506	34	99.9891%	0	0
stencil2d	iommu_e256_m100ns	256	100	14058.818	13945.250	-113.568	-0.808%	626.408	4.456%	311538	311504	34	99.9891%	0	0
stencil2d	iommu_e256_m250ns	256	250	14058.818	13944.449	-114.369	-0.814%	631.508	4.492%	311538	311504	34	99.9891%	0	0
stencil2d	iommu_e256_m500ns	256	500	14058.818	13949.474	-109.344	-0.778%	640.012	4.552%	311540	311506	34	99.9891%	0	0
stencil2d	iommu_e256_m1000ns	256	1000	14058.818	13959.397	-99.421	-0.707%	657.012	4.673%	311540	311506	34	99.9891%	0	0
stencil2d	iommu_e2048_m100ns	2048	100	14058.818	13945.250	-113.568	-0.808%	626.408	4.456%	311538	311504	34	99.9891%	0	0
stencil2d	iommu_e2048_m250ns	2048	250	14058.818	13944.449	-114.369	-0.814%	631.508	4.492%	311538	311504	34	99.9891%	0	0
stencil2d	iommu_e2048_m500ns	2048	500	14058.818	13949.474	-109.344	-0.778%	640.012	4.552%	311540	311506	34	99.9891%	0	0
stencil2d	iommu_e2048_m1000ns	2048	1000	14058.818	13959.397	-99.421	-0.707%	657.012	4.673%	311540	311506	34	99.9891%	0	0
