mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
iommu_e8_m500ns	14406653000	14406.653	347.835	2.474	15960.311	13.525
iommu_e64_m100ns	13945250000	13945.250	-113.568	-0.808	14571.658	3.648
iommu_e64_m1000ns	13959397000	13959.397	-99.421	-0.707	14616.409	3.966
iommu_e32_m250ns	13944449000	13944.449	-114.369	-0.814	14575.957	3.678
iommu_e32_m100ns	13945250000	13945.250	-113.568	-0.808	14571.658	3.648
iommu_e8_m250ns	14175607000	14175.607	116.789	0.831	15262.761	8.564
plain	14058818000	14058.818	0.000	0.000	14058.818	0.000
iommu_e64_m500ns	13949474000	13949.474	-109.344	-0.778	14589.486	3.775
iommu_e256_m500ns	13949474000	13949.474	-109.344	-0.778	14589.486	3.775
iommu_e32_m500ns	13949474000	13949.474	-109.344	-0.778	14589.486	3.775
iommu_e16_m250ns	14175607000	14175.607	116.789	0.831	15262.761	8.564
iommu_e64_m250ns	13944449000	13944.449	-114.369	-0.814	14575.957	3.678
iommu_e2048_m1000ns	13959397000	13959.397	-99.421	-0.707	14616.409	3.966
iommu_e16_m1000ns	14876331000	14876.331	817.513	5.815	17362.991	23.502
iommu_e32_m1000ns	13959397000	13959.397	-99.421	-0.707	14616.409	3.966
iommu_e8_m100ns	14035460000	14035.460	-23.358	-0.166	14842.714	5.576
iommu_e2048_m100ns	13945250000	13945.250	-113.568	-0.808	14571.658	3.648
iommu_e8_m1000ns	14876331000	14876.331	817.513	5.815	17362.991	23.502
aia-kd	14102293000	14102.293	43.475	0.309	14678.526	4.408
iommu_e16_m500ns	14406653000	14406.653	347.835	2.474	15960.311	13.525
iommu_e256_m250ns	13944449000	13944.449	-114.369	-0.814	14575.957	3.678
iommu_e2048_m500ns	13949474000	13949.474	-109.344	-0.778	14589.486	3.775
iommu_e256_m1000ns	13959397000	13959.397	-99.421	-0.707	14616.409	3.966
iommu_e2048_m250ns	13944449000	13944.449	-114.369	-0.814	14575.957	3.678
iommu_e16_m100ns	14035460000	14035.460	-23.358	-0.166	14842.714	5.576
iommu_e256_m100ns	13945250000	13945.250	-113.568	-0.808	14571.658	3.648
