
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014059                       # Number of seconds simulated (Second)
simTicks                                  14058818000                       # Number of ticks simulated (Tick)
finalTick                                 14059934000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     68.02                       # Real time elapsed on the host (Second)
hostTickRate                                206680574                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4668380                       # Number of bytes of host memory used (Byte)
simInsts                                       385547                       # Number of instructions simulated (Count)
simOps                                         465422                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     5668                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       6842                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED  14059934000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::ON  14059934000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::CLK_GATED  14059934000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::SRAM_RETENTION  14059934000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::OFF  14059934000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         28117636                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          481008                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        8                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5611466                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     18                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                15653                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             53104                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   5                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            24543620                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               0.228632                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              0.903697                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                  22850409     93.10%     93.10% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                    364749      1.49%     94.59% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                     48438      0.20%     94.78% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                      8415      0.03%     94.82% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                   1234553      5.03%     99.85% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                     36483      0.15%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                       176      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                       263      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                       134      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total              24543620                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass             1233532      1.89%      1.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1233532      1.89%      3.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                1233532      1.89%      5.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                 1233532      1.89%      7.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd               1233532      1.89%      9.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp               1233532      1.89%     11.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt               1233532      1.89%     13.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              1233532      1.89%     15.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           1233532      1.89%     16.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               1233532      1.89%     18.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc              1233532      1.89%     20.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt              1233532      1.89%     22.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                1233532      1.89%     24.53% # attempts to use FU when none available (Count)
