mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,smid_requests,smid_validations
iommu_e8_m500ns,14406.653,14406653000,0.014407,1507.42,0.000,1553.658,312195,310329,1866,99.4023,0,0
iommu_e64_m100ns,13945.250,13945250000,0.013945,1042.75,0.000,626.408,311538,311504,34,99.9891,0,0
iommu_e64_m1000ns,13959.397,13959397000,0.013959,1058.19,0.000,657.012,311540,311506,34,99.9891,0,0
iommu_e32_m250ns,13944.449,13944449000,0.013944,1045.3,0.000,631.508,311538,311504,34,99.9891,0,0
iommu_e32_m100ns,13945.250,13945250000,0.013945,1042.75,0.000,626.408,311538,311504,34,99.9891,0,0
iommu_e8_m250ns,14175.607,14175607000,0.014176,1274.03,0.000,1087.154,312193,310327,1866,99.4023,0,0
plain,14058.818,14058818000,0.014059,1159.24,0.000,-,-,-,-,-,0,0
iommu_e64_m500ns,13949.474,13949474000,0.013949,1049.69,0.000,640.012,311540,311506,34,99.9891,0,0
iommu_e256_m500ns,13949.474,13949474000,0.013949,1049.69,0.000,640.012,311540,311506,34,99.9891,0,0
iommu_e32_m500ns,13949.474,13949474000,0.013949,1049.69,0.000,640.012,311540,311506,34,99.9891,0,0
iommu_e16_m250ns,14175.607,14175607000,0.014176,1274.03,0.000,1087.154,312193,310327,1866,99.4023,0,0
iommu_e64_m250ns,13944.449,13944449000,0.013944,1045.3,0.000,631.508,311538,311504,34,99.9891,0,0
iommu_e2048_m1000ns,13959.397,13959397000,0.013959,1058.19,0.000,657.012,311540,311506,34,99.9891,0,0
iommu_e16_m1000ns,14876.331,14876331000,0.014876,1973.78,0.000,2486.660,312194,310328,1866,99.4023,0,0
iommu_e32_m1000ns,13959.397,13959397000,0.013959,1058.19,0.000,657.012,311540,311506,34,99.9891,0,0
iommu_e8_m100ns,14035.460,14035460000,0.014035,1134.08,0.000,807.254,312193,310327,1866,99.4023,0,0
iommu_e2048_m100ns,13945.250,13945250000,0.013945,1042.75,0.000,626.408,311538,311504,34,99.9891,0,0
iommu_e8_m1000ns,14876.331,14876331000,0.014876,1973.78,0.000,2486.660,312194,310328,1866,99.4023,0,0
aia-kd,14102.293,14102293000,0.014102,1199.82,576.233,-,-,-,-,-,156941,17
iommu_e16_m500ns,14406.653,14406653000,0.014407,1507.42,0.000,1553.658,312195,310329,1866,99.4023,0,0
iommu_e256_m250ns,13944.449,13944449000,0.013944,1045.3,0.000,631.508,311538,311504,34,99.9891,0,0
iommu_e2048_m500ns,13949.474,13949474000,0.013949,1049.69,0.000,640.012,311540,311506,34,99.9891,0,0
iommu_e256_m1000ns,13959.397,13959397000,0.013959,1058.19,0.000,657.012,311540,311506,34,99.9891,0,0
iommu_e2048_m250ns,13944.449,13944449000,0.013944,1045.3,0.000,631.508,311538,311504,34,99.9891,0,0
iommu_e16_m100ns,14035.460,14035460000,0.014035,1134.08,0.000,807.254,312193,310327,1866,99.4023,0,0
iommu_e256_m100ns,13945.250,13945250000,0.013945,1042.75,0.000,626.408,311538,311504,34,99.9891,0,0
