mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
plain	14058.821	14058821000	0.014059	1159.24	0.000	-	0	0	0	-	0	0	0	0
aia-kd	14279.234	14279234000	0.014279	1376.33	225.888	-	0	0	0	-	0	157216	23	6
iommu_e8_m100ns	14040.722	14040722000	0.014041	1138.75	0.000	812.974	157255	156305	950	99.3959	34	0	0	0
iommu_e8_m250ns	14182.332	14182332000	0.014182	1281	0.000	1096.764	157254	156304	950	99.3959	34	0	0	0
iommu_e8_m500ns	14421.516	14421516000	0.014422	1518.45	0.000	1569.768	157255	156305	950	99.3959	34	0	0	0
iommu_e8_m1000ns	14897.012	14897012000	0.014897	1994.17	0.000	2515.790	157260	156310	950	99.3959	34	0	0	0
iommu_e16_m100ns	14040.722	14040722000	0.014041	1138.75	0.000	812.974	157255	156305	950	99.3959	34	0	0	0
iommu_e16_m250ns	14182.332	14182332000	0.014182	1281	0.000	1096.764	157254	156304	950	99.3959	34	0	0	0
iommu_e16_m500ns	14421.516	14421516000	0.014422	1518.45	0.000	1569.768	157255	156305	950	99.3959	34	0	0	0
iommu_e16_m1000ns	14897.012	14897012000	0.014897	1994.17	0.000	2515.790	157260	156310	950	99.3959	34	0	0	0
iommu_e32_m100ns	13949.819	13949819000	0.013950	1047.56	0.000	632.130	156928	156894	34	99.9783	34	0	0	0
iommu_e32_m250ns	13954.427	13954427000	0.013954	1052.41	0.000	641.120	156927	156893	34	99.9783	34	0	0	0
iommu_e32_m500ns	13961.559	13961559000	0.013962	1060.86	0.000	656.124	156928	156894	34	99.9783	34	0	0	0
iommu_e32_m1000ns	13979.248	13979248000	0.013979	1078.58	0.000	686.144	156933	156899	34	99.9783	34	0	0	0
iommu_e64_m100ns	13949.819	13949819000	0.013950	1047.56	0.000	632.130	156928	156894	34	99.9783	34	0	0	0
iommu_e64_m250ns	13954.427	13954427000	0.013954	1052.41	0.000	641.120	156927	156893	34	99.9783	34	0	0	0
iommu_e64_m500ns	13961.559	13961559000	0.013962	1060.86	0.000	656.124	156928	156894	34	99.9783	34	0	0	0
iommu_e64_m1000ns	13979.248	13979248000	0.013979	1078.58	0.000	686.144	156933	156899	34	99.9783	34	0	0	0
iommu_e256_m100ns	13949.819	13949819000	0.013950	1047.56	0.000	632.130	156928	156894	34	99.9783	34	0	0	0
iommu_e256_m250ns	13954.427	13954427000	0.013954	1052.41	0.000	641.120	156927	156893	34	99.9783	34	0	0	0
iommu_e256_m500ns	13961.559	13961559000	0.013962	1060.86	0.000	656.124	156928	156894	34	99.9783	34	0	0	0
iommu_e256_m1000ns	13979.248	13979248000	0.013979	1078.58	0.000	686.144	156933	156899	34	99.9783	34	0	0	0
iommu_e2048_m100ns	13949.819	13949819000	0.013950	1047.56	0.000	632.130	156928	156894	34	99.9783	34	0	0	0
iommu_e2048_m250ns	13954.427	13954427000	0.013954	1052.41	0.000	641.120	156927	156893	34	99.9783	34	0	0	0
iommu_e2048_m500ns	13961.559	13961559000	0.013962	1060.86	0.000	656.124	156928	156894	34	99.9783	34	0	0	0
iommu_e2048_m1000ns	13979.248	13979248000	0.013979	1078.58	0.000	686.144	156933	156899	34	99.9783	34	0	0	0
