mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
bfs/plain	681.163	681163000	0.000681	174.89	0.000	-	0	0	0	-	0	0	0	0
bfs/aia-kd	823.569	823569000	0.000824	317.23	167.340	-	0	0	0	-	0	11224	13	8
bfs/iommu_e8_m100ns	779.632	779632000	0.000780	272.92	0.000	50.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e8_m250ns	780.416	780416000	0.000780	274.3	0.000	53.592	12162	12152	10	99.9178	10	0	0	0
bfs/iommu_e8_m500ns	783.175	783175000	0.000783	276.88	0.000	58.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e8_m1000ns	787.856	787856000	0.000788	281.3	0.000	68.580	12159	12149	10	99.9178	10	0	0	0
bfs/iommu_e16_m100ns	779.632	779632000	0.000780	272.92	0.000	50.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e16_m250ns	780.416	780416000	0.000780	274.3	0.000	53.592	12162	12152	10	99.9178	10	0	0	0
bfs/iommu_e16_m500ns	783.175	783175000	0.000783	276.88	0.000	58.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e16_m1000ns	787.856	787856000	0.000788	281.3	0.000	68.580	12159	12149	10	99.9178	10	0	0	0
bfs/iommu_e32_m100ns	779.632	779632000	0.000780	272.92	0.000	50.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e32_m250ns	780.416	780416000	0.000780	274.3	0.000	53.592	12162	12152	10	99.9178	10	0	0	0
bfs/iommu_e32_m500ns	783.175	783175000	0.000783	276.88	0.000	58.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e32_m1000ns	787.856	787856000	0.000788	281.3	0.000	68.580	12159	12149	10	99.9178	10	0	0	0
bfs/iommu_e64_m100ns	779.632	779632000	0.000780	272.92	0.000	50.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e64_m250ns	780.416	780416000	0.000780	274.3	0.000	53.592	12162	12152	10	99.9178	10	0	0	0
bfs/iommu_e64_m500ns	783.175	783175000	0.000783	276.88	0.000	58.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e64_m1000ns	787.856	787856000	0.000788	281.3	0.000	68.580	12159	12149	10	99.9178	10	0	0	0
bfs/iommu_e256_m100ns	779.632	779632000	0.000780	272.92	0.000	50.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e256_m250ns	780.416	780416000	0.000780	274.3	0.000	53.592	12162	12152	10	99.9178	10	0	0	0
bfs/iommu_e256_m500ns	783.175	783175000	0.000783	276.88	0.000	58.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e256_m1000ns	787.856	787856000	0.000788	281.3	0.000	68.580	12159	12149	10	99.9178	10	0	0	0
bfs/iommu_e2048_m100ns	779.632	779632000	0.000780	272.92	0.000	50.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e2048_m250ns	780.416	780416000	0.000780	274.3	0.000	53.592	12162	12152	10	99.9178	10	0	0	0
bfs/iommu_e2048_m500ns	783.175	783175000	0.000783	276.88	0.000	58.596	12163	12153	10	99.9178	10	0	0	0
bfs/iommu_e2048_m1000ns	787.856	787856000	0.000788	281.3	0.000	68.580	12159	12149	10	99.9178	10	0	0	0
fft/plain	1701.462	1701462000	0.001701	938.24	0.000	-	0	0	0	-	0	0	0	0
fft/aia-kd	1968.722	1968722000	0.001969	1206.13	326.229	-	0	0	0	-	0	109345	19	12
fft/iommu_e8_m100ns	1707.368	1707368000	0.001707	943.65	0.000	443.304	110428	110411	17	99.9846	13	0	0	0
fft/iommu_e8_m250ns	1709.268	1709268000	0.001709	946.23	0.000	447.810	110430	110413	17	99.9846	13	0	0	0
fft/iommu_e8_m500ns	1714.207	1714207000	0.001714	950.43	0.000	455.306	110429	110412	17	99.9846	13	0	0	0
fft/iommu_e8_m1000ns	1721.841	1721841000	0.001722	958.42	0.000	470.292	110425	110408	17	99.9846	13	0	0	0
