mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
plain	681163000	681.163	0.000	0.000	681.163	0.000
iommu_e8_m1000ns	787856000	787.856	106.693	15.663	856.436	25.731
iommu_e8_m250ns	780416000	780.416	99.253	14.571	834.008	22.439
iommu_e8_m500ns	783175000	783.175	102.012	14.976	841.771	23.578
iommu_e32_m500ns	783175000	783.175	102.012	14.976	841.771	23.578
iommu_e16_m250ns	780416000	780.416	99.253	14.571	834.008	22.439
iommu_e16_m500ns	783175000	783.175	102.012	14.976	841.771	23.578
iommu_e64_m250ns	780416000	780.416	99.253	14.571	834.008	22.439
aia-kd	1041573000	1041.573	360.410	52.911	1434.822	110.643
iommu_e8_m100ns	779632000	779.632	98.469	14.456	830.228	21.884
iommu_e64_m100ns	779632000	779.632	98.469	14.456	830.228	21.884
iommu_e16_m1000ns	787856000	787.856	106.693	15.663	856.436	25.731
iommu_e32_m250ns	780416000	780.416	99.253	14.571	834.008	22.439
iommu_e16_m100ns	779632000	779.632	98.469	14.456	830.228	21.884
iommu_e32_m1000ns	787856000	787.856	106.693	15.663	856.436	25.731
iommu_e32_m100ns	779632000	779.632	98.469	14.456	830.228	21.884
iommu_e64_m500ns	783175000	783.175	102.012	14.976	841.771	23.578
iommu_e64_m1000ns	787856000	787.856	106.693	15.663	856.436	25.731
iommu_e256_m500ns	783175000	783.175	102.012	14.976	841.771	23.578
iommu_e256_m250ns	780416000	780.416	99.253	14.571	834.008	22.439
iommu_e2048_m250ns	780416000	780.416	99.253	14.571	834.008	22.439
iommu_e2048_m100ns	779632000	779.632	98.469	14.456	830.228	21.884
iommu_e2048_m1000ns	787856000	787.856	106.693	15.663	856.436	25.731
iommu_e2048_m500ns	783175000	783.175	102.012	14.976	841.771	23.578
iommu_e256_m1000ns	787856000	787.856	106.693	15.663	856.436	25.731
iommu_e256_m100ns	779632000	779.632	98.469	14.456	830.228	21.884
