mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
plain,681.163,681163000,0.000681,174.89,0.000,-,0,0,0,-,0,0,0,0
aia-kd,1041.573,1041573000,0.001042,535.15,393.249,-,0,0,0,-,0,11296,21,16
iommu_e8_m100ns,779.632,779632000,0.000780,272.92,0.000,50.596,12163,12153,10,99.9178,10,0,0,0
iommu_e8_m250ns,780.416,780416000,0.000780,274.3,0.000,53.592,12162,12152,10,99.9178,10,0,0,0
iommu_e8_m500ns,783.175,783175000,0.000783,276.88,0.000,58.596,12163,12153,10,99.9178,10,0,0,0
iommu_e8_m1000ns,787.856,787856000,0.000788,281.3,0.000,68.580,12159,12149,10,99.9178,10,0,0,0
iommu_e16_m100ns,779.632,779632000,0.000780,272.92,0.000,50.596,12163,12153,10,99.9178,10,0,0,0
iommu_e16_m250ns,780.416,780416000,0.000780,274.3,0.000,53.592,12162,12152,10,99.9178,10,0,0,0
iommu_e16_m500ns,783.175,783175000,0.000783,276.88,0.000,58.596,12163,12153,10,99.9178,10,0,0,0
iommu_e16_m1000ns,787.856,787856000,0.000788,281.3,0.000,68.580,12159,12149,10,99.9178,10,0,0,0
iommu_e32_m100ns,779.632,779632000,0.000780,272.92,0.000,50.596,12163,12153,10,99.9178,10,0,0,0
iommu_e32_m250ns,780.416,780416000,0.000780,274.3,0.000,53.592,12162,12152,10,99.9178,10,0,0,0
iommu_e32_m500ns,783.175,783175000,0.000783,276.88,0.000,58.596,12163,12153,10,99.9178,10,0,0,0
iommu_e32_m1000ns,787.856,787856000,0.000788,281.3,0.000,68.580,12159,12149,10,99.9178,10,0,0,0
iommu_e64_m100ns,779.632,779632000,0.000780,272.92,0.000,50.596,12163,12153,10,99.9178,10,0,0,0
iommu_e64_m250ns,780.416,780416000,0.000780,274.3,0.000,53.592,12162,12152,10,99.9178,10,0,0,0
iommu_e64_m500ns,783.175,783175000,0.000783,276.88,0.000,58.596,12163,12153,10,99.9178,10,0,0,0
iommu_e64_m1000ns,787.856,787856000,0.000788,281.3,0.000,68.580,12159,12149,10,99.9178,10,0,0,0
iommu_e256_m100ns,779.632,779632000,0.000780,272.92,0.000,50.596,12163,12153,10,99.9178,10,0,0,0
iommu_e256_m250ns,780.416,780416000,0.000780,274.3,0.000,53.592,12162,12152,10,99.9178,10,0,0,0
iommu_e256_m500ns,783.175,783175000,0.000783,276.88,0.000,58.596,12163,12153,10,99.9178,10,0,0,0
iommu_e256_m1000ns,787.856,787856000,0.000788,281.3,0.000,68.580,12159,12149,10,99.9178,10,0,0,0
iommu_e2048_m100ns,779.632,779632000,0.000780,272.92,0.000,50.596,12163,12153,10,99.9178,10,0,0,0
iommu_e2048_m250ns,780.416,780416000,0.000780,274.3,0.000,53.592,12162,12152,10,99.9178,10,0,0,0
iommu_e2048_m500ns,783.175,783175000,0.000783,276.88,0.000,58.596,12163,12153,10,99.9178,10,0,0,0
iommu_e2048_m1000ns,787.856,787856000,0.000788,281.3,0.000,68.580,12159,12149,10,99.9178,10,0,0,0
