benchmark	mode	entries	miss_ns	plain_us	runtime_us	abs_overhead_us	abs_overhead_pct	proj_overhead_us	proj_overhead_pct	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
fft	plain	-	-	1701.462	1701.462	0.000	0.000%	-	-	0	0	0	-	0	0	0	0
fft	aia-kd	-	-	1701.462	2238.685	537.223	31.574%	644.259	37.865%	0	0	0	-	0	109304	31	24
fft	iommu_e8_m100ns	8	100	1701.462	1707.368	5.906	0.347%	443.304	26.054%	110428	110411	17	99.9846%	13	0	0	0
fft	iommu_e8_m250ns	8	250	1701.462	1709.268	7.806	0.459%	447.810	26.319%	110430	110413	17	99.9846%	13	0	0	0
fft	iommu_e8_m500ns	8	500	1701.462	1714.207	12.745	0.749%	455.306	26.760%	110429	110412	17	99.9846%	13	0	0	0
fft	iommu_e8_m1000ns	8	1000	1701.462	1721.841	20.379	1.198%	470.292	27.640%	110425	110408	17	99.9846%	13	0	0	0
fft	iommu_e16_m100ns	16	100	1701.462	1707.086	5.624	0.331%	442.912	26.031%	110428	110415	13	99.9882%	13	0	0	0
fft	iommu_e16_m250ns	16	250	1701.462	1709.248	7.786	0.458%	446.816	26.261%	110429	110416	13	99.9882%	13	0	0	0
fft	iommu_e16_m500ns	16	500	1701.462	1711.752	10.290	0.605%	453.312	26.642%	110428	110415	13	99.9882%	13	0	0	0
fft	iommu_e16_m1000ns	16	1000	1701.462	1717.770	16.308	0.958%	466.300	27.406%	110425	110412	13	99.9882%	13	0	0	0
fft	iommu_e32_m100ns	32	100	1701.462	1707.086	5.624	0.331%	442.912	26.031%	110428	110415	13	99.9882%	13	0	0	0
fft	iommu_e32_m250ns	32	250	1701.462	1709.248	7.786	0.458%	446.816	26.261%	110429	110416	13	99.9882%	13	0	0	0
fft	iommu_e32_m500ns	32	500	1701.462	1711.752	10.290	0.605%	453.312	26.642%	110428	110415	13	99.9882%	13	0	0	0
fft	iommu_e32_m1000ns	32	1000	1701.462	1717.770	16.308	0.958%	466.300	27.406%	110425	110412	13	99.9882%	13	0	0	0
fft	iommu_e64_m100ns	64	100	1701.462	1707.086	5.624	0.331%	442.912	26.031%	110428	110415	13	99.9882%	13	0	0	0
fft	iommu_e64_m250ns	64	250	1701.462	1709.248	7.786	0.458%	446.816	26.261%	110429	110416	13	99.9882%	13	0	0	0
fft	iommu_e64_m500ns	64	500	1701.462	1711.752	10.290	0.605%	453.312	26.642%	110428	110415	13	99.9882%	13	0	0	0
fft	iommu_e64_m1000ns	64	1000	1701.462	1717.770	16.308	0.958%	466.300	27.406%	110425	110412	13	99.9882%	13	0	0	0
fft	iommu_e256_m100ns	256	100	1701.462	1707.086	5.624	0.331%	442.912	26.031%	110428	110415	13	99.9882%	13	0	0	0
fft	iommu_e256_m250ns	256	250	1701.462	1709.248	7.786	0.458%	446.816	26.261%	110429	110416	13	99.9882%	13	0	0	0
fft	iommu_e256_m500ns	256	500	1701.462	1711.752	10.290	0.605%	453.312	26.642%	110428	110415	13	99.9882%	13	0	0	0
fft	iommu_e256_m1000ns	256	1000	1701.462	1717.770	16.308	0.958%	466.300	27.406%	110425	110412	13	99.9882%	13	0	0	0
fft	iommu_e2048_m100ns	2048	100	1701.462	1707.086	5.624	0.331%	442.912	26.031%	110428	110415	13	99.9882%	13	0	0	0
fft	iommu_e2048_m250ns	2048	250	1701.462	1709.248	7.786	0.458%	446.816	26.261%	110429	110416	13	99.9882%	13	0	0	0
fft	iommu_e2048_m500ns	2048	500	1701.462	1711.752	10.290	0.605%	453.312	26.642%	110428	110415	13	99.9882%	13	0	0	0
fft	iommu_e2048_m1000ns	2048	1000	1701.462	1717.770	16.308	0.958%	466.300	27.406%	110425	110412	13	99.9882%	13	0	0	0
