mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
iommu_e16_m250ns,1709248000,1709.248,7.786,0.458,2156.064,26.718
iommu_e8_m100ns,1707368000,1707.368,5.906,0.347,2150.672,26.401
plain,1701462000,1701.462,0.000,0.000,1701.462,0.000
iommu_e32_m250ns,1709248000,1709.248,7.786,0.458,2156.064,26.718
iommu_e16_m1000ns,1717770000,1717.770,16.308,0.958,2184.070,28.364
aia-kd,2238685000,2238.685,537.223,31.574,2882.944,69.439
iommu_e8_m250ns,1709268000,1709.268,7.806,0.459,2157.078,26.778
iommu_e8_m1000ns,1721841000,1721.841,20.379,1.198,2192.133,28.838
iommu_e64_m250ns,1709248000,1709.248,7.786,0.458,2156.064,26.718
iommu_e8_m500ns,1714207000,1714.207,12.745,0.749,2169.513,27.509
iommu_e16_m500ns,1711752000,1711.752,10.290,0.605,2165.064,27.247
iommu_e32_m100ns,1707086000,1707.086,5.624,0.331,2149.998,26.362
iommu_e16_m100ns,1707086000,1707.086,5.624,0.331,2149.998,26.362
iommu_e2048_m500ns,1711752000,1711.752,10.290,0.605,2165.064,27.247
iommu_e64_m100ns,1707086000,1707.086,5.624,0.331,2149.998,26.362
iommu_e64_m500ns,1711752000,1711.752,10.290,0.605,2165.064,27.247
iommu_e64_m1000ns,1717770000,1717.770,16.308,0.958,2184.070,28.364
iommu_e2048_m1000ns,1717770000,1717.770,16.308,0.958,2184.070,28.364
iommu_e256_m500ns,1711752000,1711.752,10.290,0.605,2165.064,27.247
iommu_e2048_m100ns,1707086000,1707.086,5.624,0.331,2149.998,26.362
iommu_e256_m250ns,1709248000,1709.248,7.786,0.458,2156.064,26.718
iommu_e2048_m250ns,1709248000,1709.248,7.786,0.458,2156.064,26.718
iommu_e256_m1000ns,1717770000,1717.770,16.308,0.958,2184.070,28.364
iommu_e256_m100ns,1707086000,1707.086,5.624,0.331,2149.998,26.362
iommu_e32_m1000ns,1717770000,1717.770,16.308,0.958,2184.070,28.364
iommu_e32_m500ns,1711752000,1711.752,10.290,0.605,2165.064,27.247
