mode,sim_ticks,runtime_us,delta_us,delta_pct,effective_us,effective_delta_pct
iommu_e64_m500ns,442581628000,442581.628,-960.682,-0.217,444787.458,0.281
iommu_e16_m1000ns,443554858000,443554.858,12.548,0.003,447703.048,0.938
iommu_e2048_m100ns,443573377000,443573.377,31.067,0.007,445743.207,0.496
iommu_e256_m100ns,443573377000,443573.377,31.067,0.007,445743.207,0.496
iommu_e64_m100ns,443573377000,443573.377,31.067,0.007,445743.207,0.496
iommu_e32_m250ns,443497262000,443497.262,-45.048,-0.010,445680.612,0.482
iommu_e256_m1000ns,442597199000,442597.199,-945.111,-0.213,444848.049,0.294
iommu_e64_m250ns,443497262000,443497.262,-45.048,-0.010,445680.612,0.482
iommu_e16_m250ns,443990865000,443990.865,448.555,0.101,446646.545,0.700
iommu_e256_m250ns,443497262000,443497.262,-45.048,-0.010,445680.612,0.482
iommu_e32_m100ns,443573377000,443573.377,31.067,0.007,445743.207,0.496
iommu_e256_m500ns,442581628000,442581.628,-960.682,-0.217,444787.458,0.281
iommu_e2048_m250ns,443497262000,443497.262,-45.048,-0.010,445680.612,0.482
iommu_e16_m100ns,443624930000,443624.930,82.620,0.019,445982.090,0.550
iommu_e8_m250ns,455954606000,455954.606,12412.296,2.798,477577.906,7.674
iommu_e32_m500ns,442581628000,442581.628,-960.682,-0.217,444787.458,0.281
iommu_e64_m1000ns,442597199000,442597.199,-945.111,-0.213,444848.049,0.294
iommu_e32_m1000ns,442597199000,442597.199,-945.111,-0.213,444848.049,0.294
iommu_e16_m500ns,444240012000,444240.012,697.702,0.157,447393.182,0.868
plain,443542310000,443542.310,0.000,0.000,443542.310,0.000
iommu_e2048_m1000ns,442597199000,442597.199,-945.111,-0.213,444848.049,0.294
aia-kd,446219775000,446219.775,2677.465,0.604,450428.372,1.553
iommu_e2048_m500ns,442581628000,442581.628,-960.682,-0.217,444787.458,0.281
iommu_e8_m100ns,447195536000,447195.536,3653.226,0.824,457107.416,3.058
iommu_e8_m500ns,462765473000,462765.473,19223.163,4.334,503907.773,13.610
iommu_e8_m1000ns,483083567000,483083.567,39541.257,8.915,563263.867,26.992
