mode	runtime_us	sim_ticks	sim_seconds	kernel_runtime_us	aia_kd_overhead_us	iommu_overhead_us	iommu_checks	iotlb_hits	iotlb_misses	iotlb_hit_rate_pct	iommu_unique_pages	smid_requests	smid_validations	smid_validations_dma_ctrl
plain	443542.310	443542310000	0.443542	1410.82	0.000	-	0	0	0	-	0	0	0	0
aia-kd	446219.775	446219775000	0.446220	3614.09	4208.597	-	0	0	0	-	0	552349	37	12
iommu_e8_m100ns	447195.536	447195536000	0.447196	5479.59	0.000	9911.880	565472	526430	39042	93.0957	49	0	0	0
iommu_e8_m250ns	455954.606	455954606000	0.455955	11200.1	0.000	21623.300	565478	526436	39042	93.0958	49	0	0	0
iommu_e8_m500ns	462765.473	462765473000	0.462765	20942.7	0.000	41142.300	565474	526432	39042	93.0957	49	0	0	0
iommu_e8_m1000ns	483083.567	483083567000	0.483084	40464.3	0.000	80180.300	565479	526437	39042	93.0958	49	0	0	0
iommu_e16_m100ns	443624.930	443624930000	0.443625	1593.5	0.000	2357.160	540901	539902	999	99.8153	49	0	0	0
iommu_e16_m250ns	443990.865	443990865000	0.443991	1739.47	0.000	2655.680	540907	539908	999	99.8153	49	0	0	0
iommu_e16_m500ns	444240.012	444240012000	0.444240	1992.92	0.000	3153.170	540903	539904	999	99.8153	49	0	0	0
iommu_e16_m1000ns	443554.858	443554858000	0.443555	2493.06	0.000	4148.190	540908	539909	999	99.8153	49	0	0	0
iommu_e32_m100ns	443573.377	443573377000	0.443573	1498.67	0.000	2169.830	540617	540568	49	99.9909	49	0	0	0
iommu_e32_m250ns	443497.262	443497262000	0.443497	1506.24	0.000	2183.350	540623	540574	49	99.9909	49	0	0	0
iommu_e32_m500ns	442581.628	442581628000	0.442582	1518.07	0.000	2205.830	540619	540570	49	99.9909	49	0	0	0
iommu_e32_m1000ns	442597.199	442597199000	0.442597	1543.22	0.000	2250.850	540624	540575	49	99.9909	49	0	0	0
iommu_e64_m100ns	443573.377	443573377000	0.443573	1498.67	0.000	2169.830	540617	540568	49	99.9909	49	0	0	0
iommu_e64_m250ns	443497.262	443497262000	0.443497	1506.24	0.000	2183.350	540623	540574	49	99.9909	49	0	0	0
iommu_e64_m500ns	442581.628	442581628000	0.442582	1518.07	0.000	2205.830	540619	540570	49	99.9909	49	0	0	0
iommu_e64_m1000ns	442597.199	442597199000	0.442597	1543.22	0.000	2250.850	540624	540575	49	99.9909	49	0	0	0
iommu_e256_m100ns	443573.377	443573377000	0.443573	1498.67	0.000	2169.830	540617	540568	49	99.9909	49	0	0	0
iommu_e256_m250ns	443497.262	443497262000	0.443497	1506.24	0.000	2183.350	540623	540574	49	99.9909	49	0	0	0
iommu_e256_m500ns	442581.628	442581628000	0.442582	1518.07	0.000	2205.830	540619	540570	49	99.9909	49	0	0	0
iommu_e256_m1000ns	442597.199	442597199000	0.442597	1543.22	0.000	2250.850	540624	540575	49	99.9909	49	0	0	0
iommu_e2048_m100ns	443573.377	443573377000	0.443573	1498.67	0.000	2169.830	540617	540568	49	99.9909	49	0	0	0
iommu_e2048_m250ns	443497.262	443497262000	0.443497	1506.24	0.000	2183.350	540623	540574	49	99.9909	49	0	0	0
iommu_e2048_m500ns	442581.628	442581628000	0.442582	1518.07	0.000	2205.830	540619	540570	49	99.9909	49	0	0	0
iommu_e2048_m1000ns	442597.199	442597199000	0.442597	1543.22	0.000	2250.850	540624	540575	49	99.9909	49	0	0	0
