mode	sim_ticks	runtime_us	delta_us	delta_pct	effective_us	effective_delta_pct
iommu_e32_m100ns	16813440000	16813.440	580.240	3.574	28816.142	77.514
iommu_e64_m1000ns	16321734000	16321.734	88.534	0.545	26939.476	65.953
iommu_e256_m1000ns	16321734000	16321.734	88.534	0.545	26939.476	65.953
plain	16233200000	16233.200	0.000	0.000	16233.200	0.000
iommu_e2048_m250ns	16253672000	16253.672	20.472	0.126	26614.028	63.948
iommu_e64_m500ns	16276190000	16276.190	42.990	0.265	26722.332	64.615
iommu_e16_m100ns	16813440000	16813.440	580.240	3.574	28816.142	77.514
iommu_e256_m500ns	16276190000	16276.190	42.990	0.265	26722.332	64.615
iommu_e64_m250ns	16253672000	16253.672	20.472	0.126	26614.028	63.948
iommu_e32_m500ns	19133594000	19133.594	2900.394	17.867	38131.116	134.896
iommu_e256_m100ns	16241473000	16241.473	8.273	0.051	26550.435	63.556
iommu_e64_m100ns	16241473000	16241.473	8.273	0.051	26550.435	63.556
iommu_e2048_m1000ns	16321734000	16321.734	88.534	0.545	26939.476	65.953
iommu_e2048_m100ns	16241473000	16241.473	8.273	0.051	26550.435	63.556
iommu_e8_m100ns	16896526000	16896.526	663.326	4.086	29066.348	79.055
iommu_e8_m250ns	17892050000	17892.050	1658.850	10.219	32938.816	102.910
iommu_e16_m500ns	19133594000	19133.594	2900.394	17.867	38131.116	134.896
iommu_e16_m250ns	17681854000	17681.854	1448.654	8.924	32307.830	99.023
iommu_e256_m250ns	16253672000	16253.672	20.472	0.126	26614.028	63.948
iommu_e2048_m500ns	16276190000	16276.190	42.990	0.265	26722.332	64.615
iommu_e32_m250ns	17681854000	17681.854	1448.654	8.924	32307.830	99.023
aia-kd	17888455000	17888.455	1655.255	10.197	19704.097	21.381
iommu_e8_m500ns	19553357000	19553.357	3320.157	20.453	39394.399	142.678
iommu_e16_m1000ns	22036693000	22036.693	5803.493	35.751	49777.325	206.639
iommu_e32_m1000ns	22036693000	22036.693	5803.493	35.751	49777.325	206.639
iommu_e8_m1000ns	22874522000	22874.522	6641.322	40.912	52304.114	222.205
