mode,runtime_us,sim_ticks,sim_seconds,kernel_runtime_us,aia_kd_overhead_us,iommu_overhead_us,iommu_checks,iotlb_hits,iotlb_misses,iotlb_hit_rate_pct,iommu_unique_pages,smid_requests,smid_validations,smid_validations_dma_ctrl
plain,16233.200,16233200000,0.016233,16155.8,0.000,-,0,0,0,-,0,0,0,0
aia-kd,17888.455,17888455000,0.017888,17810.9,1815.642,-,0,0,0,-,0,964555,133,56
iommu_e8_m100ns,16896.526,16896526000,0.016897,16819.3,0.000,12169.822,973655,967014,6641,99.3179,88,0,0,0
iommu_e8_m250ns,17892.050,17892050000,0.017892,17815,0.000,15046.766,973724,967083,6641,99.3180,88,0,0,0
iommu_e8_m500ns,19553.357,19553357000,0.019553,19475.8,0.000,19841.042,973728,967087,6641,99.3180,88,0,0,0
iommu_e8_m1000ns,22874.522,22874522000,0.022875,22796.7,0.000,29429.592,973731,967090,6641,99.3180,88,0,0,0
iommu_e16_m100ns,16813.440,16813440000,0.016813,16735.6,0.000,12002.702,973314,967511,5803,99.4038,88,0,0,0
iommu_e16_m250ns,17681.854,17681854000,0.017682,17605,0.000,14625.976,973379,967576,5803,99.4038,88,0,0,0
iommu_e16_m500ns,19133.594,19133594000,0.019134,19056.3,0.000,18997.522,973383,967580,5803,99.4038,88,0,0,0
iommu_e16_m1000ns,22036.693,22036693000,0.022037,21959.2,0.000,27740.632,973393,967590,5803,99.4038,88,0,0,0
iommu_e32_m100ns,16813.440,16813440000,0.016813,16735.6,0.000,12002.702,973314,967511,5803,99.4038,88,0,0,0
iommu_e32_m250ns,17681.854,17681854000,0.017682,17605,0.000,14625.976,973379,967576,5803,99.4038,88,0,0,0
iommu_e32_m500ns,19133.594,19133594000,0.019134,19056.3,0.000,18997.522,973383,967580,5803,99.4038,88,0,0,0
iommu_e32_m1000ns,22036.693,22036693000,0.022037,21959.2,0.000,27740.632,973393,967590,5803,99.4038,88,0,0,0
iommu_e64_m100ns,16241.473,16241473000,0.016241,16164.4,0.000,10308.962,971026,970938,88,99.9909,88,0,0,0
iommu_e64_m250ns,16253.672,16253672000,0.016254,16176.3,0.000,10360.356,971018,970930,88,99.9909,88,0,0,0
iommu_e64_m500ns,16276.190,16276190000,0.016276,16198.9,0.000,10446.142,971022,970934,88,99.9909,88,0,0,0
iommu_e64_m1000ns,16321.734,16321734000,0.016322,16244.1,0.000,10617.742,971031,970943,88,99.9909,88,0,0,0
iommu_e256_m100ns,16241.473,16241473000,0.016241,16164.4,0.000,10308.962,971026,970938,88,99.9909,88,0,0,0
iommu_e256_m250ns,16253.672,16253672000,0.016254,16176.3,0.000,10360.356,971018,970930,88,99.9909,88,0,0,0
iommu_e256_m500ns,16276.190,16276190000,0.016276,16198.9,0.000,10446.142,971022,970934,88,99.9909,88,0,0,0
iommu_e256_m1000ns,16321.734,16321734000,0.016322,16244.1,0.000,10617.742,971031,970943,88,99.9909,88,0,0,0
iommu_e2048_m100ns,16241.473,16241473000,0.016241,16164.4,0.000,10308.962,971026,970938,88,99.9909,88,0,0,0
iommu_e2048_m250ns,16253.672,16253672000,0.016254,16176.3,0.000,10360.356,971018,970930,88,99.9909,88,0,0,0
iommu_e2048_m500ns,16276.190,16276190000,0.016276,16198.9,0.000,10446.142,971022,970934,88,99.9909,88,0,0,0
iommu_e2048_m1000ns,16321.734,16321734000,0.016322,16244.1,0.000,10617.742,971031,970943,88,99.9909,88,0,0,0
